Time,Parallelism,Throughput_OUT,Throughput_IN
1706107147,1.0,0.0,2.666666666666
1706107157,1.0,45.2666666667,1943.1
1706107167,1.0,776.9666666666,5239.31666667
1706107177,1.0,1892.1166666666,8166.3
1706107187,1.0,2992.1333333333,10555.8
1706107197,1.0,4179.95,12745.0
1706107207,1.0,5876.316666670001,14730.75
1706107217,1.0,7074.233333329999,14936.95
1706107227,1.0,7637.66666666,14810.18333333
1706107237,1.0,8003.58333333,13851.116666659998
1706107247,1.0,8263.01666666,14161.116666659998
1706107257,1.0,8358.783333329999,15104.98333333
1706107267,1.0,8018.733333329999,15051.95
1706107277,1.0,7898.733333329999,15975.28333333
1706107287,1.0,7986.36666666,14868.43333333
1706107297,1.0,7925.36666666,15759.15
1706107307,1.0,7641.7,16293.05
1706107317,1.0,7847.46666666,14948.81666666
1706107327,1.0,7703.78333333,16323.53333333
1706107337,1.0,8005.733333329999,15025.35
1706107347,1.0,7653.9,16296.4
1706107357,1.0,7749.55,15607.616666659998
1706107367,1.0,8123.21666666,15281.13333333
1706107377,1.0,7815.25,16729.733333329998
1706107387,1.0,8085.3,15210.8
1706107447,2.0,0.0,0.0
1706107457,2.0,150.7666666666,0.0
1706107467,2.0,834.3166666666,1906.4333333333
1706107477,2.0,2817.3333333333,6487.25
1706107487,2.0,5217.05,11171.31666666
1706107497,2.0,7069.46666666,15162.516666659998
1706107507,2.0,9315.96666666,20141.05
1706107517,2.0,11536.266666659998,24703.6
1706107527,2.0,12767.4,26858.4
1706107537,2.0,13107.93333333,27051.7
1706107547,2.0,13107.3,26740.31666666
1706107557,2.0,13019.95,27218.583333330003
1706107567,2.0,13054.75,26816.3
1706107577,2.0,12504.63333333,25973.71666666
1706107587,2.0,13010.45,26700.23333333
1706107597,2.0,13075.65,26613.7
1706107607,2.0,12648.81666666,26182.11666666
1706107617,2.0,13085.55,26463.06666666
1706107627,2.0,13177.38333333,26828.21666666
1706107637,2.0,13800.68333333,27008.15
1706107647,2.0,12034.65,27225.133333330003
1706107657,2.0,11568.55,27599.16666666
1706107667,2.0,12007.75,27853.93333333
1706107677,2.0,12381.65,28215.11666666
1706107687,2.0,12396.266666659998,27956.68333333
1706107697,2.0,12373.31666666,29159.23333333
1706107707,2.0,14074.016666659998,29251.45
1706107767,3.0,0.0,28884.23333333
1706107787,3.0,2188.2333333333,0.0
1706107797,3.0,4488.3,1735.15
1706107807,3.0,7700.46666666,3914.66666667
1706107817,3.0,10754.25,9599.88333333
1706107827,3.0,13885.96666666,15192.1
1706107837,3.0,16797.43333333,21369.05
1706107847,3.0,17736.21666666,28231.883333330003
1706107857,3.0,18284.23333333,32832.05
1706107867,3.0,18256.5,36518.11666666
1706107877,3.0,17017.75,37696.15
1706107887,3.0,16251.38333333,37869.78333333
1706107897,3.0,16624.38333333,40921.35
1706107907,3.0,16839.43333333,40872.36666666
1706107917,3.0,17323.3,40709.31666666
1706107927,3.0,17236.11666666,41215.91666666
1706107937,3.0,18846.33333333,40227.95
1706107947,3.0,19673.48333333,40819.41666666
1706107957,3.0,19437.75,38221.13333333
1706107967,3.0,19001.61666666,37217.91666666
1706107977,3.0,18901.63333333,37783.01666666
1706107987,3.0,19136.0,37624.53333333
1706107997,3.0,18958.28333333,37462.5
1706108007,3.0,18715.9,37651.63333333
1706108017,3.0,19073.23333333,37119.88333333
1706108027,3.0,19634.8,37502.983333330005
1706108037,2.0,13432.25,37706.08333333
1706108087,4.0,0.0,38138.08333333
1706108097,4.0,0.0,26865.4
1706108117,4.0,2344.7,0.0
1706108127,4.0,5653.08333333,529.9333333333
1706108137,4.0,9793.16666666,2479.3333333333
1706108147,4.0,13592.0,9834.38333333
1706108157,4.0,17204.41666666,17071.83333333
1706108167,4.0,20360.13333333,24879.73333333
1706108177,4.0,22949.88333333,32272.5
1706108187,4.0,23147.45,38953.75
1706108197,4.0,23642.03333333,43805.86666666
1706108207,4.0,23652.2,44626.03333333
1706108217,4.0,24089.25,44676.8
1706108227,4.0,24283.55,46491.53333333
1706108237,4.0,24279.3,47552.483333330005
1706108247,4.0,24660.11666666,49171.25
1706108257,4.0,24293.75,50661.4
1706108267,4.0,24543.01666666,49931.56666666
1706108277,4.0,24511.1,50814.38333333
1706108287,4.0,24084.86666666,49667.2
1706108297,4.0,23997.73333333,49778.56666666
1706108307,4.0,24570.833333330003,49141.3
1706108317,4.0,24609.15,50544.45
1706108327,4.0,24920.75,52026.31666666
1706108337,4.0,24826.68333333,53104.53333333
1706108347,4.0,24649.66666666,53153.56666666
1706108357,4.0,24934.583333330003,53683.58333333
1706108407,5.0,0.0,53183.88333333
1706108417,5.0,0.0,51204.81666666
1706108427,5.0,608.5833333333,52082.65
1706108447,5.0,7134.9,0.0
1706108457,5.0,11562.4,313.6
1706108467,5.0,15569.4,3347.75
1706108477,5.0,19898.73333333,7473.2
1706108487,5.0,23622.61666666,13397.96666666
1706108497,5.0,25266.43333333,22053.18333333
1706108507,5.0,25704.65,29736.91666666
1706108517,5.0,26401.91666666,38631.46666666
1706108527,5.0,26712.98333333,44937.21666666
1706108537,5.0,27308.61666666,49839.58333333
1706108547,5.0,27740.85,53243.016666660005
1706108557,5.0,28679.383333330003,55074.16666666001
1706108567,5.0,28490.91666666,57258.516666660005
1706108577,5.0,27680.51666666,58967.15
1706108587,5.0,28232.18333333,59219.85
1706108597,5.0,27855.71666666,60416.31666666
1706108607,5.0,27434.93333333,60361.71666666
1706108617,5.0,27257.03333333,58747.7
1706108627,5.0,27827.083333330003,59214.8
1706108637,5.0,28321.53333333,58755.483333330005
1706108647,5.0,28472.35,58102.78333333
1706108657,5.0,28894.61666666,58494.0
1706108667,5.0,29741.4,60419.516666660005
1706108677,5.0,29903.5,62179.2
1706108727,6.0,0.0,62318.45
1706108737,6.0,0.0,62116.96666666
1706108747,6.0,975.9166666666,63693.766666660005
1706108757,6.0,4215.2,63425.33333333
1706108777,6.0,13418.8,0.0
1706108787,6.0,17700.83333333,806.95
1706108797,6.0,19009.3,5034.13333333
1706108807,6.0,21691.35,10996.26666666
1706108817,6.0,22577.86666666,18097.15
1706108827,6.0,23030.63333333,25510.98333333
1706108837,6.0,22915.1,33425.466666659995
1706108847,6.0,23495.333333330003,42089.4
1706108857,6.0,26835.15,48820.65
1706108867,6.0,28334.75,51009.21666666
1706108877,6.0,28778.55,53486.95
1706108887,6.0,29677.23333333,56350.16666666001
1706108897,6.0,29707.66666666,57659.33333333
1706108907,6.0,29980.91666666,57812.56666666
1706108917,6.0,30407.06666666,56676.983333330005
1706108927,6.0,30157.333333330003,57655.81666666
1706108937,6.0,30638.333333330003,59235.58333333
1706108947,6.0,30835.98333333,59235.483333330005
1706108957,6.0,30619.18333333,61029.86666666
1706108967,6.0,31316.583333330003,62403.83333333
1706108977,6.0,30863.66666666,62514.71666666
1706108987,6.0,30573.43333333,63540.31666666
1706108997,6.0,30574.383333330003,63450.65
1706109047,2.0,0.0,62999.25
1706109057,7.0,0.0,62945.5
1706109067,7.0,574.7666666666,62333.45
1706109077,7.0,2461.85,61675.06666666
1706109087,7.0,7730.46666666,62581.4
1706109107,7.0,17361.68333333,0.0
1706109117,7.0,21738.28333333,0.0
1706109127,7.0,26132.06666666,2350.5166666666
1706109137,7.0,29978.56666666,9837.16666666
1706109147,7.0,30216.55,19159.45
1706109157,7.0,31179.93333333,27914.133333330003
1706109167,7.0,31520.06666666,38176.21666666
1706109177,7.0,33302.86666666,48489.21666666
1706109187,7.0,34322.6,57693.56666666
1706109197,7.0,34556.966666659995,62363.266666660005
1706109207,7.0,34961.91666666,65048.233333330005
1706109217,7.0,35074.3,67097.23333333
1706109227,7.0,36587.75,68908.85
1706109237,7.0,36685.93333333,70216.55
1706109247,7.0,36077.85,69457.03333333001
1706109257,7.0,32325.1,70136.83333333
1706109267,7.0,32207.16666666,69938.98333333
1706109277,7.0,31897.0,70957.03333333001
1706109287,7.0,30481.0,70678.06666666
1706109297,7.0,29782.0,70062.66666666
1706109307,7.0,30428.5,70687.73333333
1706109317,7.0,33287.65,74580.45
1706109327,2.0,9395.71666666,73870.85
