Time,Parallelism,Throughput_OUT,Throughput_IN
1708029034,1.0,0.0,0.0
1708029039,1.0,17.166666666666,491.3666666666
1708029044,1.0,52.2166666667,693.1833333333
1708029049,1.0,52.2166666667,693.1833333333
1708029054,1.0,52.2166666667,693.1833333333
1708029059,1.0,52.2166666667,1551.9666666666
1708029064,1.0,59.4,6242.35
1708029069,1.0,59.4,10499.08333333
1708029074,1.0,59.4,16811.2
1708029079,1.0,59.4,22663.51666666
1708029084,1.0,59.4,28193.26666666
1708029089,1.0,196.15,29160.53333333
1708029094,1.0,236.7833333333,30228.11666666
1708029099,1.0,219.6166666666,34330.78333332999
1708029104,1.0,184.5666666666,40994.46666666
1708029109,1.0,184.5666666666,45511.53333332999
1708029114,1.0,184.5666666666,52550.68333333
1708029119,1.0,184.5666666666,57801.58333333
1708029124,1.0,3462.25,56326.33333333
1708029129,1.0,8877.41666666,52069.6
1708029134,1.0,14837.96666666,45757.48333333
1708029139,1.0,20246.58333333,39905.16666666
1708029144,1.0,25852.51666666,34375.41666666
1708029149,1.0,31165.31666666,33408.15
1708029154,1.0,36518.08333333,32340.56666666
1708029159,1.0,41000.43333333,27746.53333333
1708029164,1.0,46182.03333332999,20881.03333333
1708029169,1.0,51406.48333333,16363.96666666
1708029174,1.0,57248.66666666,9324.81666666
1708029179,1.0,62670.26666665999,3215.1333333333
1708029184,1.0,64967.0,0.0
1708029189,1.0,64542.48333333,0.0
1708029194,1.0,64220.1,0.0
1708029199,1.0,64401.95,0.0
1708029204,1.0,64385.23333333,0.0
1708029209,1.0,60268.43333333,1168.7833333333
1708029214,1.0,55413.55,1366.05
1708029219,1.0,50931.2,4411.56666667
1708029224,1.0,45749.6,8305.03333333
1708029229,1.0,40525.15,15236.48333333
1708029234,1.0,34682.96666666,21617.65
1708029239,1.0,29261.36666666,27818.18333333
1708029244,1.0,23679.76666666,34900.78333332999
1708029249,1.0,19366.55,39717.43333333
1708029254,1.0,16209.45,39717.43333333
1708029259,1.0,12763.31666666,40666.0
1708029264,1.0,7978.6,40666.0
1708029269,1.0,7015.26666666,39497.21666666
1708029274,1.0,6476.75,43419.63333333
1708029279,1.0,6476.75,46610.13333333
1708029284,1.0,6476.75,43155.78333332999
1708029289,1.0,6476.75,42106.4
1708029294,1.0,6476.75,41612.06666666
1708029299,1.0,6476.75,43246.73333333
1708029304,1.0,6476.75,40907.16666666
1708029309,1.0,6788.63333333,38861.45
1708029314,1.0,8519.03333333,38861.45
1708029319,1.0,10450.25,37912.88333333
1708029324,1.0,13842.63333333,37912.88333333
1708029329,1.0,15332.36666666,38588.23333333
1708029334,1.0,15332.36666666,37084.01666666
1708029339,1.0,15332.36666666,38412.53333332999
1708029344,1.0,15332.36666666,43222.81666666
1708029349,1.0,15332.36666666,37698.13333333
1708029354,1.0,15332.36666666,38664.45
1708029359,1.0,15332.36666666,36693.86666666
1708029364,1.0,15332.36666666,38177.03333332999
1708029369,1.0,15807.73333333,40482.71666666
1708029374,1.0,16174.93333333,40482.71666666
