,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722262895000,1000.0,,,,,,,
1722262900000,0.0,,,,,,,
1722262905000,0.0,,,,,,,
1722262910000,2.0,,,,,,,
1722262915000,0.0,,,,,,,
1722262920000,3.0,,,,,,,
1722262925000,3.0,,,,,,,
1722262930000,4.0,,,,,,,
1722262935000,7.0,,,,,,,
1722262940000,33.0,,,,,,,
1722262945000,35.0,,,,,,,
1722262950000,42.0,,,,,,,
1722262955000,102.0,,,,,,,
1722262960000,187.0,,,,,,,
1722262965000,269.0,,,,,,,
1722262970000,351.0,,,,,,,
1722262975000,435.0,,,,,,,
1722262980000,517.0,,,,,,,
1722262985000,600.0,,,,,,,
1722262990000,683.0,,,,,,,
1722262995000,764.0,,,,,,,
1722263000000,827.0,,,,,,,
1722263005000,906.0,,,,,,,
1722263010000,980.0,,,,,,,
1722263015000,1000.0,,,,,,,
1722263020000,1000.0,,,,,,,
1722263025000,1000.0,,,,,,,
1722263030000,1000.0,,,,,,,
1722263035000,1000.0,,,,,,,
1722263040000,1000.0,,,,,,,
1722263045000,1000.0,,,,,,,
1722263050000,1000.0,,,,,,,
1722263055000,1000.0,,,,,,,
1722263060000,1000.0,,,,,,,
1722263065000,1000.0,,,,,,,
1722263070000,1000.0,,,,,,,
1722263075000,1000.0,,,,,,,
1722263080000,1000.0,,,,,,,
1722263085000,1000.0,,,,,,,
1722263090000,1000.0,,,,,,,
1722263095000,1000.0,,,,,,,
