,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1722262895000,0.0
1722262900000,0.0
1722262905000,0.0
1722262910000,0.0
1722262915000,0.0
1722262920000,0.0
1722262925000,0.0
1722262930000,0.0
1722262935000,0.0
1722262940000,0.0
1722262945000,0.0
1722262950000,0.0
1722262955000,40.0
1722262960000,119.0
1722262965000,235.0
1722262970000,348.0
1722262975000,427.0
1722262980000,568.0
1722262985000,694.0
1722262990000,803.0
1722262995000,896.0
1722263000000,977.0
1722263005000,1000.0
1722263010000,1000.0
1722263015000,1000.0
1722263020000,1000.0
1722263025000,1000.0
1722263030000,1000.0
1722263035000,1000.0
1722263040000,1000.0
1722263045000,1000.0
1722263050000,1000.0
1722263055000,1000.0
1722263060000,1000.0
1722263065000,1000.0
1722263070000,1000.0
1722263075000,1000.0
1722263080000,1000.0
1722263085000,1000.0
1722263090000,1000.0
1722263095000,1000.0
1722263100000,1000.0
1722263105000,1000.0
1722263110000,1000.0
1722263115000,1000.0
1722263120000,1000.0
1722263125000,1000.0
1722263130000,1000.0
1722263135000,1000.0
1722263140000,1000.0
1722263145000,1000.0
1722263150000,1000.0
1722263155000,1000.0
1722263160000,1000.0
1722263165000,1000.0
1722263170000,1000.0
1722263175000,1000.0
1722263180000,1000.0
1722263185000,1000.0
1722263190000,1000.0
1722263195000,
1722263220000,0.0
1722263225000,629.0
1722263230000,883.0
1722263235000,926.0
1722263240000,1000.0
1722263245000,1000.0
1722263250000,1000.0
1722263255000,1000.0
1722263260000,1000.0
1722263265000,1000.0
1722263270000,1000.0
1722263275000,1000.0
1722263280000,1000.0
1722263285000,1000.0
1722263290000,1000.0
1722263295000,1000.0
1722263300000,1000.0
1722263305000,1000.0
1722263310000,1000.0
1722263315000,1000.0
1722263320000,1000.0
1722263325000,1000.0
1722263330000,1000.0
1722263335000,1000.0
1722263340000,1000.0
1722263345000,1000.0
1722263350000,1000.0
1722263355000,1000.0
1722263360000,1000.0
1722263365000,1000.0
1722263370000,1000.0
1722263375000,1000.0
1722263380000,1000.0
1722263385000,1000.0
1722263390000,1000.0
1722263395000,1000.0
1722263400000,1000.0
1722263405000,1000.0
1722263410000,1000.0
1722263415000,1000.0
1722263420000,1000.0
1722263425000,1000.0
1722263430000,1000.0
1722263435000,1000.0
1722263440000,1000.0
1722263445000,1000.0
1722263450000,1000.0
1722263455000,1000.0
1722263460000,1000.0
1722263465000,1000.0
1722263470000,1000.0
1722263475000,1000.0
1722263480000,1000.0
1722263485000,1000.0
1722263490000,1000.0
1722263495000,1000.0
1722263500000,1000.0
1722263505000,1000.0
1722263510000,1000.0
1722263515000,1000.0
1722263520000,1000.0
1722263525000,1000.0
1722263530000,1000.0
1722263535000,1000.0
1722263540000,1000.0
1722263545000,1000.0
1722263550000,1000.0
1722263555000,
1722263575000,0.0
1722263580000,0.0
1722263585000,610.0
1722263590000,810.0
1722263595000,919.0
1722263600000,923.0
1722263605000,935.0
1722263610000,930.0
1722263615000,938.0
1722263620000,949.0
1722263625000,947.0
1722263630000,955.0
1722263635000,976.0
1722263640000,984.0
1722263645000,1000.0
1722263650000,1000.0
1722263655000,1000.0
1722263660000,1000.0
1722263665000,1000.0
1722263670000,1000.0
1722263675000,1000.0
1722263680000,1000.0
1722263685000,1000.0
1722263690000,1000.0
1722263695000,1000.0
1722263700000,1000.0
1722263705000,1000.0
1722263710000,1000.0
1722263715000,1000.0
1722263720000,1000.0
1722263725000,1000.0
1722263730000,1000.0
1722263735000,1000.0
1722263740000,1000.0
1722263745000,1000.0
1722263750000,1000.0
1722263755000,1000.0
1722263760000,1000.0
1722263765000,1000.0
1722263770000,1000.0
1722263775000,1000.0
1722263780000,1000.0
1722263785000,1000.0
1722263790000,1000.0
1722263795000,1000.0
1722263800000,987.0
1722263805000,990.0
1722263810000,986.0
1722263815000,970.0
1722263820000,1000.0
1722263825000,1000.0
1722263830000,1000.0
1722263835000,1000.0
1722263840000,1000.0
1722263845000,1000.0
1722263850000,1000.0
1722263855000,1000.0
1722263860000,1000.0
1722263865000,1000.0
1722263870000,1000.0
1722263875000,1000.0
1722263880000,1000.0
1722263885000,1000.0
1722263890000,1000.0
1722263895000,1000.0
1722263900000,1000.0
1722263905000,1000.0
1722263910000,1000.0
1722263915000,
1722263940000,0.0
1722263945000,1000.0
1722263950000,991.0
1722263955000,955.0
1722263960000,1000.0
1722263965000,996.0
1722263970000,977.0
1722263975000,978.0
1722263980000,1000.0
1722263985000,1000.0
1722263990000,1000.0
1722263995000,993.0
1722264000000,981.0
1722264005000,968.0
1722264010000,985.0
1722264015000,983.0
1722264020000,979.0
1722264025000,977.0
1722264030000,976.0
1722264035000,973.0
1722264040000,939.0
1722264045000,934.0
1722264050000,938.0
1722264055000,952.0
1722264060000,965.0
1722264065000,978.0
1722264070000,966.0
1722264075000,978.0
1722264080000,963.0
1722264085000,971.0
1722264090000,979.0
1722264095000,983.0
1722264100000,974.0
1722264105000,985.0
1722264110000,980.0
1722264115000,969.0
1722264120000,966.0
1722264125000,963.0
1722264130000,971.0
1722264135000,972.0
1722264140000,983.0
1722264145000,970.0
1722264150000,967.0
1722264155000,955.0
1722264160000,958.0
1722264165000,947.0
1722264170000,953.0
1722264175000,953.0
1722264180000,951.0
1722264185000,952.0
1722264190000,935.0
1722264195000,924.0
1722264200000,920.0
