Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,1000.0,,,,,,,,0.0,0.0,22464.0,-1.0,1
5,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,22464.0,83.0,1
10,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,22464.0,107.0,1
15,0.0,,,,,,,,2.0,,,,,,,,0.0,0.0,22464.0,90.0,1
20,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,22464.0,79.0,1
25,0.0,,,,,,,,3.0,,,,,,,,0.0,0.0,22464.0,90.0,1
30,0.0,,,,,,,,3.0,,,,,,,,0.0,0.0,22464.0,79.0,1
35,0.0,,,,,,,,4.0,,,,,,,,0.0,0.0,22464.0,75.0,1
40,275.3666666666,,,,,,,,7.0,,,,,,,,0.0,0.0,991677.0,85.0,1
45,561.9333333333,,,,,,,,33.0,,,,,,,,0.0,0.0,2641786.0,1164.0,1
50,828.6333333333,,,,,,,,35.0,,,,,,,,0.0,0.0,3121513.0,1050.0,1
55,979.7833333333,,,,,,,,42.0,,,,,,,,0.0,0.0,3921496.0,1188.0,1
60,3772.13333333,,,,,,,,102.0,,,,,,,,18.0,40.0,7966565.0,1288.0,1
65,6174.25,,,,,,,,187.0,,,,,,,,100.0,119.0,10761443.0,2275.0,1
70,12222.783333329999,,,,,,,,269.0,,,,,,,,224.0,235.0,10761443.0,2400.0,1
75,13413.48333333,,,,,,,,351.0,,,,,,,,338.0,348.0,14808160.0,2400.0,1
80,16000.616666659998,,,,,,,,435.0,,,,,,,,421.0,427.0,14154695.0,7346.0,1
85,18374.11666666,,,,,,,,517.0,,,,,,,,568.0,568.0,18796111.0,5732.0,1
90,22221.6,,,,,,,,600.0,,,,,,,,704.0,694.0,26270683.0,5691.0,1
95,25944.766666659998,,,,,,,,683.0,,,,,,,,822.0,803.0,26270683.0,6823.0,1
100,27231.766666659998,,,,,,,,764.0,,,,,,,,916.0,896.0,33451186.0,6823.0,1
105,27794.183333330002,,,,,,,,827.0,,,,,,,,998.0,977.0,22636272.0,7059.0,1
