,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1722322075000,0.0
1722322080000,0.0
1722322085000,0.0
1722322090000,0.0
1722322095000,0.0
1722322100000,0.0
1722322105000,0.0
1722322110000,0.0
1722322115000,0.0
1722322120000,0.0
1722322125000,0.0
1722322130000,0.0
1722322135000,0.0
1722322140000,0.0
1722322145000,12.0
1722322150000,101.0
1722322155000,182.0
1722322160000,320.0
1722322165000,400.0
1722322170000,548.0
1722322175000,689.0
1722322180000,831.0
1722322185000,974.0
1722322190000,1000.0
1722322195000,1000.0
1722322200000,1000.0
1722322205000,1000.0
1722322210000,1000.0
1722322215000,1000.0
1722322220000,1000.0
1722322225000,1000.0
1722322230000,1000.0
1722322235000,1000.0
1722322240000,1000.0
1722322245000,1000.0
1722322250000,1000.0
1722322255000,1000.0
1722322260000,1000.0
1722322265000,1000.0
1722322270000,1000.0
1722322275000,1000.0
1722322280000,1000.0
1722322285000,1000.0
1722322290000,1000.0
1722322295000,1000.0
1722322300000,1000.0
1722322305000,1000.0
1722322310000,1000.0
1722322315000,1000.0
1722322320000,1000.0
1722322325000,1000.0
1722322330000,1000.0
1722322335000,1000.0
1722322340000,1000.0
1722322345000,1000.0
1722322350000,1000.0
1722322355000,1000.0
1722322360000,1000.0
1722322365000,1000.0
1722322370000,1000.0
1722322375000,1000.0
1722322380000,1000.0
1722322385000,1000.0
1722322390000,1000.0
1722322395000,1000.0
1722322400000,1000.0
1722322405000,1000.0
1722322410000,1000.0
1722322415000,1000.0
1722322420000,1000.0
1722322425000,1000.0
1722322430000,1000.0
1722322435000,1000.0
1722322440000,1000.0
1722322445000,1000.0
1722322450000,1000.0
1722322455000,1000.0
1722322460000,1000.0
1722322465000,1000.0
1722322470000,1000.0
1722322475000,1000.0
1722322480000,987.0
1722322485000,988.0
1722322490000,
1722322520000,0.0
1722322525000,0.0
1722322530000,579.0
1722322535000,738.0
1722322540000,916.0
1722322545000,1000.0
1722322550000,1000.0
1722322555000,1000.0
1722322560000,1000.0
1722322565000,1000.0
1722322570000,1000.0
1722322575000,1000.0
1722322580000,1000.0
1722322585000,1000.0
1722322590000,1000.0
1722322595000,1000.0
1722322600000,1000.0
1722322605000,1000.0
1722322610000,1000.0
1722322615000,1000.0
1722322620000,1000.0
1722322625000,1000.0
1722322630000,1000.0
1722322635000,1000.0
1722322640000,1000.0
1722322645000,1000.0
1722322650000,1000.0
1722322655000,1000.0
1722322660000,1000.0
1722322665000,1000.0
1722322670000,1000.0
1722322675000,1000.0
1722322680000,1000.0
1722322685000,1000.0
1722322690000,1000.0
1722322695000,1000.0
1722322700000,1000.0
1722322705000,1000.0
1722322710000,1000.0
1722322715000,1000.0
1722322720000,1000.0
1722322725000,1000.0
1722322730000,1000.0
1722322735000,1000.0
1722322740000,1000.0
1722322745000,1000.0
1722322750000,1000.0
1722322755000,1000.0
1722322760000,1000.0
1722322765000,1000.0
1722322770000,1000.0
1722322775000,1000.0
1722322780000,1000.0
1722322785000,1000.0
1722322790000,1000.0
1722322795000,1000.0
1722322800000,1000.0
1722322805000,1000.0
1722322810000,982.0
1722322815000,997.0
1722322820000,1000.0
1722322825000,1000.0
1722322830000,1000.0
1722322835000,1000.0
1722322840000,1000.0
1722322845000,1000.0
1722322850000,1000.0
1722322855000,1000.0
1722322860000,1000.0
1722322865000,1000.0
1722322870000,1000.0
1722322875000,1000.0
1722322880000,1000.0
1722322885000,1000.0
1722322890000,1000.0
1722322895000,1000.0
1722322900000,1000.0
1722322905000,1000.0
1722322910000,1000.0
1722322915000,1000.0
1722322920000,1000.0
1722322925000,1000.0
1722322930000,1000.0
1722322935000,1000.0
1722322940000,1000.0
1722322945000,
1722322980000,0.0
1722322985000,0.0
1722322990000,328.0
1722322995000,523.0
1722323000000,642.0
1722323005000,935.0
1722323010000,967.0
1722323015000,1000.0
1722323020000,1000.0
1722323025000,1000.0
1722323030000,1000.0
1722323035000,1000.0
1722323040000,999.0
1722323045000,1000.0
1722323050000,1000.0
1722323055000,1000.0
1722323060000,1000.0
1722323065000,978.0
1722323070000,964.0
1722323075000,955.0
1722323080000,933.0
1722323085000,940.0
1722323090000,932.0
1722323095000,915.0
1722323100000,925.0
1722323105000,948.0
1722323110000,961.0
1722323115000,952.0
1722323120000,943.0
1722323125000,933.0
1722323130000,941.0
1722323135000,922.0
1722323140000,933.0
1722323145000,941.0
1722323150000,944.0
1722323155000,953.0
1722323160000,947.0
1722323165000,942.0
1722323170000,929.0
1722323175000,940.0
1722323180000,939.0
1722323185000,954.0
1722323190000,944.0
1722323195000,945.0
1722323200000,933.0
1722323205000,930.0
1722323210000,947.0
1722323215000,952.0
1722323220000,947.0
1722323225000,960.0
1722323230000,968.0
1722323235000,953.0
1722323240000,960.0
1722323245000,958.0
1722323250000,958.0
1722323255000,966.0
1722323260000,965.0
1722323265000,951.0
1722323270000,935.0
1722323275000,940.0
1722323280000,950.0
1722323285000,939.0
1722323290000,931.0
1722323295000,932.0
1722323300000,932.0
1722323305000,941.0
1722323310000,930.0
1722323315000,922.0
1722323320000,921.0
1722323325000,930.0
1722323330000,933.0
1722323335000,919.0
1722323340000,922.0
1722323345000,922.0
1722323350000,926.0
1722323355000,932.0
1722323360000,925.0
1722323365000,919.0
1722323370000,932.0
1722323375000,932.0
1722323380000,946.0
1722323385000,952.0
1722323390000,953.0
1722323395000,957.0
1722323400000,
1722323440000,0.0
1722323445000,0.0
1722323450000,0.0
1722323455000,165.0
1722323460000,432.0
1722323465000,564.0
1722323470000,633.0
1722323475000,679.0
1722323480000,716.0
1722323485000,737.0
1722323490000,740.0
1722323495000,772.0
1722323500000,777.0
1722323505000,792.0
1722323510000,859.0
1722323515000,903.0
1722323520000,904.0
1722323525000,896.0
1722323530000,898.0
1722323535000,901.0
1722323540000,905.0
1722323545000,911.0
1722323550000,920.0
1722323555000,911.0
1722323560000,915.0
1722323565000,913.0
1722323570000,917.0
1722323575000,919.0
1722323580000,913.0
1722323585000,912.0
1722323590000,913.0
1722323595000,912.0
1722323600000,906.0
1722323605000,899.0
1722323610000,895.0
1722323615000,892.0
1722323620000,899.0
1722323625000,891.0
1722323630000,898.0
1722323635000,894.0
1722323640000,890.0
1722323645000,896.0
1722323650000,899.0
1722323655000,888.0
1722323660000,881.0
1722323665000,880.0
1722323670000,876.0
1722323675000,875.0
1722323680000,866.0
1722323685000,868.0
1722323690000,861.0
1722323695000,867.0
1722323700000,870.0
1722323705000,861.0
1722323710000,859.0
1722323715000,879.0
1722323720000,886.0
1722323725000,884.0
1722323730000,881.0
1722323735000,878.0
1722323740000,880.0
1722323745000,892.0
1722323750000,907.0
1722323755000,912.0
1722323760000,903.0
1722323765000,905.0
1722323770000,901.0
1722323775000,885.0
1722323780000,874.0
1722323785000,874.0
1722323790000,893.0
1722323795000,905.0
1722323800000,902.0
1722323805000,893.0
1722323810000,879.0
1722323815000,872.0
1722323820000,889.0
1722323825000,900.0
1722323830000,914.0
1722323835000,923.0
1722323840000,930.0
1722323845000,942.0
1722323850000,935.0
1722323855000,923.0
1722323860000,932.0
1722323865000,923.0
1722323870000,
1722323905000,0.0
1722323910000,0.0
1722323915000,1000.0
1722323920000,1000.0
1722323925000,1000.0
1722323930000,1000.0
1722323935000,1000.0
1722323940000,1000.0
1722323945000,1000.0
1722323950000,1000.0
1722323955000,1000.0
1722323960000,1000.0
1722323965000,1000.0
1722323970000,1000.0
1722323975000,995.0
1722323980000,968.0
1722323985000,955.0
1722323990000,956.0
1722323995000,961.0
1722324000000,958.0
1722324005000,972.0
1722324010000,980.0
1722324015000,978.0
1722324020000,977.0
1722324025000,974.0
1722324030000,972.0
1722324035000,981.0
1722324040000,993.0
1722324045000,997.0
1722324050000,1000.0
1722324055000,1000.0
1722324060000,1000.0
1722324065000,1000.0
1722324070000,1000.0
1722324075000,999.0
1722324080000,1000.0
1722324085000,1000.0
1722324090000,1000.0
1722324095000,1000.0
1722324100000,1000.0
1722324105000,1000.0
1722324110000,1000.0
1722324115000,1000.0
1722324120000,997.0
1722324125000,1000.0
1722324130000,1000.0
1722324135000,1000.0
1722324140000,1000.0
1722324145000,1000.0
1722324150000,1000.0
1722324155000,1000.0
1722324160000,1000.0
1722324165000,1000.0
1722324170000,1000.0
1722324175000,1000.0
1722324180000,1000.0
1722324185000,1000.0
1722324190000,1000.0
1722324195000,1000.0
1722324200000,1000.0
1722324205000,1000.0
1722324210000,1000.0
1722324215000,1000.0
1722324220000,1000.0
1722324225000,1000.0
1722324230000,1000.0
1722324235000,1000.0
1722324240000,1000.0
1722324245000,1000.0
1722324250000,1000.0
1722324255000,1000.0
1722324260000,1000.0
1722324265000,998.0
1722324270000,990.0
1722324275000,992.0
1722324280000,998.0
1722324285000,992.0
1722324290000,995.0
1722324295000,992.0
1722324300000,1000.0
1722324305000,1000.0
1722324310000,1000.0
1722324315000,1000.0
1722324320000,1000.0
1722324325000,1000.0
1722324330000,1000.0
1722324335000,1000.0
1722324340000,1000.0
1722324345000,1000.0
1722324350000,1000.0
1722324355000,1000.0
1722324360000,1000.0
1722324365000,1000.0
1722324370000,1000.0
1722324375000,996.0
1722324380000,998.0
1722324385000,1000.0
1722324390000,998.0
1722324395000,989.0
1722324400000,961.0
1722324405000,956.0
1722324410000,945.0
1722324415000,
1722324445000,0.0
1722324450000,0.0
1722324455000,995.0
1722324460000,1000.0
1722324465000,1000.0
1722324470000,1000.0
1722324475000,1000.0
1722324480000,1000.0
1722324485000,1000.0
1722324490000,1000.0
1722324495000,1000.0
1722324500000,1000.0
1722324505000,1000.0
1722324510000,1000.0
1722324515000,1000.0
1722324520000,1000.0
1722324525000,967.0
1722324530000,960.0
1722324535000,963.0
1722324540000,961.0
1722324545000,964.0
1722324550000,979.0
1722324555000,977.0
1722324560000,975.0
1722324565000,976.0
1722324570000,971.0
1722324575000,969.0
1722324580000,967.0
1722324585000,973.0
1722324590000,980.0
1722324595000,980.0
1722324600000,977.0
1722324605000,975.0
1722324610000,955.0
1722324615000,942.0
1722324620000,941.0
1722324625000,941.0
1722324630000,938.0
1722324635000,935.0
1722324640000,931.0
1722324645000,922.0
1722324650000,920.0
1722324655000,932.0
1722324660000,930.0
1722324665000,926.0
1722324670000,930.0
1722324675000,949.0
1722324680000,948.0
1722324685000,946.0
1722324690000,945.0
1722324695000,951.0
1722324700000,946.0
1722324705000,948.0
1722324710000,949.0
1722324715000,941.0
1722324720000,947.0
1722324725000,943.0
1722324730000,935.0
1722324735000,928.0
1722324740000,948.0
1722324745000,956.0
1722324750000,955.0
1722324755000,967.0
1722324760000,965.0
1722324765000,969.0
1722324770000,967.0
1722324775000,963.0
1722324780000,964.0
1722324785000,969.0
1722324790000,970.0
1722324795000,975.0
1722324800000,963.0
1722324805000,951.0
1722324810000,944.0
1722324815000,935.0
1722324820000,939.0
1722324825000,939.0
1722324830000,939.0
1722324835000,942.0
1722324840000,949.0
1722324845000,950.0
1722324850000,959.0
1722324855000,956.0
1722324860000,954.0
1722324865000,955.0
1722324870000,962.0
1722324875000,960.0
1722324880000,972.0
1722324885000,
1722324925000,0.0
1722324930000,0.0
1722324935000,853.0
1722324940000,903.0
1722324945000,930.0
1722324950000,966.0
1722324955000,959.0
1722324960000,967.0
1722324965000,957.0
1722324970000,955.0
1722324975000,955.0
1722324980000,958.0
1722324985000,952.0
1722324990000,957.0
1722324995000,970.0
1722325000000,965.0
1722325005000,966.0
1722325010000,970.0
1722325015000,972.0
1722325020000,970.0
1722325025000,976.0
1722325030000,976.0
1722325035000,973.0
1722325040000,973.0
1722325045000,973.0
1722325050000,966.0
1722325055000,962.0
1722325060000,970.0
1722325065000,970.0
1722325070000,960.0
1722325075000,956.0
1722325080000,952.0
1722325085000,946.0
1722325090000,963.0
1722325095000,957.0
1722325100000,955.0
1722325105000,956.0
1722325110000,959.0
1722325115000,953.0
1722325120000,949.0
1722325125000,947.0
1722325130000,947.0
1722325135000,947.0
1722325140000,944.0
1722325145000,943.0
1722325150000,922.0
1722325155000,927.0
1722325160000,923.0
1722325165000,925.0
1722325170000,921.0
1722325175000,924.0
1722325180000,930.0
1722325185000,929.0
1722325190000,927.0
1722325195000,924.0
1722325200000,926.0
1722325205000,930.0
1722325210000,934.0
1722325215000,940.0
1722325220000,947.0
1722325225000,947.0
1722325230000,942.0
1722325235000,941.0
1722325240000,
1722325280000,0.0
1722325285000,0.0
1722325290000,0.0
1722325295000,128.0
1722325300000,401.0
1722325305000,557.0
1722325310000,622.0
1722325315000,689.0
1722325320000,711.0
1722325325000,707.0
1722325330000,710.0
1722325335000,720.0
1722325340000,721.0
1722325345000,739.0
1722325350000,842.0
1722325355000,892.0
1722325360000,879.0
1722325365000,857.0
1722325370000,857.0
1722325375000,838.0
1722325380000,841.0
1722325385000,864.0
1722325390000,871.0
1722325395000,881.0
1722325400000,885.0
1722325405000,887.0
1722325410000,847.0
1722325415000,857.0
1722325420000,858.0
1722325425000,867.0
1722325430000,868.0
1722325435000,868.0
1722325440000,856.0
1722325445000,841.0
1722325450000,845.0
1722325455000,836.0
1722325460000,834.0
1722325465000,818.0
1722325470000,827.0
1722325475000,813.0
1722325480000,810.0
1722325485000,807.0
1722325490000,791.0
1722325495000,788.0
1722325500000,797.0
1722325505000,805.0
1722325510000,809.0
1722325515000,844.0
1722325520000,852.0
1722325525000,851.0
1722325530000,848.0
1722325535000,861.0
1722325540000,864.0
1722325545000,856.0
1722325550000,852.0
1722325555000,859.0
1722325560000,863.0
1722325565000,854.0
1722325570000,843.0
1722325575000,788.0
1722325580000,775.0
1722325585000,783.0
1722325590000,781.0
1722325595000,766.0
1722325600000,770.0
1722325605000,781.0
1722325610000,791.0
1722325615000,796.0
1722325620000,787.0
1722325625000,801.0
1722325630000,801.0
1722325635000,828.0
1722325640000,843.0
1722325645000,841.0
1722325650000,838.0
1722325655000,823.0
1722325660000,816.0
1722325665000,817.0
1722325670000,832.0
1722325675000,831.0
1722325680000,846.0
1722325685000,843.0
1722325690000,846.0
1722325695000,848.0
1722325700000,855.0
1722325705000,864.0
1722325710000,870.0
1722325715000,884.0
1722325720000,889.0
1722325725000,882.0
1722325730000,884.0
1722325735000,880.0
1722325740000,876.0
1722325745000,891.0
1722325750000,894.0
1722325755000,880.0
1722325760000,867.0
1722325765000,864.0
1722325770000,855.0
1722325775000,853.0
1722325780000,845.0
1722325785000,836.0
1722325790000,821.0
1722325795000,814.0
1722325800000,799.0
1722325805000,776.0
1722325810000,785.0
1722325815000,792.0
1722325820000,792.0
1722325825000,778.0
1722325830000,787.0
1722325835000,796.0
1722325840000,802.0
1722325845000,813.0
1722325850000,799.0
1722325855000,800.0
1722325860000,804.0
1722325865000,790.0
1722325870000,779.0
1722325875000,775.0
1722325880000,770.0
1722325885000,771.0
1722325890000,768.0
1722325895000,764.0
1722325900000,771.0
1722325905000,782.0
1722325910000,808.0
1722325915000,818.0
1722325920000,814.0
1722325925000,834.0
1722325930000,831.0
1722325935000,834.0
1722325940000,835.0
1722325945000,831.0
