,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1722270340000,0.0
1722270345000,0.0
1722270350000,0.0
1722270355000,0.0
1722270360000,0.0
1722270365000,0.0
1722270370000,0.0
1722270375000,0.0
1722270380000,0.0
1722270385000,0.0
1722270390000,0.0
1722270395000,0.0
1722270400000,0.0
1722270405000,37.0
1722270410000,106.0
1722270415000,189.0
1722270420000,366.0
1722270425000,457.0
1722270430000,532.0
1722270435000,637.0
1722270440000,708.0
1722270445000,800.0
1722270450000,946.0
1722270455000,1000.0
1722270460000,1000.0
1722270465000,1000.0
1722270470000,1000.0
1722270475000,1000.0
1722270480000,1000.0
1722270485000,1000.0
1722270490000,1000.0
1722270495000,1000.0
1722270500000,1000.0
1722270505000,1000.0
1722270510000,1000.0
1722270515000,1000.0
1722270520000,1000.0
1722270525000,1000.0
1722270530000,1000.0
1722270535000,1000.0
1722270540000,1000.0
1722270545000,1000.0
1722270550000,1000.0
1722270555000,1000.0
1722270560000,1000.0
1722270565000,1000.0
1722270570000,1000.0
1722270575000,1000.0
1722270580000,1000.0
1722270585000,1000.0
1722270590000,1000.0
1722270595000,1000.0
1722270600000,1000.0
1722270605000,1000.0
1722270610000,1000.0
1722270615000,1000.0
1722270620000,1000.0
1722270625000,1000.0
1722270630000,1000.0
1722270635000,1000.0
1722270640000,1000.0
1722270645000,1000.0
1722270650000,1000.0
1722270655000,1000.0
1722270660000,1000.0
1722270665000,1000.0
1722270670000,1000.0
1722270675000,1000.0
1722270680000,1000.0
1722270685000,1000.0
1722270690000,1000.0
1722270695000,1000.0
1722270700000,1000.0
1722270705000,1000.0
1722270710000,1000.0
1722270715000,1000.0
1722270720000,1000.0
1722270725000,1000.0
1722270730000,1000.0
1722270735000,1000.0
1722270740000,1000.0
1722270745000,1000.0
1722270750000,1000.0
1722270755000,1000.0
1722270760000,1000.0
1722270765000,1000.0
1722270770000,1000.0
1722270775000,1000.0
1722270780000,1000.0
1722270785000,1000.0
1722270790000,1000.0
1722270795000,1000.0
1722270800000,1000.0
1722270805000,1000.0
1722270810000,1000.0
1722270815000,1000.0
1722270820000,1000.0
1722270825000,1000.0
1722270830000,1000.0
1722270835000,
1722270870000,0.0
1722270875000,0.0
1722270880000,0.0
1722270885000,346.0
1722270890000,786.0
1722270895000,812.0
1722270900000,829.0
1722270905000,843.0
1722270910000,852.0
1722270915000,847.0
1722270920000,849.0
1722270925000,852.0
1722270930000,870.0
1722270935000,879.0
1722270940000,1000.0
1722270945000,1000.0
1722270950000,1000.0
1722270955000,1000.0
1722270960000,1000.0
1722270965000,1000.0
1722270970000,1000.0
1722270975000,1000.0
1722270980000,1000.0
1722270985000,1000.0
1722270990000,1000.0
1722270995000,1000.0
1722271000000,1000.0
1722271005000,1000.0
1722271010000,1000.0
1722271015000,1000.0
1722271020000,1000.0
1722271025000,1000.0
1722271030000,1000.0
1722271035000,1000.0
1722271040000,1000.0
1722271045000,1000.0
1722271050000,1000.0
1722271055000,1000.0
1722271060000,1000.0
1722271065000,997.0
1722271070000,993.0
1722271075000,995.0
1722271080000,1000.0
1722271085000,1000.0
1722271090000,1000.0
1722271095000,1000.0
1722271100000,1000.0
1722271105000,1000.0
1722271110000,1000.0
1722271115000,1000.0
1722271120000,1000.0
1722271125000,1000.0
1722271130000,1000.0
1722271135000,
1722271165000,0.0
1722271170000,0.0
1722271175000,0.0
1722271180000,253.0
1722271185000,491.0
1722271190000,633.0
1722271195000,724.0
1722271200000,799.0
1722271205000,857.0
1722271210000,886.0
1722271215000,911.0
1722271220000,914.0
1722271225000,956.0
1722271230000,973.0
1722271235000,1000.0
1722271240000,1000.0
1722271245000,1000.0
1722271250000,1000.0
1722271255000,1000.0
1722271260000,1000.0
1722271265000,1000.0
1722271270000,1000.0
1722271275000,1000.0
1722271280000,1000.0
1722271285000,1000.0
1722271290000,1000.0
1722271295000,1000.0
1722271300000,1000.0
1722271305000,1000.0
1722271310000,1000.0
1722271315000,1000.0
1722271320000,1000.0
1722271325000,1000.0
1722271330000,1000.0
1722271335000,1000.0
1722271340000,1000.0
1722271345000,1000.0
1722271350000,1000.0
1722271355000,1000.0
1722271360000,1000.0
1722271365000,1000.0
1722271370000,1000.0
1722271375000,1000.0
1722271380000,1000.0
1722271385000,1000.0
1722271390000,1000.0
1722271395000,1000.0
1722271400000,1000.0
1722271405000,1000.0
1722271410000,1000.0
1722271415000,1000.0
1722271420000,1000.0
1722271425000,1000.0
1722271430000,1000.0
1722271435000,1000.0
1722271440000,
1722271475000,0.0
1722271480000,0.0
1722271485000,0.0
1722271490000,74.0
1722271495000,218.0
1722271500000,298.0
1722271505000,314.0
1722271510000,356.0
1722271515000,390.0
1722271520000,452.0
1722271525000,503.0
1722271530000,534.0
1722271535000,557.0
1722271540000,602.0
1722271545000,682.0
1722271550000,746.0
1722271555000,770.0
1722271560000,782.0
1722271565000,818.0
1722271570000,841.0
1722271575000,873.0
1722271580000,858.0
1722271585000,868.0
1722271590000,877.0
1722271595000,888.0
1722271600000,867.0
1722271605000,865.0
1722271610000,866.0
1722271615000,885.0
1722271620000,906.0
1722271625000,900.0
1722271630000,906.0
1722271635000,918.0
1722271640000,936.0
1722271645000,936.0
1722271650000,963.0
1722271655000,923.0
1722271660000,914.0
1722271665000,866.0
1722271670000,832.0
1722271675000,788.0
1722271680000,785.0
1722271685000,795.0
1722271690000,781.0
1722271695000,769.0
1722271700000,770.0
1722271705000,750.0
1722271710000,715.0
1722271715000,748.0
1722271720000,759.0
1722271725000,804.0
1722271730000,825.0
1722271735000,863.0
1722271740000,857.0
1722271745000,847.0
1722271750000,863.0
1722271755000,870.0
1722271760000,866.0
1722271765000,868.0
1722271770000,863.0
1722271775000,872.0
1722271780000,880.0
1722271785000,891.0
1722271790000,893.0
1722271795000,893.0
1722271800000,911.0
1722271805000,911.0
1722271810000,886.0
1722271815000,868.0
1722271820000,864.0
1722271825000,863.0
1722271830000,870.0
1722271835000,0.0
1722271840000,0.0
1722271845000,1000.0
1722271850000,1000.0
1722271855000,
1722271890000,0.0
1722271895000,0.0
1722271900000,0.0
1722271905000,297.0
1722271910000,460.0
1722271915000,526.0
1722271920000,534.0
1722271925000,533.0
1722271930000,579.0
1722271935000,608.0
1722271940000,644.0
1722271945000,661.0
1722271950000,690.0
1722271955000,710.0
1722271960000,777.0
1722271965000,801.0
1722271970000,810.0
1722271975000,820.0
1722271980000,837.0
1722271985000,879.0
1722271990000,877.0
1722271995000,891.0
1722272000000,902.0
1722272005000,908.0
1722272010000,900.0
1722272015000,881.0
1722272020000,893.0
1722272025000,899.0
1722272030000,903.0
1722272035000,908.0
1722272040000,917.0
1722272045000,906.0
1722272050000,914.0
1722272055000,913.0
1722272060000,877.0
1722272065000,848.0
1722272070000,844.0
1722272075000,891.0
1722272080000,896.0
1722272085000,901.0
1722272090000,898.0
1722272095000,899.0
1722272100000,910.0
1722272105000,904.0
1722272110000,900.0
1722272115000,899.0
1722272120000,935.0
1722272125000,965.0
1722272130000,968.0
1722272135000,941.0
1722272140000,928.0
1722272145000,924.0
1722272150000,921.0
1722272155000,916.0
1722272160000,914.0
1722272165000,926.0
1722272170000,940.0
1722272175000,927.0
1722272180000,924.0
1722272185000,925.0
1722272190000,929.0
1722272195000,924.0
1722272200000,918.0
1722272205000,913.0
1722272210000,917.0
1722272215000,910.0
1722272220000,912.0
1722272225000,911.0
1722272230000,890.0
1722272235000,907.0
1722272240000,892.0
1722272245000,898.0
1722272250000,0.0
1722272255000,0.0
1722272260000,0.0
1722272265000,0.0
1722272270000,0.0
1722272275000,0.0
1722272280000,0.0
1722272285000,0.0
1722272290000,739.0
1722272295000,
1722272330000,0.0
1722272335000,0.0
1722272340000,0.0
1722272345000,242.0
1722272350000,517.0
1722272355000,594.0
1722272360000,618.0
1722272365000,660.0
1722272370000,675.0
1722272375000,701.0
1722272380000,747.0
1722272385000,772.0
1722272390000,787.0
1722272395000,798.0
1722272400000,871.0
1722272405000,916.0
1722272410000,899.0
1722272415000,904.0
1722272420000,903.0
1722272425000,899.0
1722272430000,910.0
1722272435000,927.0
1722272440000,908.0
1722272445000,888.0
1722272450000,887.0
1722272455000,894.0
1722272460000,907.0
1722272465000,879.0
1722272470000,866.0
1722272475000,852.0
1722272480000,852.0
1722272485000,872.0
1722272490000,858.0
1722272495000,839.0
1722272500000,836.0
1722272505000,851.0
1722272510000,844.0
1722272515000,828.0
1722272520000,815.0
1722272525000,822.0
1722272530000,829.0
1722272535000,849.0
1722272540000,862.0
1722272545000,841.0
1722272550000,848.0
1722272555000,841.0
1722272560000,845.0
1722272565000,842.0
1722272570000,853.0
1722272575000,852.0
1722272580000,854.0
1722272585000,861.0
1722272590000,859.0
1722272595000,844.0
1722272600000,846.0
1722272605000,841.0
1722272610000,839.0
1722272615000,869.0
1722272620000,857.0
1722272625000,853.0
1722272630000,858.0
1722272635000,864.0
1722272640000,865.0
1722272645000,855.0
1722272650000,858.0
1722272655000,861.0
1722272660000,855.0
1722272665000,864.0
1722272670000,876.0
1722272675000,849.0
1722272680000,853.0
1722272685000,853.0
1722272690000,835.0
1722272695000,818.0
1722272700000,798.0
1722272705000,817.0
1722272710000,856.0
1722272715000,867.0
1722272720000,875.0
1722272725000,
1722272760000,0.0
1722272765000,0.0
1722272770000,357.0
1722272775000,692.0
1722272780000,768.0
1722272785000,824.0
1722272790000,839.0
1722272795000,828.0
1722272800000,820.0
1722272805000,832.0
1722272810000,829.0
1722272815000,838.0
1722272820000,854.0
1722272825000,927.0
1722272830000,946.0
1722272835000,908.0
1722272840000,891.0
1722272845000,866.0
1722272850000,858.0
1722272855000,866.0
1722272860000,878.0
1722272865000,883.0
1722272870000,894.0
1722272875000,882.0
1722272880000,846.0
1722272885000,805.0
1722272890000,788.0
1722272895000,792.0
1722272900000,774.0
1722272905000,773.0
1722272910000,779.0
1722272915000,760.0
1722272920000,760.0
1722272925000,741.0
1722272930000,754.0
1722272935000,756.0
1722272940000,774.0
1722272945000,809.0
1722272950000,813.0
1722272955000,817.0
1722272960000,833.0
1722272965000,840.0
1722272970000,824.0
1722272975000,853.0
1722272980000,840.0
1722272985000,838.0
1722272990000,816.0
1722272995000,815.0
1722273000000,810.0
1722273005000,803.0
1722273010000,799.0
1722273015000,782.0
1722273020000,788.0
1722273025000,777.0
1722273030000,786.0
1722273035000,780.0
1722273040000,782.0
1722273045000,793.0
1722273050000,792.0
1722273055000,800.0
1722273060000,809.0
1722273065000,825.0
1722273070000,831.0
1722273075000,809.0
1722273080000,782.0
1722273085000,769.0
1722273090000,748.0
1722273095000,753.0
1722273100000,758.0
1722273105000,749.0
1722273110000,750.0
1722273115000,753.0
1722273120000,747.0
1722273125000,739.0
1722273130000,741.0
1722273135000,751.0
1722273140000,774.0
1722273145000,798.0
1722273150000,809.0
1722273155000,817.0
1722273160000,812.0
1722273165000,829.0
1722273170000,823.0
1722273175000,809.0
1722273180000,813.0
1722273185000,808.0
1722273190000,804.0
1722273195000,814.0
1722273200000,818.0
1722273205000,830.0
1722273210000,843.0
1722273215000,825.0
1722273220000,815.0
1722273225000,798.0
1722273230000,804.0
1722273235000,796.0
1722273240000,797.0
1722273245000,
1722273280000,0.0
1722273285000,0.0
1722273290000,0.0
1722273295000,64.0
1722273300000,236.0
1722273305000,286.0
1722273310000,374.0
1722273315000,432.0
1722273320000,441.0
1722273325000,451.0
1722273330000,479.0
1722273335000,505.0
1722273340000,536.0
1722273345000,565.0
1722273350000,640.0
1722273355000,697.0
1722273360000,731.0
1722273365000,767.0
1722273370000,787.0
1722273375000,790.0
1722273380000,820.0
1722273385000,836.0
1722273390000,864.0
1722273395000,869.0
1722273400000,885.0
1722273405000,890.0
1722273410000,877.0
1722273415000,878.0
1722273420000,859.0
1722273425000,865.0
1722273430000,857.0
1722273435000,867.0
1722273440000,864.0
1722273445000,875.0
1722273450000,873.0
1722273455000,874.0
1722273460000,862.0
1722273465000,836.0
1722273470000,842.0
1722273475000,832.0
1722273480000,831.0
1722273485000,798.0
1722273490000,769.0
1722273495000,744.0
1722273500000,699.0
1722273505000,699.0
1722273510000,692.0
1722273515000,686.0
1722273520000,677.0
1722273525000,691.0
1722273530000,705.0
1722273535000,716.0
1722273540000,724.0
1722273545000,742.0
1722273550000,768.0
1722273555000,798.0
1722273560000,834.0
1722273565000,836.0
1722273570000,851.0
1722273575000,859.0
1722273580000,863.0
1722273585000,871.0
1722273590000,872.0
1722273595000,866.0
1722273600000,877.0
1722273605000,889.0
1722273610000,902.0
1722273615000,902.0
1722273620000,912.0
1722273625000,912.0
1722273630000,871.0
1722273635000,877.0
1722273640000,882.0
1722273645000,884.0
1722273650000,865.0
1722273655000,872.0
1722273660000,859.0
1722273665000,851.0
1722273670000,830.0
1722273675000,812.0
1722273680000,823.0
1722273685000,829.0
1722273690000,825.0
1722273695000,786.0
1722273700000,758.0
1722273705000,762.0
1722273710000,757.0
1722273715000,752.0
1722273720000,736.0
1722273725000,
1722273730000,0.0
1722273735000,0.0
1722273740000,0.0
1722273745000,0.0
1722273750000,0.0
1722273755000,
1722273795000,0.0
1722273800000,0.0
1722273805000,0.0
1722273810000,106.0
1722273815000,383.0
1722273820000,430.0
1722273825000,529.0
1722273830000,596.0
1722273835000,664.0
1722273840000,676.0
1722273845000,711.0
1722273850000,728.0
1722273855000,732.0
1722273860000,745.0
1722273865000,815.0
1722273870000,873.0
1722273875000,864.0
1722273880000,889.0
1722273885000,867.0
1722273890000,868.0
1722273895000,835.0
1722273900000,810.0
1722273905000,752.0
1722273910000,725.0
1722273915000,732.0
1722273920000,737.0
1722273925000,754.0
1722273930000,737.0
1722273935000,747.0
1722273940000,776.0
1722273945000,793.0
1722273950000,774.0
1722273955000,789.0
1722273960000,820.0
1722273965000,866.0
1722273970000,887.0
1722273975000,870.0
1722273980000,847.0
1722273985000,821.0
1722273990000,837.0
1722273995000,816.0
1722274000000,774.0
1722274005000,766.0
1722274010000,779.0
1722274015000,774.0
1722274020000,756.0
1722274025000,745.0
1722274030000,752.0
1722274035000,756.0
1722274040000,763.0
1722274045000,767.0
1722274050000,763.0
1722274055000,772.0
1722274060000,781.0
1722274065000,776.0
1722274070000,779.0
1722274075000,769.0
1722274080000,770.0
1722274085000,782.0
1722274090000,791.0
1722274095000,815.0
1722274100000,795.0
1722274105000,793.0
1722274110000,775.0
1722274115000,735.0
1722274120000,741.0
1722274125000,742.0
1722274130000,721.0
1722274135000,732.0
1722274140000,730.0
1722274145000,729.0
1722274150000,716.0
1722274155000,703.0
1722274160000,723.0
1722274165000,718.0
1722274170000,728.0
1722274175000,
1722274180000,0.0
1722274185000,
1722274220000,0.0
1722274225000,0.0
1722274230000,122.0
1722274235000,312.0
1722274240000,301.0
1722274245000,355.0
1722274250000,436.0
1722274255000,501.0
1722274260000,531.0
1722274265000,545.0
1722274270000,541.0
1722274275000,547.0
1722274280000,543.0
1722274285000,574.0
1722274290000,593.0
1722274295000,600.0
1722274300000,654.0
1722274305000,670.0
1722274310000,674.0
1722274315000,646.0
1722274320000,604.0
1722274325000,557.0
1722274330000,547.0
1722274335000,561.0
1722274340000,557.0
1722274345000,588.0
1722274350000,592.0
1722274355000,585.0
1722274360000,579.0
1722274365000,591.0
1722274370000,562.0
1722274375000,573.0
1722274380000,608.0
1722274385000,657.0
1722274390000,690.0
1722274395000,711.0
1722274400000,749.0
1722274405000,743.0
1722274410000,760.0
1722274415000,759.0
1722274420000,741.0
1722274425000,732.0
1722274430000,761.0
1722274435000,739.0
1722274440000,737.0
1722274445000,756.0
1722274450000,755.0
1722274455000,729.0
1722274460000,698.0
1722274465000,709.0
1722274470000,708.0
1722274475000,698.0
1722274480000,700.0
1722274485000,691.0
1722274490000,688.0
1722274495000,705.0
1722274500000,714.0
1722274505000,648.0
1722274510000,632.0
1722274515000,614.0
1722274520000,634.0
1722274525000,587.0
1722274530000,571.0
1722274535000,565.0
1722274540000,576.0
1722274545000,583.0
1722274550000,571.0
1722274555000,569.0
1722274560000,579.0
1722274565000,634.0
1722274570000,642.0
1722274575000,661.0
1722274580000,660.0
1722274585000,685.0
1722274590000,683.0
1722274595000,687.0
1722274600000,687.0
1722274605000,651.0
1722274610000,
1722274645000,0.0
1722274650000,0.0
1722274655000,0.0
1722274660000,18.0
1722274665000,267.0
1722274670000,291.0
1722274675000,380.0
1722274680000,498.0
1722274685000,571.0
1722274690000,606.0
1722274695000,629.0
1722274700000,657.0
1722274705000,684.0
1722274710000,695.0
1722274715000,746.0
1722274720000,769.0
1722274725000,761.0
1722274730000,793.0
1722274735000,782.0
1722274740000,748.0
1722274745000,733.0
1722274750000,734.0
1722274755000,733.0
1722274760000,721.0
1722274765000,709.0
1722274770000,689.0
1722274775000,693.0
1722274780000,722.0
1722274785000,712.0
1722274790000,704.0
1722274795000,712.0
1722274800000,720.0
1722274805000,713.0
1722274810000,687.0
1722274815000,674.0
1722274820000,674.0
1722274825000,667.0
1722274830000,696.0
1722274835000,710.0
1722274840000,701.0
1722274845000,704.0
1722274850000,703.0
1722274855000,696.0
1722274860000,691.0
1722274865000,701.0
1722274870000,709.0
1722274875000,711.0
1722274880000,700.0
1722274885000,702.0
1722274890000,683.0
1722274895000,677.0
1722274900000,700.0
1722274905000,701.0
1722274910000,696.0
1722274915000,717.0
1722274920000,726.0
1722274925000,708.0
1722274930000,727.0
1722274935000,762.0
1722274940000,741.0
1722274945000,722.0
1722274950000,722.0
1722274955000,735.0
1722274960000,732.0
1722274965000,767.0
1722274970000,763.0
1722274975000,744.0
1722274980000,738.0
1722274985000,746.0
1722274990000,731.0
1722274995000,708.0
1722275000000,747.0
1722275005000,748.0
1722275010000,748.0
1722275015000,738.0
1722275020000,727.0
1722275025000,698.0
1722275030000,707.0
1722275035000,718.0
1722275040000,702.0
1722275045000,691.0
1722275050000,692.0
1722275055000,688.0
1722275060000,689.0
1722275065000,704.0
1722275070000,708.0
1722275075000,709.0
1722275080000,716.0
1722275085000,733.0
1722275090000,742.0
1722275095000,735.0
1722275100000,739.0
1722275105000,754.0
1722275110000,756.0
1722275115000,743.0
1722275120000,734.0
1722275125000,722.0
1722275130000,702.0
1722275135000,687.0
1722275140000,
1722275145000,0.0
1722275150000,
1722275185000,0.0
1722275190000,0.0
1722275195000,0.0
1722275200000,0.0
1722275205000,189.0
1722275210000,273.0
1722275215000,379.0
1722275220000,487.0
1722275225000,523.0
1722275230000,565.0
1722275235000,606.0
1722275240000,619.0
1722275245000,636.0
1722275250000,656.0
1722275255000,730.0
1722275260000,773.0
1722275265000,785.0
1722275270000,804.0
1722275275000,799.0
1722275280000,771.0
1722275285000,765.0
1722275290000,747.0
1722275295000,728.0
1722275300000,727.0
1722275305000,704.0
1722275310000,682.0
1722275315000,654.0
1722275320000,678.0
1722275325000,683.0
1722275330000,660.0
1722275335000,637.0
1722275340000,630.0
1722275345000,635.0
1722275350000,647.0
1722275355000,651.0
1722275360000,654.0
1722275365000,664.0
1722275370000,658.0
1722275375000,681.0
1722275380000,688.0
1722275385000,661.0
1722275390000,672.0
1722275395000,696.0
1722275400000,706.0
1722275405000,708.0
1722275410000,701.0
1722275415000,702.0
1722275420000,698.0
1722275425000,704.0
1722275430000,713.0
1722275435000,704.0
1722275440000,688.0
1722275445000,710.0
1722275450000,718.0
1722275455000,728.0
1722275460000,737.0
1722275465000,727.0
1722275470000,726.0
1722275475000,730.0
1722275480000,725.0
1722275485000,710.0
1722275490000,718.0
1722275495000,722.0
1722275500000,713.0
1722275505000,719.0
1722275510000,714.0
1722275515000,701.0
1722275520000,688.0
1722275525000,693.0
1722275530000,701.0
1722275535000,688.0
1722275540000,705.0
1722275545000,712.0
1722275550000,711.0
1722275555000,704.0
1722275560000,719.0
1722275565000,721.0
1722275570000,726.0
1722275575000,727.0
1722275580000,716.0
1722275585000,731.0
1722275590000,701.0
1722275595000,697.0
1722275600000,671.0
1722275605000,688.0
1722275610000,685.0
1722275615000,675.0
1722275620000,667.0
1722275625000,658.0
1722275630000,654.0
1722275635000,641.0
1722275640000,642.0
1722275645000,632.0
1722275650000,641.0
1722275655000,663.0
1722275660000,
1722275665000,0.0
1722275670000,786.0
1722275675000,759.0
1722275680000,808.0
1722275685000,768.0
1722275690000,759.0
1722275695000,756.0
1722275700000,760.0
1722275705000,770.0
1722275710000,763.0
1722275715000,755.0
1722275720000,749.0
1722275725000,
1722275730000,0.0
1722275735000,
1722275740000,0.0
1722275745000,633.0
1722275750000,
1722275755000,0.0
1722275760000,0.0
1722275765000,0.0
1722275770000,
1722275810000,0.0
1722275815000,0.0
1722275820000,0.0
1722275825000,212.0
1722275830000,456.0
1722275835000,465.0
1722275840000,513.0
1722275845000,539.0
1722275850000,561.0
1722275855000,602.0
1722275860000,610.0
1722275865000,598.0
1722275870000,616.0
1722275875000,661.0
1722275880000,720.0
1722275885000,716.0
1722275890000,682.0
1722275895000,707.0
1722275900000,701.0
1722275905000,725.0
1722275910000,727.0
1722275915000,715.0
1722275920000,718.0
1722275925000,707.0
1722275930000,690.0
1722275935000,671.0
1722275940000,637.0
1722275945000,648.0
1722275950000,648.0
1722275955000,635.0
1722275960000,630.0
1722275965000,608.0
1722275970000,605.0
1722275975000,600.0
1722275980000,609.0
1722275985000,640.0
1722275990000,666.0
1722275995000,708.0
1722276000000,745.0
1722276005000,745.0
1722276010000,746.0
1722276015000,740.0
1722276020000,752.0
1722276025000,756.0
1722276030000,741.0
1722276035000,749.0
