,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Timestamp,,,,,,,,,,,,,,
1722270340000,0.0,,,,,,,,,,,,,
1722270345000,0.0,,,,,,,,,,,,,
1722270350000,0.0,,,,,,,,,,,,,
1722270355000,0.0,,,,,,,,,,,,,
1722270360000,0.0,,,,,,,,,,,,,
1722270365000,0.0,,,,,,,,,,,,,
1722270370000,0.0,,,,,,,,,,,,,
1722270375000,0.0,,,,,,,,,,,,,
1722270380000,0.0,,,,,,,,,,,,,
1722270385000,0.0,,,,,,,,,,,,,
1722270390000,336.1666666666,,,,,,,,,,,,,
1722270395000,653.95,,,,,,,,,,,,,
1722270400000,919.5,,,,,,,,,,,,,
1722270405000,2944.8,,,,,,,,,,,,,
1722270410000,6525.483333329999,,,,,,,,,,,,,
1722270415000,6525.483333329999,,,,,,,,,,,,,
1722270420000,7703.883333329999,,,,,,,,,,,,,
1722270425000,8827.05,,,,,,,,,,,,,
1722270430000,12283.016666659998,,,,,,,,,,,,,
1722270435000,13497.83333333,,,,,,,,,,,,,
1722270440000,16817.7,,,,,,,,,,,,,
1722270445000,17795.85,,,,,,,,,,,,,
1722270450000,17739.25,,,,,,,,,,,,,
1722270455000,18613.316666659997,,,,,,,,,,,,,
1722270460000,20053.41666666,,,,,,,,,,,,,
1722270465000,18712.85,,,,,,,,,,,,,
1722270470000,16124.25,,,,,,,,,,,,,
1722270475000,17967.08333333,,,,,,,,,,,,,
1722270480000,17415.8,,,,,,,,,,,,,
1722270485000,17215.566666659997,,,,,,,,,,,,,
1722270490000,15617.05,,,,,,,,,,,,,
1722270495000,14861.616666659998,,,,,,,,,,,,,
1722270500000,12571.366666659998,,,,,,,,,,,,,
1722270505000,13341.66666666,,,,,,,,,,,,,
1722270510000,13495.466666659999,,,,,,,,,,,,,
1722270515000,13484.08333333,,,,,,,,,,,,,
1722270520000,13548.283333329999,,,,,,,,,,,,,
1722270525000,12863.55,,,,,,,,,,,,,
1722270530000,13354.766666659998,,,,,,,,,,,,,
1722270535000,13042.06666666,,,,,,,,,,,,,
1722270540000,12669.383333329999,,,,,,,,,,,,,
1722270545000,13582.56666666,,,,,,,,,,,,,
1722270550000,12198.716666659999,,,,,,,,,,,,,
1722270555000,12743.73333333,,,,,,,,,,,,,
1722270560000,13721.45,,,,,,,,,,,,,
1722270565000,12336.66666666,,,,,,,,,,,,,
1722270570000,13002.516666659998,,,,,,,,,,,,,
1722270575000,13607.35,,,,,,,,,,,,,
1722270580000,12629.383333329999,,,,,,,,,,,,,
1722270585000,13542.48333333,,,,,,,,,,,,,
1722270590000,13642.116666659998,,,,,,,,,,,,,
1722270595000,12663.533333329999,,,,,,,,,,,,,
