,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722238510000,0.0,,,,,,,
1722238515000,0.0,,,,,,,
1722238520000,908.3166666666,,,,,,,
1722238525000,2045.6,,,,,,,
1722238530000,3974.65,,,,,,,
1722238535000,5955.933333329999,,,,,,,
1722238540000,7904.3,,,,,,,
1722238545000,9883.05,,,,,,,
1722238550000,11861.75,,,,,,,
1722238555000,13819.716666659999,,,,,,,
1722238560000,15801.23333333,,,,,,,
1722238565000,17768.21666666,,,,,,,
1722238570000,19727.46666666,,,,,,,
1722238575000,21698.35,,,,,,,
1722238580000,22750.66666666,,,,,,,
1722238585000,23554.05,,,,,,,
1722238590000,23610.85,,,,,,,
1722238595000,23624.75,,,,,,,
1722238600000,23621.66666666,,,,,,,
1722238605000,23634.98333333,,,,,,,
1722238610000,23651.7,,,,,,,
1722238615000,23663.6,,,,,,,
1722238620000,23656.71666666,,,,,,,
1722238625000,23652.633333330003,,,,,,,
1722238630000,23640.35,,,,,,,
1722238635000,23657.6,,,,,,,
1722238640000,23668.85,,,,,,,
1722238645000,23669.816666659997,,,,,,,
1722238650000,23649.55,,,,,,,
1722238655000,23632.933333330002,,,,,,,
1722238660000,23639.333333330003,,,,,,,
1722238665000,23646.0,,,,,,,
1722238670000,23651.48333333,,,,,,,
1722238675000,23638.9,,,,,,,
1722238680000,23651.183333330002,,,,,,,
1722238685000,23668.133333330003,,,,,,,
1722238690000,,,,,,,,
1722238715000,0.0,0.0,,,,,,
1722238720000,0.0,0.0,,,,,,
1722238725000,1344.65,1330.3666666666,,,,,,
1722238730000,3306.0166666665996,3262.55,,,,,,
1722238735000,5258.16666667,5183.53333333,,,,,,
1722238740000,7143.383333329999,7094.11666666,,,,,,
1722238745000,9041.133333329999,9022.06666666,,,,,,
1722238750000,10957.383333329999,10967.76666666,,,,,,
1722238755000,12917.366666659998,12955.366666659998,,,,,,
1722238760000,14852.58333333,14912.65,,,,,,
1722238765000,16779.6,16831.85,,,,,,
1722238770000,18735.41666666,18795.38333333,,,,,,
1722238775000,20693.95,20768.983333329998,,,,,,
1722238780000,22636.58333333,22687.86666666,,,,,,
1722238785000,23260.86666666,23308.933333330002,,,,,,
1722238790000,23257.3,23369.71666666,,,,,,
1722238795000,23268.05,23401.21666666,,,,,,
1722238800000,23340.5,23440.516666659998,,,,,,
1722238805000,23425.05,23477.98333333,,,,,,
1722238810000,23465.083333330003,23506.016666659998,,,,,,
1722238815000,23456.41666666,23507.78333333,,,,,,
1722238820000,23486.4,23481.45,,,,,,
1722238825000,23461.36666666,23478.46666666,,,,,,
1722238830000,23480.61666666,23484.383333330003,,,,,,
1722238835000,23490.25,23469.083333330003,,,,,,
1722238840000,23490.183333330002,23492.083333330003,,,,,,
1722238845000,23450.98333333,23513.266666659998,,,,,,
1722238850000,23459.133333330003,23466.316666659997,,,,,,
1722238855000,23441.4,23465.433333330002,,,,,,
1722238860000,23413.4,23434.9,,,,,,
1722238865000,23385.683333330002,23431.96666666,,,,,,
1722238870000,23365.61666666,23393.71666666,,,,,,
1722238875000,23378.816666659997,23362.6,,,,,,
1722238880000,23372.16666666,23365.2,,,,,,
1722238885000,23346.53333333,23320.46666666,,,,,,
1722238890000,23295.78333333,23268.883333330003,,,,,,
1722238895000,23273.21666666,23254.016666659998,,,,,,
1722238900000,23245.85,23217.96666666,,,,,,
1722238905000,23299.36666666,23218.91666666,,,,,,
1722238910000,,,,,,,,
1722238940000,0.0,0.0,0.0,,,,,
1722238945000,0.0,0.0,0.0,,,,,
1722238950000,2677.5,2693.3666666666,2722.8,,,,,
1722238955000,4559.91666667,4574.28333333,4616.11666667,,,,,
1722238960000,6382.016666670001,6413.566666670001,6460.71666667,,,,,
1722238965000,8208.2,8264.68333333,8289.55,,,,,
1722238970000,10123.783333329999,10186.75,10184.3,,,,,
1722238975000,12028.783333329999,12061.56666666,12060.4,,,,,
1722238980000,13938.4,13964.66666666,13995.466666659999,,,,,
1722238985000,15864.16666666,15897.45,15910.23333333,,,,,
1722238990000,17775.08333333,17794.63333333,17803.733333329998,,,,,
1722238995000,19699.7,19739.75,19740.7,,,,,
1722239000000,21637.35,21691.93333333,21691.91666666,,,,,
1722239005000,23514.566666659997,23593.16666666,23587.71666666,,,,,
1722239010000,22760.28333333,22811.85,22779.11666666,,,,,
1722239015000,22803.016666659998,22839.21666666,22797.13333333,,,,,
1722239020000,22897.41666666,22909.733333329998,22860.63333333,,,,,
1722239025000,23000.58333333,23002.36666666,22977.766666659998,,,,,
1722239030000,23028.016666659998,23019.16666666,23017.36666666,,,,,
1722239035000,23000.11666666,23018.5,22983.1,,,,,
1722239040000,22970.71666666,22948.13333333,22834.316666659997,,,,,
1722239045000,22911.15,22883.83333333,22815.95,,,,,
1722239050000,22903.733333329998,22914.1,22857.1,,,,,
1722239055000,22909.3,22897.36666666,22869.15,,,,,
1722239060000,22854.41666666,22857.38333333,22809.516666659998,,,,,
1722239065000,22815.483333329998,22788.65,22754.08333333,,,,,
1722239070000,22809.43333333,22791.71666666,22756.55,,,,,
1722239075000,22816.13333333,22812.95,22785.066666659997,,,,,
1722239080000,22816.13333333,22816.15,22810.0,,,,,
1722239085000,22842.483333329998,22824.816666659997,22824.53333333,,,,,
1722239090000,22833.38333333,22828.33333333,22809.68333333,,,,,
1722239095000,22838.71666666,22837.15,22874.78333333,,,,,
1722239100000,22896.35,22940.83333333,23023.83333333,,,,,
1722239105000,22964.46666666,23029.016666659998,23086.25,,,,,
1722239110000,22968.11666666,23028.05,23064.25,,,,,
1722239115000,23001.25,22975.46666666,23000.5,,,,,
1722239120000,,,0.0,,,,,
1722239125000,0.0,0.0,0.0,,,,,
1722239130000,2863.8666666666,2870.05,2911.3333333333,,,,,
1722239135000,4771.48333333,4778.38333333,4819.51666667,,,,,
1722239140000,6662.33333333,6672.383333329999,6717.5,,,,,
1722239145000,8573.75,8638.21666666,8638.11666666,,,,,
1722239150000,10484.75,10558.5,10536.43333333,,,,,
1722239155000,12335.91666666,12420.58333333,12392.73333333,,,,,
1722239160000,14205.68333333,14285.23333333,14251.366666659998,,,,,
1722239165000,16072.05,16139.5,16128.31666666,,,,,
1722239170000,17905.266666659998,17974.5,17968.05,,,,,
1722239175000,19771.33333333,19839.35,19829.1,,,,,
1722239180000,21636.733333329998,21715.46666666,21679.483333329998,,,,,
1722239185000,23456.8,23516.23333333,23486.98333333,,,,,
1722239190000,,,,,,,,
1722239220000,0.0,0.0,0.0,0.0,,,,
1722239225000,0.0,0.0,0.0,0.0,,,,
1722239230000,2614.3166666666,2570.4333333332997,2584.9166666666,2623.9,,,,
1722239235000,4273.15,4278.36666667,4321.76666667,4325.51666667,,,,
1722239240000,5945.21666667,5959.45,6005.15,6001.2,,,,
1722239245000,7674.6,7701.33333333,7725.883333329999,7725.53333333,,,,
1722239250000,9463.06666666,9501.31666666,9530.783333329999,9534.66666666,,,,
1722239255000,11216.75,11265.883333329999,11281.35,11276.56666666,,,,
1722239260000,12970.48333333,13050.25,13043.16666666,13057.18333333,,,,
1722239265000,14760.4,14805.883333329999,14813.283333329999,14813.283333329999,,,,
1722239270000,16551.6,16603.16666666,16618.71666666,16622.15,,,,
1722239275000,18330.86666666,18394.766666659998,18412.566666659997,18412.316666659997,,,,
1722239280000,20129.61666666,20167.4,20188.61666666,20189.96666666,,,,
1722239285000,21919.0,21967.45,21969.63333333,21969.6,,,,
1722239290000,21071.43333333,21155.36666666,21158.15,21101.566666659997,,,,
1722239295000,21211.066666659997,21242.78333333,21211.88333333,21201.28333333,,,,
