Timestamp,flink_jobmanager_job_lastCheckpointDuration
0,-1.0
5,539.0
10,14.0
15,14.0
20,14.0
25,12.0
30,12.0
35,13.0
40,34.0
45,13.0
50,10.0
55,13.0
60,12.0
65,27.0
70,345.0
75,371.0
80,338.0
85,338.0
90,353.0
95,263.0
100,354.0
105,350.0
110,333.0
115,330.0
120,354.0
125,346.0
130,368.0
135,352.0
140,358.0
145,354.0
150,341.0
155,347.0
160,358.0
165,338.0
170,344.0
175,349.0
180,337.0
185,341.0
190,354.0
195,328.0
200,339.0
205,356.0
210,338.0
215,305.0
220,
245,-1.0
250,288.0
255,350.0
260,350.0
265,356.0
270,346.0
275,335.0
280,354.0
285,329.0
290,323.0
295,316.0
300,324.0
305,356.0
310,362.0
315,302.0
320,313.0
325,343.0
330,376.0
335,359.0
340,364.0
345,363.0
350,309.0
355,338.0
360,323.0
365,354.0
370,306.0
375,353.0
380,362.0
385,351.0
390,310.0
395,348.0
400,326.0
405,297.0
410,304.0
415,308.0
420,364.0
425,298.0
430,341.0
435,343.0
440,334.0
445,343.0
450,329.0
455,315.0
460,359.0
465,343.0
470,290.0
475,357.0
480,324.0
485,
510,454.0
515,347.0
520,376.0
525,326.0
530,363.0
535,340.0
540,344.0
545,367.0
550,349.0
555,313.0
560,393.0
565,338.0
570,341.0
575,317.0
580,374.0
585,366.0
590,371.0
595,357.0
600,277.0
605,332.0
610,352.0
615,310.0
620,313.0
625,335.0
630,331.0
635,361.0
640,352.0
645,362.0
650,356.0
655,331.0
660,351.0
665,349.0
670,308.0
675,373.0
680,321.0
685,339.0
690,
710,-1.0
715,681.0
720,563.0
725,588.0
730,547.0
735,384.0
740,358.0
745,420.0
750,528.0
755,572.0
760,524.0
765,436.0
770,632.0
775,606.0
780,569.0
785,557.0
790,553.0
795,622.0
800,640.0
805,601.0
810,580.0
815,614.0
820,618.0
825,587.0
830,601.0
835,635.0
840,611.0
845,557.0
850,571.0
855,618.0
860,654.0
865,574.0
870,556.0
875,600.0
880,651.0
885,615.0
890,605.0
895,589.0
900,626.0
905,557.0
910,619.0
915,441.0
920,590.0
925,601.0
930,
955,-1.0
960,616.0
965,366.0
970,340.0
975,302.0
980,356.0
985,323.0
990,385.0
995,315.0
1000,405.0
1005,365.0
1010,352.0
1015,359.0
1020,325.0
1025,352.0
1030,336.0
1035,380.0
1040,393.0
