,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,0
Timestamp,
1722235560000,0.0
1722235565000,0.0
1722235570000,0.0
1722235575000,0.0
1722235580000,0.0
1722235585000,0.0
1722235590000,0.0
1722235595000,0.0
1722235600000,0.0
1722235605000,0.0
1722235610000,0.0
1722235615000,0.0
1722235620000,0.0
1722235625000,0.0
1722235630000,44.0
1722235635000,124.0
1722235640000,203.0
1722235645000,283.0
1722235650000,362.0
1722235655000,440.0
1722235660000,518.0
1722235665000,598.0
1722235670000,678.0
1722235675000,758.0
1722235680000,839.0
1722235685000,919.0
1722235690000,955.0
1722235695000,955.0
1722235700000,956.0
1722235705000,956.0
1722235710000,957.0
1722235715000,959.0
1722235720000,961.0
1722235725000,961.0
1722235730000,960.0
1722235735000,960.0
1722235740000,959.0
1722235745000,960.0
1722235750000,960.0
1722235755000,960.0
1722235760000,957.0
1722235765000,957.0
1722235770000,956.0
1722235775000,956.0
1722235780000,
1722235805000,0.0
1722235810000,0.0
1722235815000,851.0
1722235820000,854.0
1722235825000,872.0
1722235830000,878.0
1722235835000,880.0
1722235840000,881.0
1722235845000,881.0
1722235850000,883.0
1722235855000,880.0
1722235860000,877.0
1722235865000,880.0
1722235870000,877.0
1722235875000,880.0
1722235880000,878.0
1722235885000,878.0
1722235890000,878.0
1722235895000,878.0
1722235900000,879.0
1722235905000,876.0
1722235910000,872.0
1722235915000,873.0
1722235920000,875.0
1722235925000,871.0
1722235930000,874.0
1722235935000,870.0
1722235940000,871.0
1722235945000,866.0
1722235950000,860.0
1722235955000,860.0
1722235960000,859.0
1722235965000,864.0
1722235970000,866.0
1722235975000,867.0
1722235980000,869.0
1722235985000,871.0
1722235990000,866.0
1722235995000,871.0
1722236000000,875.0
1722236005000,881.0
1722236010000,886.0
1722236015000,885.0
1722236020000,887.0
1722236025000,884.0
1722236030000,885.0
1722236035000,886.0
1722236040000,884.0
1722236045000,
1722236060000,0.0
1722236065000,0.0
1722236070000,861.0
1722236075000,859.0
1722236080000,843.0
1722236085000,834.0
1722236090000,831.0
1722236095000,835.0
1722236100000,835.0
1722236105000,841.0
1722236110000,837.0
1722236115000,836.0
1722236120000,836.0
1722236125000,835.0
1722236130000,831.0
1722236135000,828.0
1722236140000,829.0
1722236145000,834.0
1722236150000,838.0
1722236155000,840.0
1722236160000,838.0
1722236165000,832.0
1722236170000,833.0
1722236175000,833.0
1722236180000,831.0
1722236185000,832.0
1722236190000,835.0
1722236195000,835.0
1722236200000,835.0
1722236205000,829.0
1722236210000,829.0
1722236215000,825.0
1722236220000,828.0
1722236225000,831.0
1722236230000,832.0
1722236235000,832.0
1722236240000,835.0
1722236245000,
1722236270000,0.0
1722236275000,545.0
1722236280000,661.0
1722236285000,697.0
1722236290000,725.0
1722236295000,735.0
1722236300000,743.0
1722236305000,746.0
1722236310000,748.0
1722236315000,753.0
1722236320000,754.0
1722236325000,755.0
1722236330000,757.0
1722236335000,777.0
1722236340000,777.0
1722236345000,776.0
1722236350000,775.0
1722236355000,775.0
1722236360000,772.0
1722236365000,773.0
1722236370000,772.0
1722236375000,771.0
1722236380000,771.0
1722236385000,772.0
1722236390000,771.0
1722236395000,767.0
1722236400000,768.0
1722236405000,767.0
1722236410000,768.0
1722236415000,769.0
1722236420000,772.0
1722236425000,773.0
1722236430000,775.0
1722236435000,777.0
1722236440000,779.0
1722236445000,781.0
1722236450000,782.0
1722236455000,786.0
1722236460000,787.0
1722236465000,790.0
1722236470000,787.0
1722236475000,783.0
1722236480000,782.0
1722236485000,779.0
1722236490000,
1722236510000,0.0
1722236515000,0.0
1722236520000,692.0
1722236525000,695.0
1722236530000,697.0
1722236535000,691.0
1722236540000,690.0
1722236545000,687.0
1722236550000,688.0
1722236555000,685.0
1722236560000,686.0
1722236565000,688.0
1722236570000,689.0
1722236575000,689.0
1722236580000,690.0
1722236585000,686.0
1722236590000,681.0
1722236595000,680.0
1722236600000,677.0
1722236605000,682.0
1722236610000,686.0
1722236615000,690.0
1722236620000,687.0
1722236625000,688.0
1722236630000,690.0
1722236635000,690.0
1722236640000,689.0
1722236645000,694.0
1722236650000,702.0
1722236655000,705.0
1722236660000,710.0
1722236665000,705.0
1722236670000,701.0
1722236675000,701.0
1722236680000,705.0
1722236685000,703.0
1722236690000,703.0
1722236695000,703.0
1722236700000,700.0
1722236705000,698.0
1722236710000,696.0
1722236715000,695.0
1722236720000,697.0
1722236725000,701.0
1722236730000,697.0
1722236735000,696.0
1722236740000,690.0
1722236745000,
1722236765000,0.0
1722236770000,220.0
1722236775000,426.0
1722236780000,503.0
1722236785000,546.0
1722236790000,563.0
1722236795000,579.0
1722236800000,592.0
1722236805000,599.0
1722236810000,607.0
1722236815000,615.0
1722236820000,617.0
1722236825000,616.0
1722236830000,654.0
1722236835000,656.0
1722236840000,648.0
1722236845000,649.0
1722236850000,605.0
1722236855000,550.0
1722236860000,494.0
1722236865000,440.0
1722236870000,384.0
1722236875000,327.0
1722236880000,273.0
1722236885000,223.0
1722236890000,167.0
1722236895000,113.0
1722236900000,66.0
1722236905000,8.0
1722236910000,0.0
1722236915000,0.0
1722236920000,0.0
1722236925000,0.0
1722236930000,0.0
1722236935000,0.0
1722236940000,0.0
1722236945000,0.0
1722236950000,0.0
1722236955000,0.0
1722236960000,0.0
1722236965000,0.0
1722236970000,0.0
1722236975000,0.0
1722236980000,0.0
1722236985000,0.0
1722236990000,
1722236995000,428.0
1722237000000,
1722237020000,0.0
1722237025000,0.0
1722237030000,422.0
1722237035000,497.0
1722237040000,521.0
1722237045000,538.0
1722237050000,557.0
1722237055000,553.0
1722237060000,551.0
1722237065000,556.0
1722237070000,561.0
1722237075000,567.0
1722237080000,570.0
1722237085000,575.0
1722237090000,592.0
1722237095000,591.0
1722237100000,593.0
1722237105000,593.0
1722237110000,559.0
1722237115000,514.0
1722237120000,469.0
1722237125000,420.0
1722237130000,370.0
1722237135000,318.0
1722237140000,268.0
1722237145000,216.0
1722237150000,164.0
1722237155000,117.0
1722237160000,67.0
