,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722235560000,0.0,,,,,,,
1722235565000,0.0,,,,,,,
1722235570000,0.0,,,,,,,
1722235575000,0.0,,,,,,,
1722235580000,0.0,,,,,,,
1722235585000,0.0,,,,,,,
1722235590000,0.0,,,,,,,
1722235595000,0.0,,,,,,,
1722235600000,0.0,,,,,,,
1722235605000,0.0,,,,,,,
1722235610000,0.0,,,,,,,
1722235615000,420.3666666666,,,,,,,
1722235620000,1057.9833333333,,,,,,,
1722235625000,1057.9833333333,,,,,,,
1722235630000,2300.5833333333,,,,,,,
1722235635000,4209.15,,,,,,,
1722235640000,6075.233333329999,,,,,,,
1722235645000,7973.55,,,,,,,
1722235650000,9892.51666666,,,,,,,
1722235655000,11831.45,,,,,,,
1722235660000,13755.95,,,,,,,
1722235665000,15683.23333333,,,,,,,
1722235670000,17597.35,,,,,,,
1722235675000,19108.83333333,,,,,,,
1722235680000,20408.233333329998,,,,,,,
1722235685000,22330.58333333,,,,,,,
1722235690000,23006.86666666,,,,,,,
1722235695000,23051.85,,,,,,,
1722235700000,23126.53333333,,,,,,,
1722235705000,23127.21666666,,,,,,,
1722235710000,23108.766666659998,,,,,,,
1722235715000,23097.016666659998,,,,,,,
1722235720000,23092.833333330003,,,,,,,
1722235725000,23113.55,,,,,,,
1722235730000,23136.48333333,,,,,,,
1722235735000,23111.35,,,,,,,
1722235740000,23120.183333330002,,,,,,,
1722235745000,23132.11666666,,,,,,,
1722235750000,23146.86666666,,,,,,,
1722235755000,23132.41666666,,,,,,,
1722235760000,23125.71666666,,,,,,,
1722235765000,23123.7,,,,,,,
1722235770000,23151.8,,,,,,,
1722235775000,23167.6,,,,,,,
1722235780000,,,,,,,,
1722235805000,0.0,0.0,,,,,,
1722235810000,0.0,916.1,,,,,,
1722235815000,1767.9166666666,2797.75,,,,,,
1722235820000,3682.48333333,4749.03333333,,,,,,
1722235825000,5603.68333333,6594.96666667,,,,,,
1722235830000,7464.433333329999,8504.65,,,,,,
1722235835000,9371.18333333,10423.68333333,,,,,,
1722235840000,11303.33333333,12332.766666659998,,,,,,
1722235845000,13209.55,14229.81666666,,,,,,
1722235850000,15108.85,16126.73333333,,,,,,
1722235855000,17021.43333333,18046.7,,,,,,
1722235860000,18893.88333333,19914.85,,,,,,
1722235865000,20786.316666659997,21775.2,,,,,,
1722235870000,22657.35,22734.2,,,,,,
1722235875000,22740.83333333,22732.03333333,,,,,,
1722235880000,22733.78333333,22716.71666666,,,,,,
1722235885000,22741.0,22743.83333333,,,,,,
1722235890000,22728.43333333,22727.28333333,,,,,,
1722235895000,22733.95,22730.2,,,,,,
1722235900000,22694.1,22694.68333333,,,,,,
1722235905000,22642.41666666,22620.1,,,,,,
1722235910000,22604.15,22613.43333333,,,,,,
1722235915000,22549.45,22534.2,,,,,,
1722235920000,22529.78333333,22495.766666659998,,,,,,
1722235925000,22470.266666659998,22480.13333333,,,,,,
1722235930000,22465.36666666,22475.46666666,,,,,,
1722235935000,22462.95,22463.733333329998,,,,,,
1722235940000,22420.95,22385.96666666,,,,,,
1722235945000,22361.05,22336.566666659997,,,,,,
1722235950000,22316.38333333,22297.233333329998,,,,,,
1722235955000,22247.45,22229.5,,,,,,
1722235960000,22258.61666666,22267.78333333,,,,,,
1722235965000,22325.33333333,22342.733333329998,,,,,,
1722235970000,22388.08333333,22397.8,,,,,,
1722235975000,22445.7,22475.03333333,,,,,,
1722235980000,22508.5,22560.516666659998,,,,,,
1722235985000,22570.11666666,22577.816666659997,,,,,,
1722235990000,22622.66666666,22641.65,,,,,,
1722235995000,22682.03333333,22724.21666666,,,,,,
1722236000000,22735.13333333,22769.86666666,,,,,,
1722236005000,22779.13333333,22798.5,,,,,,
1722236010000,22859.1,22880.43333333,,,,,,
1722236015000,22936.86666666,22942.266666659998,,,,,,
1722236020000,22931.28333333,22933.316666659997,,,,,,
1722236025000,22921.18333333,22920.7,,,,,,
1722236030000,22934.316666659997,22950.38333333,,,,,,
1722236035000,22898.33333333,22907.566666659997,,,,,,
1722236040000,22889.25,,,,,,,
1722236045000,,,,,,,,
1722236060000,0.0,,,,,,,
1722236065000,0.0,0.0,0.0,,,,,
1722236070000,1876.6333333332998,815.1666666666,0.0,,,,,
1722236075000,3693.71666667,2600.8,1677.1666666666,,,,,
1722236080000,5483.03333333,4374.65,3486.48333333,,,,,
1722236085000,7268.933333329999,6192.816666670001,5296.21666667,,,,,
1722236090000,9103.06666666,7994.5,7069.26666666,,,,,
1722236095000,10939.33333333,9819.86666666,8902.23333333,,,,,
1722236100000,12788.633333329999,11637.133333329999,10744.58333333,,,,,
1722236105000,14642.783333329999,13473.73333333,12596.783333329999,,,,,
1722236110000,16451.0,15344.033333329999,14426.5,,,,,
1722236115000,18266.066666659997,17150.95,16241.83333333,,,,,
1722236120000,20107.18333333,18950.733333329998,18039.516666659998,,,,,
1722236125000,21928.58333333,20781.88333333,19902.066666659997,,,,,
1722236130000,21875.8,21833.58333333,21711.316666659997,,,,,
1722236135000,21904.96666666,21873.83333333,21879.066666659997,,,,,
1722236140000,21975.75,21898.78333333,21904.71666666,,,,,
1722236145000,22023.6,21964.61666666,21962.2,,,,,
1722236150000,22027.16666666,22016.71666666,22012.93333333,,,,,
1722236155000,21987.03333333,22013.36666666,22025.03333333,,,,,
1722236160000,21972.03333333,21982.36666666,21991.75,,,,,
1722236165000,21940.566666659997,21988.8,21969.733333329998,,,,,
1722236170000,21972.16666666,21928.11666666,21940.93333333,,,,,
1722236175000,22004.483333329998,21983.983333329998,21977.66666666,,,,,
1722236180000,22015.066666659997,22013.5,22024.983333329998,,,,,
1722236185000,22016.766666659998,22022.16666666,22013.15,,,,,
1722236190000,22046.3,21996.566666659997,21994.7,,,,,
1722236195000,22003.46666666,22036.58333333,22031.53333333,,,,,
1722236200000,21933.05,21976.516666659998,22057.93333333,,,,,
1722236205000,21933.61666666,21899.516666659998,21968.1,,,,,
1722236210000,21938.316666659997,21898.36666666,21927.58333333,,,,,
1722236215000,21978.816666659997,21952.28333333,21940.233333329998,,,,,
1722236220000,22003.2,21980.1,21967.233333329998,,,,,
1722236225000,22013.35,22012.3,22000.78333333,,,,,
1722236230000,22034.36666666,22047.2,22026.55,,,,,
1722236235000,22045.1,22054.21666666,22022.53333333,,,,,
1722236240000,22034.53333333,22045.316666659997,22046.03333333,,,,,
1722236245000,,,22073.46666666,,,,,
1722236250000,,,,,,,,
1722236265000,,,0.0,,,,,
1722236270000,0.0,0.0,0.0,0.0,,,,
1722236275000,1133.45,2243.5166666666,2209.0333333332997,0.0,,,,
1722236280000,2798.7666666666,3985.05,3992.78333333,1952.4333333332997,,,,
1722236285000,4551.41666667,5709.56666667,5670.38333333,3713.6,,,,
1722236290000,6280.983333329999,7508.41666666,7425.9,5398.4,,,,
1722236295000,8057.78333333,9362.93333333,9237.26666666,7181.56666666,,,,
1722236300000,9869.93333333,11161.883333329999,11054.51666666,9029.73333333,,,,
1722236305000,11686.16666666,12940.6,12881.616666659998,10850.36666666,,,,
1722236310000,13518.266666659998,14749.633333329999,14705.266666659998,12612.883333329999,,,,
1722236315000,15356.68333333,16556.33333333,16515.63333333,14424.16666666,,,,
1722236320000,17096.55,18365.483333329998,18289.43333333,16236.73333333,,,,
1722236325000,18927.816666659997,20155.65,20123.13333333,18038.0,,,,
1722236330000,20768.0,21905.53333333,21880.816666659997,19843.45,,,,
1722236335000,21366.016666659998,21391.03333333,21433.43333333,21606.88333333,,,,
1722236340000,21388.816666659997,21414.71666666,21408.66666666,21399.316666659997,,,,
