,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1722244430000,36.0,,,,,,
1722244435000,25.0,,,,,,
1722244440000,19.0,,,,,,
1722244445000,15.0,,,,,,
1722244450000,13.0,,,,,,
1722244455000,7.0,,,,,,
1722244460000,4.0,,,,,,
1722244465000,1.0,,,,,,
1722244470000,15.0,,,,,,
1722244475000,30.0,,,,,,
1722244480000,30.0,,,,,,
1722244485000,68.0,,,,,,
1722244490000,154.0,,,,,,
1722244495000,239.0,,,,,,
1722244500000,323.0,,,,,,
1722244505000,407.0,,,,,,
1722244510000,491.0,,,,,,
1722244515000,577.0,,,,,,
1722244520000,663.0,,,,,,
1722244525000,748.0,,,,,,
1722244530000,818.0,,,,,,
1722244535000,870.0,,,,,,
1722244540000,952.0,,,,,,
1722244545000,1000.0,,,,,,
1722244550000,1000.0,,,,,,
1722244555000,1000.0,,,,,,
1722244560000,1000.0,,,,,,
1722244565000,1000.0,,,,,,
1722244570000,1000.0,,,,,,
1722244575000,1000.0,,,,,,
1722244580000,1000.0,,,,,,
1722244585000,1000.0,,,,,,
1722244590000,1000.0,,,,,,
1722244595000,1000.0,,,,,,
1722244600000,1000.0,,,,,,
1722244605000,1000.0,,,,,,
1722244610000,1000.0,,,,,,
1722244615000,1000.0,,,,,,
1722244620000,1000.0,,,,,,
1722244625000,1000.0,,,,,,
1722244630000,1000.0,,,,,,
1722244635000,,,,,,,
1722244670000,,1000.0,,,,,
1722244675000,1000.0,1000.0,,,,,
1722244680000,755.0,730.0,,,,,
1722244685000,878.0,830.0,,,,,
1722244690000,919.0,868.0,,,,,
1722244695000,939.0,888.0,,,,,
1722244700000,951.0,900.0,,,,,
1722244705000,960.0,910.0,,,,,
1722244710000,965.0,913.0,,,,,
1722244715000,970.0,918.0,,,,,
1722244720000,973.0,923.0,,,,,
1722244725000,976.0,927.0,,,,,
1722244730000,978.0,926.0,,,,,
1722244735000,980.0,926.0,,,,,
1722244740000,1000.0,942.0,,,,,
1722244745000,1000.0,942.0,,,,,
1722244750000,1000.0,938.0,,,,,
1722244755000,1000.0,937.0,,,,,
1722244760000,1000.0,935.0,,,,,
1722244765000,1000.0,934.0,,,,,
1722244770000,1000.0,931.0,,,,,
1722244775000,1000.0,930.0,,,,,
1722244780000,1000.0,926.0,,,,,
1722244785000,1000.0,922.0,,,,,
1722244790000,1000.0,923.0,,,,,
