,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink
,0,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,0
Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722244430000,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,-9.223372036854776e+18,862.0,,,,,,,145.0
1722244435000,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,-9.223372036854776e+18,862.0,,,,,,,839.0
1722244440000,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,-9.223372036854776e+18,862.0,,,,,,,862.0
1722244445000,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,-9.223372036854776e+18,862.0,,,,,,,862.0
1722244450000,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,862.0
1722244455000,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,862.0
1722244460000,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,862.0
1722244465000,0.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,29.0,,,,,,,0.0
1722244470000,0.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,36.0,,,,,,,0.0
1722244475000,0.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,1276.0,,,,,,,0.0
1722244480000,0.0,9.0,,,,,,,1.0,9.0,1.0,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,0.0
