Timestamp,flink_jobmanager_job_lastCheckpointDuration
0,-1.0
5,-1.0
10,15.0
15,16.0
20,20.0
25,22.0
30,14.0
35,12.0
40,14.0
45,14.0
50,13.0
55,13.0
60,15.0
65,15.0
70,20.0
75,35.0
80,13.0
85,340.0
90,404.0
95,383.0
100,335.0
105,359.0
110,333.0
115,386.0
120,368.0
125,355.0
130,351.0
135,342.0
140,353.0
145,351.0
150,363.0
155,357.0
160,358.0
165,348.0
170,367.0
175,361.0
180,354.0
185,365.0
190,357.0
195,345.0
200,361.0
205,336.0
210,371.0
215,333.0
220,342.0
225,358.0
230,357.0
235,340.0
240,356.0
245,359.0
250,333.0
255,348.0
260,353.0
265,332.0
270,335.0
275,355.0
280,344.0
285,351.0
290,343.0
295,329.0
300,332.0
305,322.0
310,353.0
315,343.0
320,354.0
325,345.0
330,349.0
335,334.0
340,321.0
345,337.0
350,324.0
355,353.0
360,359.0
365,358.0
370,331.0
375,352.0
380,356.0
385,
415,-1.0
420,311.0
425,373.0
430,323.0
435,339.0
440,358.0
445,300.0
450,482.0
455,330.0
460,353.0
465,349.0
470,406.0
475,370.0
480,398.0
485,335.0
490,353.0
495,382.0
500,382.0
505,412.0
510,383.0
515,333.0
520,406.0
525,374.0
530,397.0
535,373.0
540,387.0
545,336.0
550,342.0
555,391.0
560,323.0
565,360.0
570,374.0
575,363.0
580,344.0
585,383.0
590,385.0
595,369.0
600,437.0
605,381.0
610,361.0
615,373.0
620,368.0
625,335.0
630,373.0
635,385.0
640,366.0
645,393.0
650,345.0
655,364.0
660,420.0
665,366.0
670,396.0
675,394.0
680,381.0
685,366.0
690,340.0
695,361.0
700,364.0
705,394.0
710,358.0
715,361.0
720,
755,359.0
760,379.0
765,398.0
770,383.0
775,383.0
780,382.0
785,352.0
790,356.0
795,316.0
800,311.0
805,362.0
810,444.0
815,443.0
820,476.0
825,435.0
830,470.0
835,459.0
840,363.0
845,432.0
850,415.0
855,398.0
860,405.0
865,449.0
870,483.0
875,460.0
880,473.0
885,472.0
890,408.0
895,493.0
900,532.0
905,412.0
910,525.0
915,487.0
920,502.0
925,522.0
930,615.0
935,410.0
940,347.0
945,357.0
950,395.0
955,409.0
960,467.0
965,487.0
970,484.0
975,551.0
980,438.0
985,546.0
990,532.0
995,489.0
1000,429.0
1005,429.0
1010,343.0
1015,428.0
1020,428.0
1025,547.0
1030,477.0
1035,484.0
1040,490.0
1045,461.0
1050,581.0
1055,482.0
1060,459.0
1065,502.0
