,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength
,Sink:_Sink
,0
Timestamp,
1722070805000,0.0
1722070810000,0.0
1722070815000,0.0
1722070820000,0.0
1722070825000,0.0
1722070830000,0.0
1722070835000,0.0
1722070840000,0.0
1722070845000,0.0
1722070850000,0.0
1722070855000,0.0
1722070860000,0.0
1722070865000,0.0
1722070870000,0.0
1722070875000,1.0
1722070880000,1.0
1722070885000,0.0
1722070890000,1.0
1722070895000,1.0
1722070900000,1.0
1722070905000,1.0
1722070910000,1.0
1722070915000,1.0
1722070920000,1.0
1722070925000,1.0
1722070930000,1.0
1722070935000,1.0
1722070940000,1.0
1722070945000,1.0
1722070950000,1.0
1722070955000,1.0
1722070960000,1.0
1722070965000,1.0
1722070970000,1.0
1722070975000,1.0
1722070980000,1.0
1722070985000,1.0
1722070990000,1.0
1722070995000,1.0
1722071000000,1.0
1722071005000,1.0
1722071010000,1.0
1722071015000,1.0
1722071020000,1.0
1722071025000,1.0
1722071030000,1.0
1722071035000,1.0
1722071040000,1.0
1722071045000,1.0
1722071050000,1.0
1722071055000,1.0
1722071060000,1.0
1722071065000,1.0
1722071070000,1.0
1722071075000,1.0
1722071080000,1.0
1722071085000,1.0
1722071090000,1.0
1722071095000,1.0
1722071100000,2.0
1722071105000,2.0
1722071110000,1.0
1722071115000,1.0
1722071120000,1.0
1722071125000,1.0
1722071130000,1.0
1722071135000,1.0
1722071140000,1.0
1722071145000,1.0
1722071150000,2.0
1722071155000,1.0
1722071160000,1.0
1722071165000,1.0
1722071170000,1.0
1722071175000,1.0
1722071180000,1.0
1722071185000,1.0
1722071190000,
1722071225000,1.0
1722071230000,1.0
1722071235000,1.0
1722071240000,1.0
1722071245000,1.0
1722071250000,1.0
1722071255000,1.0
1722071260000,1.0
1722071265000,1.0
1722071270000,2.0
1722071275000,1.0
1722071280000,1.0
1722071285000,1.0
1722071290000,1.0
1722071295000,1.0
1722071300000,1.0
1722071305000,1.0
1722071310000,2.0
1722071315000,1.0
1722071320000,1.0
1722071325000,2.0
1722071330000,3.0
1722071335000,1.0
1722071340000,1.0
1722071345000,2.0
1722071350000,1.0
1722071355000,2.0
1722071360000,1.0
1722071365000,1.0
1722071370000,1.0
1722071375000,1.0
1722071380000,1.0
1722071385000,1.0
1722071390000,2.0
1722071395000,1.0
1722071400000,1.0
1722071405000,1.0
1722071410000,1.0
1722071415000,1.0
1722071420000,1.0
1722071425000,1.0
1722071430000,1.0
