,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7,8,9,10
Timestamp,,,,,,,,,,,
1722070810000,1000.0,,,,,,,,,,
1722070815000,0.0,,,,,,,,,,
1722070820000,0.0,,,,,,,,,,
1722070825000,0.0,,,,,,,,,,
1722070830000,0.0,,,,,,,,,,
1722070835000,0.0,,,,,,,,,,
1722070840000,0.0,,,,,,,,,,
1722070845000,0.0,,,,,,,,,,
1722070850000,0.0,,,,,,,,,,
1722070855000,0.0,,,,,,,,,,
1722070860000,0.0,,,,,,,,,,
1722070865000,0.0,,,,,,,,,,
1722070870000,0.0,,,,,,,,,,
1722070875000,0.0,,,,,,,,,,
1722070880000,31.0,,,,,,,,,,
1722070885000,30.0,,,,,,,,,,
1722070890000,73.0,,,,,,,,,,
1722070895000,157.0,,,,,,,,,,
1722070900000,240.0,,,,,,,,,,
1722070905000,327.0,,,,,,,,,,
1722070910000,412.0,,,,,,,,,,
1722070915000,497.0,,,,,,,,,,
1722070920000,581.0,,,,,,,,,,
1722070925000,665.0,,,,,,,,,,
1722070930000,749.0,,,,,,,,,,
1722070935000,831.0,,,,,,,,,,
1722070940000,874.0,,,,,,,,,,
1722070945000,959.0,,,,,,,,,,
1722070950000,1000.0,,,,,,,,,,
1722070955000,1000.0,,,,,,,,,,
1722070960000,1000.0,,,,,,,,,,
1722070965000,1000.0,,,,,,,,,,
1722070970000,1000.0,,,,,,,,,,
1722070975000,1000.0,,,,,,,,,,
1722070980000,1000.0,,,,,,,,,,
1722070985000,1000.0,,,,,,,,,,
1722070990000,1000.0,,,,,,,,,,
1722070995000,1000.0,,,,,,,,,,
1722071000000,1000.0,,,,,,,,,,
1722071005000,1000.0,,,,,,,,,,
1722071010000,1000.0,,,,,,,,,,
1722071015000,1000.0,,,,,,,,,,
1722071020000,1000.0,,,,,,,,,,
1722071025000,1000.0,,,,,,,,,,
1722071030000,1000.0,,,,,,,,,,
1722071035000,1000.0,,,,,,,,,,
1722071040000,1000.0,,,,,,,,,,
1722071045000,1000.0,,,,,,,,,,
1722071050000,1000.0,,,,,,,,,,
1722071055000,1000.0,,,,,,,,,,
1722071060000,1000.0,,,,,,,,,,
1722071065000,1000.0,,,,,,,,,,
1722071070000,1000.0,,,,,,,,,,
1722071075000,1000.0,,,,,,,,,,
1722071080000,1000.0,,,,,,,,,,
1722071085000,1000.0,,,,,,,,,,
1722071090000,1000.0,,,,,,,,,,
1722071095000,1000.0,,,,,,,,,,
1722071100000,1000.0,,,,,,,,,,
1722071105000,1000.0,,,,,,,,,,
1722071110000,1000.0,,,,,,,,,,
1722071115000,1000.0,,,,,,,,,,
1722071120000,1000.0,,,,,,,,,,
1722071125000,1000.0,,,,,,,,,,
1722071130000,1000.0,,,,,,,,,,
1722071135000,1000.0,,,,,,,,,,
1722071140000,1000.0,,,,,,,,,,
1722071145000,1000.0,,,,,,,,,,
1722071150000,1000.0,,,,,,,,,,
1722071155000,1000.0,,,,,,,,,,
1722071160000,1000.0,,,,,,,,,,
1722071165000,1000.0,,,,,,,,,,
1722071170000,1000.0,,,,,,,,,,
1722071175000,1000.0,,,,,,,,,,
1722071180000,1000.0,,,,,,,,,,
1722071185000,1000.0,,,,,,,,,,
1722071190000,,,,,,,,,,,
1722071225000,1000.0,1000.0,,,,,,,,,
1722071230000,744.0,673.0,,,,,,,,,
1722071235000,872.0,834.0,,,,,,,,,
1722071240000,915.0,888.0,,,,,,,,,
1722071245000,936.0,916.0,,,,,,,,,
1722071250000,949.0,934.0,,,,,,,,,
1722071255000,958.0,945.0,,,,,,,,,
1722071260000,964.0,953.0,,,,,,,,,
1722071265000,968.0,958.0,,,,,,,,,
1722071270000,972.0,954.0,,,,,,,,,
1722071275000,975.0,947.0,,,,,,,,,
1722071280000,977.0,946.0,,,,,,,,,
1722071285000,979.0,947.0,,,,,,,,,
1722071290000,1000.0,967.0,,,,,,,,,
1722071295000,1000.0,960.0,,,,,,,,,
1722071300000,1000.0,955.0,,,,,,,,,
1722071305000,1000.0,950.0,,,,,,,,,
1722071310000,1000.0,942.0,,,,,,,,,
1722071315000,1000.0,934.0,,,,,,,,,
1722071320000,1000.0,928.0,,,,,,,,,
1722071325000,1000.0,921.0,,,,,,,,,
1722071330000,1000.0,922.0,,,,,,,,,
1722071335000,1000.0,923.0,,,,,,,,,
1722071340000,1000.0,924.0,,,,,,,,,
1722071345000,1000.0,922.0,,,,,,,,,
1722071350000,1000.0,923.0,,,,,,,,,
1722071355000,1000.0,924.0,,,,,,,,,
1722071360000,1000.0,925.0,,,,,,,,,
1722071365000,1000.0,923.0,,,,,,,,,
1722071370000,1000.0,926.0,,,,,,,,,
1722071375000,1000.0,927.0,,,,,,,,,
1722071380000,1000.0,925.0,,,,,,,,,
1722071385000,1000.0,925.0,,,,,,,,,
1722071390000,1000.0,924.0,,,,,,,,,
1722071395000,1000.0,924.0,,,,,,,,,
1722071400000,1000.0,921.0,,,,,,,,,
1722071405000,1000.0,921.0,,,,,,,,,
1722071410000,1000.0,920.0,,,,,,,,,
1722071415000,1000.0,916.0,,,,,,,,,
1722071420000,1000.0,917.0,,,,,,,,,
1722071425000,1000.0,919.0,,,,,,,,,
1722071430000,1000.0,915.0,,,,,,,,,
1722071435000,1000.0,914.0,,,,,,,,,
1722071440000,1000.0,916.0,,,,,,,,,
1722071445000,1000.0,918.0,,,,,,,,,
1722071450000,1000.0,920.0,,,,,,,,,
1722071455000,1000.0,920.0,,,,,,,,,
1722071460000,1000.0,920.0,,,,,,,,,
1722071465000,1000.0,921.0,,,,,,,,,
1722071470000,1000.0,920.0,,,,,,,,,
1722071475000,1000.0,921.0,,,,,,,,,
1722071480000,1000.0,920.0,,,,,,,,,
1722071485000,1000.0,918.0,,,,,,,,,
1722071490000,1000.0,920.0,,,,,,,,,
1722071495000,1000.0,917.0,,,,,,,,,
1722071500000,1000.0,915.0,,,,,,,,,
1722071505000,1000.0,917.0,,,,,,,,,
1722071510000,1000.0,913.0,,,,,,,,,
1722071515000,1000.0,913.0,,,,,,,,,
1722071520000,1000.0,911.0,,,,,,,,,
1722071525000,,,,,,,,,,,
1722071555000,1000.0,,,,,,,,,,
1722071560000,1000.0,1000.0,1000.0,,,,,,,,
1722071565000,713.0,623.0,638.0,,,,,,,,
1722071570000,857.0,809.0,805.0,,,,,,,,
1722071575000,905.0,872.0,864.0,,,,,,,,
1722071580000,929.0,895.0,898.0,,,,,,,,
1722071585000,943.0,916.0,915.0,,,,,,,,
1722071590000,953.0,931.0,925.0,,,,,,,,
1722071595000,959.0,940.0,936.0,,,,,,,,
1722071600000,965.0,948.0,943.0,,,,,,,,
1722071605000,969.0,954.0,948.0,,,,,,,,
1722071610000,972.0,958.0,953.0,,,,,,,,
1722071615000,974.0,963.0,953.0,,,,,,,,
1722071620000,977.0,965.0,955.0,,,,,,,,
1722071625000,1000.0,997.0,981.0,,,,,,,,
1722071630000,1000.0,997.0,982.0,,,,,,,,
1722071635000,1000.0,997.0,982.0,,,,,,,,
1722071640000,1000.0,1000.0,980.0,,,,,,,,
1722071645000,999.0,1000.0,981.0,,,,,,,,
1722071650000,999.0,1000.0,982.0,,,,,,,,
1722071655000,999.0,1000.0,978.0,,,,,,,,
1722071660000,999.0,1000.0,977.0,,,,,,,,
1722071665000,999.0,1000.0,978.0,,,,,,,,
1722071670000,999.0,1000.0,978.0,,,,,,,,
1722071675000,998.0,1000.0,980.0,,,,,,,,
1722071680000,998.0,1000.0,982.0,,,,,,,,
1722071685000,997.0,1000.0,983.0,,,,,,,,
1722071690000,997.0,1000.0,985.0,,,,,,,,
1722071695000,996.0,1000.0,985.0,,,,,,,,
1722071700000,996.0,1000.0,985.0,,,,,,,,
1722071705000,995.0,1000.0,984.0,,,,,,,,
1722071710000,993.0,1000.0,982.0,,,,,,,,
1722071715000,991.0,1000.0,979.0,,,,,,,,
1722071720000,989.0,1000.0,978.0,,,,,,,,
1722071725000,987.0,1000.0,978.0,,,,,,,,
1722071730000,985.0,1000.0,977.0,,,,,,,,
1722071735000,982.0,1000.0,973.0,,,,,,,,
1722071740000,978.0,1000.0,968.0,,,,,,,,
1722071745000,978.0,1000.0,969.0,,,,,,,,
1722071750000,979.0,1000.0,970.0,,,,,,,,
1722071755000,980.0,1000.0,969.0,,,,,,,,
1722071760000,980.0,1000.0,969.0,,,,,,,,
1722071765000,982.0,1000.0,968.0,,,,,,,,
1722071770000,984.0,1000.0,969.0,,,,,,,,
1722071775000,983.0,1000.0,971.0,,,,,,,,
1722071780000,984.0,1000.0,971.0,,,,,,,,
1722071785000,984.0,1000.0,969.0,,,,,,,,
1722071790000,985.0,1000.0,969.0,,,,,,,,
1722071795000,985.0,1000.0,975.0,,,,,,,,
1722071800000,988.0,1000.0,980.0,,,,,,,,
1722071805000,987.0,1000.0,979.0,,,,,,,,
1722071810000,987.0,1000.0,978.0,,,,,,,,
1722071815000,987.0,1000.0,979.0,,,,,,,,
