Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 7)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 8)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 9)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 10)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 8)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 9)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 10)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,1
5,0.0,,,,,,,,,,,1000.0,,,,,,,,,,,0.0,-1.0,-1.0,1
10,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,15.0,1
15,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,16.0,1
20,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,20.0,1
25,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,22.0,1
30,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,14.0,1
35,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,12.0,1
40,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,14.0,1
45,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,14.0,1
50,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,13.0,1
55,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,13.0,1
60,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,15.0,1
65,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,15.0,1
70,43.9833333333,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1381.0,20.0,1
75,938.65,,,,,,,,,,,31.0,,,,,,,,,,,0.0,1381.0,35.0,1
80,938.65,,,,,,,,,,,30.0,,,,,,,,,,,0.0,1381.0,13.0,1
85,1921.5,,,,,,,,,,,73.0,,,,,,,,,,,33.0,1381.0,340.0,1
90,3788.41666667,,,,,,,,,,,157.0,,,,,,,,,,,112.0,1381.0,404.0,1
95,5622.75,,,,,,,,,,,240.0,,,,,,,,,,,193.0,1381.0,383.0,1
100,7539.61666666,,,,,,,,,,,327.0,,,,,,,,,,,271.0,1381.0,335.0,1
105,9433.46666666,,,,,,,,,,,412.0,,,,,,,,,,,351.0,1381.0,359.0,1
110,11299.2,,,,,,,,,,,497.0,,,,,,,,,,,429.0,1381.0,333.0,1
115,13144.16666666,,,,,,,,,,,581.0,,,,,,,,,,,509.0,1381.0,386.0,1
120,15018.65,,,,,,,,,,,665.0,,,,,,,,,,,587.0,1381.0,368.0,1
125,16907.3,,,,,,,,,,,749.0,,,,,,,,,,,667.0,1381.0,355.0,1
130,18747.13333333,,,,,,,,,,,831.0,,,,,,,,,,,748.0,1381.0,351.0,1
135,19716.566666659997,,,,,,,,,,,874.0,,,,,,,,,,,826.0,1381.0,342.0,1
140,21632.8,,,,,,,,,,,959.0,,,,,,,,,,,905.0,1381.0,353.0,1
145,22550.46666666,,,,,,,,,,,1000.0,,,,,,,,,,,952.0,1381.0,351.0,1
150,22553.63333333,,,,,,,,,,,1000.0,,,,,,,,,,,950.0,1381.0,363.0,1
155,22598.18333333,,,,,,,,,,,1000.0,,,,,,,,,,,950.0,1381.0,357.0,1
160,22604.21666666,,,,,,,,,,,1000.0,,,,,,,,,,,952.0,1381.0,358.0,1
165,22620.05,,,,,,,,,,,1000.0,,,,,,,,,,,951.0,1381.0,348.0,1
170,22668.43333333,,,,,,,,,,,1000.0,,,,,,,,,,,954.0,1381.0,367.0,1
175,22729.1,,,,,,,,,,,1000.0,,,,,,,,,,,954.0,1381.0,361.0,1
180,22765.95,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,354.0,1
185,22781.45,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,365.0,1
190,22836.25,,,,,,,,,,,1000.0,,,,,,,,,,,955.0,1381.0,357.0,1
195,22888.36666666,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,345.0,1
200,22894.33333333,,,,,,,,,,,1000.0,,,,,,,,,,,958.0,1381.0,361.0,1
205,22922.4,,,,,,,,,,,1000.0,,,,,,,,,,,958.0,1381.0,336.0,1
210,22952.08333333,,,,,,,,,,,1000.0,,,,,,,,,,,959.0,1381.0,371.0,1
215,22991.066666659997,,,,,,,,,,,1000.0,,,,,,,,,,,959.0,1381.0,333.0,1
220,23002.13333333,,,,,,,,,,,1000.0,,,,,,,,,,,958.0,1381.0,342.0,1
225,23004.016666659998,,,,,,,,,,,1000.0,,,,,,,,,,,959.0,1381.0,358.0,1
230,23019.066666659997,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,357.0,1
235,23025.8,,,,,,,,,,,1000.0,,,,,,,,,,,955.0,1381.0,340.0,1
240,23011.1,,,,,,,,,,,1000.0,,,,,,,,,,,955.0,1381.0,356.0,1
245,23018.03333333,,,,,,,,,,,1000.0,,,,,,,,,,,955.0,1381.0,359.0,1
250,23014.13333333,,,,,,,,,,,1000.0,,,,,,,,,,,955.0,1381.0,333.0,1
255,23012.7,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,348.0,1
260,23024.1,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,353.0,1
265,23015.233333329998,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,332.0,1
270,23040.9,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,335.0,1
