,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722007825000,1000.0,,,,,,,
1722007830000,666.0,,,,,,,
1722007835000,330.0,,,,,,,
1722007840000,207.0,,,,,,,
1722007845000,147.0,,,,,,,
1722007850000,113.0,,,,,,,
1722007855000,91.0,,,,,,,
1722007860000,76.0,,,,,,,
1722007865000,66.0,,,,,,,
1722007870000,58.0,,,,,,,
1722007875000,88.0,,,,,,,
1722007880000,127.0,,,,,,,
1722007885000,116.0,,,,,,,
1722007890000,132.0,,,,,,,
1722007895000,216.0,,,,,,,
1722007900000,302.0,,,,,,,
1722007905000,388.0,,,,,,,
1722007910000,474.0,,,,,,,
1722007915000,559.0,,,,,,,
1722007920000,643.0,,,,,,,
1722007925000,727.0,,,,,,,
1722007930000,811.0,,,,,,,
1722007935000,865.0,,,,,,,
1722007940000,905.0,,,,,,,
1722007945000,989.0,,,,,,,
1722007950000,1000.0,,,,,,,
1722007955000,1000.0,,,,,,,
1722007960000,1000.0,,,,,,,
1722007965000,1000.0,,,,,,,
1722007970000,1000.0,,,,,,,
1722007975000,1000.0,,,,,,,
1722007980000,1000.0,,,,,,,
1722007985000,1000.0,,,,,,,
1722007990000,1000.0,,,,,,,
1722007995000,1000.0,,,,,,,
1722008000000,1000.0,,,,,,,
1722008005000,1000.0,,,,,,,
1722008010000,1000.0,,,,,,,
1722008015000,1000.0,,,,,,,
1722008020000,1000.0,,,,,,,
1722008025000,1000.0,,,,,,,
1722008030000,1000.0,,,,,,,
1722008035000,,,,,,,,
1722008070000,1000.0,1000.0,,,,,,
1722008075000,368.0,236.0,,,,,,
1722008080000,684.0,436.0,,,,,,
1722008085000,790.0,559.0,,,,,,
1722008090000,842.0,637.0,,,,,,
1722008095000,874.0,674.0,,,,,,
1722008100000,895.0,716.0,,,,,,
1722008105000,910.0,731.0,,,,,,
1722008110000,921.0,760.0,,,,,,
1722008115000,930.0,765.0,,,,,,
1722008120000,937.0,772.0,,,,,,
1722008125000,943.0,785.0,,,,,,
1722008130000,948.0,786.0,,,,,,
1722008135000,1000.0,836.0,,,,,,
1722008140000,1000.0,860.0,,,,,,
1722008145000,1000.0,861.0,,,,,,
1722008150000,1000.0,862.0,,,,,,
1722008155000,1000.0,859.0,,,,,,
1722008160000,1000.0,855.0,,,,,,
1722008165000,1000.0,865.0,,,,,,
1722008170000,1000.0,863.0,,,,,,
1722008175000,1000.0,871.0,,,,,,
1722008180000,1000.0,886.0,,,,,,
1722008185000,1000.0,884.0,,,,,,
1722008190000,1000.0,895.0,,,,,,
1722008195000,1000.0,907.0,,,,,,
1722008200000,1000.0,909.0,,,,,,
1722008205000,1000.0,920.0,,,,,,
1722008210000,1000.0,923.0,,,,,,
1722008215000,1000.0,933.0,,,,,,
1722008220000,1000.0,939.0,,,,,,
1722008225000,1000.0,943.0,,,,,,
1722008230000,1000.0,949.0,,,,,,
1722008235000,1000.0,956.0,,,,,,
1722008240000,1000.0,956.0,,,,,,
1722008245000,,,,,,,,
1722008285000,1000.0,1000.0,1000.0,,,,,
1722008290000,466.0,404.0,650.0,,,,,
1722008295000,733.0,617.0,685.0,,,,,
1722008300000,822.0,689.0,731.0,,,,,
1722008305000,867.0,725.0,737.0,,,,,
1722008310000,894.0,752.0,732.0,,,,,
1722008315000,911.0,748.0,734.0,,,,,
1722008320000,924.0,742.0,715.0,,,,,
1722008325000,934.0,740.0,722.0,,,,,
1722008330000,941.0,740.0,718.0,,,,,
1722008335000,947.0,745.0,722.0,,,,,
1722008340000,952.0,758.0,735.0,,,,,
1722008345000,956.0,776.0,744.0,,,,,
1722008350000,1000.0,811.0,759.0,,,,,
1722008355000,1000.0,813.0,765.0,,,,,
1722008360000,1000.0,808.0,759.0,,,,,
1722008365000,1000.0,815.0,768.0,,,,,
1722008370000,1000.0,820.0,788.0,,,,,
1722008375000,1000.0,826.0,793.0,,,,,
1722008380000,1000.0,833.0,810.0,,,,,
1722008385000,1000.0,849.0,818.0,,,,,
1722008390000,1000.0,854.0,825.0,,,,,
1722008395000,1000.0,856.0,825.0,,,,,
1722008400000,1000.0,857.0,829.0,,,,,
1722008405000,1000.0,849.0,828.0,,,,,
1722008410000,1000.0,854.0,831.0,,,,,
1722008415000,1000.0,856.0,835.0,,,,,
1722008420000,1000.0,864.0,842.0,,,,,
1722008425000,1000.0,859.0,839.0,,,,,
1722008430000,1000.0,853.0,828.0,,,,,
1722008435000,1000.0,857.0,831.0,,,,,
1722008440000,1000.0,867.0,832.0,,,,,
1722008445000,1000.0,868.0,835.0,,,,,
1722008450000,1000.0,879.0,844.0,,,,,
1722008455000,1000.0,882.0,847.0,,,,,
1722008460000,1000.0,876.0,841.0,,,,,
1722008465000,1000.0,883.0,,,,,,
1722008470000,,,,,,,,
1722008505000,1000.0,1000.0,1000.0,473.0,,,,
1722008510000,497.0,304.0,263.0,565.0,,,,
1722008515000,724.0,400.0,411.0,634.0,,,,
1722008520000,810.0,546.0,576.0,677.0,,,,
1722008525000,858.0,608.0,632.0,696.0,,,,
1722008530000,886.0,633.0,656.0,706.0,,,,
1722008535000,905.0,657.0,682.0,711.0,,,,
1722008540000,919.0,658.0,667.0,701.0,,,,
1722008545000,929.0,659.0,670.0,708.0,,,,
1722008550000,937.0,670.0,679.0,714.0,,,,
1722008555000,943.0,683.0,694.0,719.0,,,,
1722008560000,949.0,693.0,701.0,729.0,,,,
1722008565000,953.0,709.0,719.0,761.0,,,,
1722008570000,995.0,754.0,764.0,775.0,,,,
1722008575000,999.0,785.0,788.0,781.0,,,,
1722008580000,1000.0,787.0,788.0,777.0,,,,
1722008585000,1000.0,788.0,791.0,785.0,,,,
1722008590000,1000.0,801.0,805.0,787.0,,,,
1722008595000,1000.0,800.0,810.0,791.0,,,,
1722008600000,1000.0,809.0,827.0,795.0,,,,
1722008605000,1000.0,813.0,837.0,796.0,,,,
1722008610000,1000.0,817.0,843.0,801.0,,,,
1722008615000,1000.0,826.0,848.0,814.0,,,,
1722008620000,1000.0,828.0,863.0,813.0,,,,
1722008625000,1000.0,826.0,862.0,816.0,,,,
1722008630000,1000.0,835.0,871.0,815.0,,,,
1722008635000,1000.0,837.0,874.0,814.0,,,,
1722008640000,1000.0,837.0,869.0,819.0,,,,
1722008645000,1000.0,844.0,875.0,817.0,,,,
1722008650000,1000.0,843.0,868.0,816.0,,,,
1722008655000,1000.0,843.0,864.0,824.0,,,,
1722008660000,1000.0,857.0,877.0,845.0,,,,
1722008665000,1000.0,876.0,887.0,849.0,,,,
1722008670000,1000.0,876.0,892.0,848.0,,,,
1722008675000,1000.0,870.0,889.0,841.0,,,,
1722008680000,1000.0,876.0,886.0,853.0,,,,
1722008685000,1000.0,1000.0,,,,,,
1722008690000,1000.0,794.0,1000.0,1000.0,,,,
1722008695000,940.0,769.0,700.0,757.0,,,,
1722008700000,970.0,,,745.0,,,,
1722008705000,,1000.0,1000.0,1000.0,,,,
1722008710000,1000.0,1000.0,696.0,466.0,,,,
1722008715000,943.0,497.0,725.0,612.0,,,,
1722008720000,972.0,680.0,738.0,699.0,,,,
1722008725000,981.0,716.0,748.0,760.0,,,,
1722008730000,986.0,754.0,780.0,762.0,,,,
1722008735000,989.0,773.0,793.0,775.0,,,,
1722008740000,991.0,789.0,801.0,797.0,,,,
1722008745000,,,,,,,,
1722008780000,,,1000.0,,,,,
1722008785000,1000.0,1000.0,372.0,1000.0,1000.0,,,
1722008790000,455.0,216.0,359.0,227.0,252.0,,,
1722008795000,667.0,314.0,425.0,324.0,341.0,,,
1722008800000,778.0,410.0,478.0,423.0,411.0,,,
