Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 7)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,1000.0,,,,,,,,0.0,-1.0,-1.0,1
5,0.0,,,,,,,,666.0,,,,,,,,0.0,-1.0,-1.0,1
10,0.0,,,,,,,,330.0,,,,,,,,0.0,1381.0,13.0,1
15,0.0,,,,,,,,207.0,,,,,,,,0.0,1381.0,17.0,1
20,0.0,,,,,,,,147.0,,,,,,,,0.0,1381.0,20.0,1
25,0.0,,,,,,,,113.0,,,,,,,,0.0,1381.0,17.0,1
30,0.0,,,,,,,,91.0,,,,,,,,0.0,1381.0,16.0,1
35,0.0,,,,,,,,76.0,,,,,,,,0.0,1381.0,24.0,1
40,0.0,,,,,,,,66.0,,,,,,,,0.0,1381.0,22.0,1
45,0.0,,,,,,,,58.0,,,,,,,,0.0,1381.0,27.0,1
50,233.6333333333,,,,,,,,88.0,,,,,,,,0.0,1381.0,23.0,1
55,855.7,,,,,,,,127.0,,,,,,,,0.0,1381.0,56.0,1
60,869.3333333333,,,,,,,,116.0,,,,,,,,0.0,1381.0,17.0,1
65,2328.65,,,,,,,,132.0,,,,,,,,61.0,1381.0,15.0,1
70,4011.91666667,,,,,,,,216.0,,,,,,,,138.0,1381.0,380.0,1
75,5671.01666667,,,,,,,,302.0,,,,,,,,213.0,1381.0,396.0,1
80,7385.36666666,,,,,,,,388.0,,,,,,,,291.0,1381.0,391.0,1
85,9095.2,,,,,,,,474.0,,,,,,,,366.0,1381.0,386.0,1
90,10703.91666666,,,,,,,,559.0,,,,,,,,446.0,1381.0,379.0,1
95,12407.8,,,,,,,,643.0,,,,,,,,525.0,1381.0,367.0,1
100,14178.58333333,,,,,,,,727.0,,,,,,,,604.0,1381.0,358.0,1
105,15918.73333333,,,,,,,,811.0,,,,,,,,682.0,1381.0,403.0,1
110,17440.58333333,,,,,,,,865.0,,,,,,,,759.0,1381.0,425.0,1
115,18619.08333333,,,,,,,,905.0,,,,,,,,838.0,1381.0,375.0,1
120,20266.78333333,,,,,,,,989.0,,,,,,,,916.0,1381.0,379.0,1
125,20553.6,,,,,,,,1000.0,,,,,,,,932.0,1381.0,527.0,1
130,20611.55,,,,,,,,1000.0,,,,,,,,933.0,1381.0,420.0,1
135,20630.96666666,,,,,,,,1000.0,,,,,,,,935.0,1381.0,412.0,1
140,20732.5,,,,,,,,1000.0,,,,,,,,936.0,1381.0,335.0,1
145,20770.93333333,,,,,,,,1000.0,,,,,,,,936.0,1381.0,376.0,1
150,20832.75,,,,,,,,1000.0,,,,,,,,935.0,1381.0,380.0,1
155,20897.33333333,,,,,,,,1000.0,,,,,,,,935.0,1381.0,370.0,1
160,20820.65,,,,,,,,1000.0,,,,,,,,935.0,1381.0,353.0,1
165,20808.38333333,,,,,,,,1000.0,,,,,,,,935.0,1381.0,412.0,1
170,20817.68333333,,,,,,,,1000.0,,,,,,,,936.0,1381.0,391.0,1
175,20637.65,,,,,,,,1000.0,,,,,,,,936.0,1381.0,642.0,1
180,20780.816666659997,,,,,,,,1000.0,,,,,,,,936.0,1381.0,371.0,1
185,20819.566666659997,,,,,,,,1000.0,,,,,,,,936.0,1381.0,394.0,1
190,20853.71666666,,,,,,,,1000.0,,,,,,,,938.0,1381.0,384.0,1
195,20978.9,,,,,,,,1000.0,,,,,,,,938.0,1381.0,355.0,1
200,20964.25,,,,,,,,1000.0,,,,,,,,938.0,1381.0,371.0,1
205,20981.45,,,,,,,,1000.0,,,,,,,,940.0,1381.0,399.0,1
210,,,,,,,,,,,,,,,,,,1381.0,402.0,0
245,0.0,0.0,,,,,,,1000.0,1000.0,,,,,,,0.0,-1.0,-1.0,2
250,14.266666666666,50.5166666667,,,,,,,368.0,236.0,,,,,,,71.0,-1.0,-1.0,2
255,879.8,1023.75,,,,,,,684.0,436.0,,,,,,,436.0,-1.0,-1.0,2
260,2163.7666666666,2276.0833333333,,,,,,,790.0,559.0,,,,,,,542.0,1381.0,605.0,2
265,3612.35,3758.23333333,,,,,,,842.0,637.0,,,,,,,602.0,1381.0,591.0,2
270,5071.05,5220.01666667,,,,,,,874.0,674.0,,,,,,,648.0,1381.0,393.0,2
275,6677.11666666,6744.683333329999,,,,,,,895.0,716.0,,,,,,,676.0,1381.0,481.0,2
280,8060.233333329999,8159.76666666,,,,,,,910.0,731.0,,,,,,,695.0,1381.0,375.0,2
285,9583.0,9727.93333333,,,,,,,921.0,760.0,,,,,,,715.0,1381.0,493.0,2
290,11001.96666666,11146.133333329999,,,,,,,930.0,765.0,,,,,,,733.0,1381.0,447.0,2
295,12497.883333329999,12637.08333333,,,,,,,937.0,772.0,,,,,,,743.0,1381.0,350.0,2
300,14005.633333329999,14123.783333329999,,,,,,,943.0,785.0,,,,,,,754.0,1381.0,478.0,2
305,15334.41666666,15465.75,,,,,,,948.0,786.0,,,,,,,764.0,1381.0,507.0,2
310,16795.1,16906.03333333,,,,,,,1000.0,836.0,,,,,,,832.0,1381.0,419.0,2
315,17544.88333333,17560.13333333,,,,,,,1000.0,860.0,,,,,,,833.0,1381.0,424.0,2
320,17656.516666659998,17655.0,,,,,,,1000.0,861.0,,,,,,,843.0,1381.0,436.0,2
325,17805.68333333,17805.08333333,,,,,,,1000.0,862.0,,,,,,,849.0,1381.0,475.0,2
330,17702.63333333,17707.88333333,,,,,,,1000.0,859.0,,,,,,,851.0,1381.0,376.0,2
335,17680.2,17749.0,,,,,,,1000.0,855.0,,,,,,,851.0,1381.0,637.0,2
340,17970.6,17975.41666666,,,,,,,1000.0,865.0,,,,,,,857.0,1381.0,423.0,2
345,18054.16666666,17975.86666666,,,,,,,1000.0,863.0,,,,,,,855.0,1381.0,474.0,2
350,18206.13333333,18154.16666666,,,,,,,1000.0,871.0,,,,,,,854.0,1381.0,397.0,2
355,18430.03333333,18432.05,,,,,,,1000.0,886.0,,,,,,,854.0,1381.0,345.0,2
360,18496.96666666,18465.733333329998,,,,,,,1000.0,884.0,,,,,,,853.0,1381.0,397.0,2
365,18807.25,18764.4,,,,,,,1000.0,895.0,,,,,,,853.0,1381.0,520.0,2
370,19041.11666666,19033.55,,,,,,,1000.0,907.0,,,,,,,847.0,1381.0,588.0,2
375,19139.75,19126.78333333,,,,,,,1000.0,909.0,,,,,,,849.0,1381.0,350.0,2
380,19435.316666659997,19423.86666666,,,,,,,1000.0,920.0,,,,,,,850.0,1381.0,377.0,2
385,19482.03333333,19487.2,,,,,,,1000.0,923.0,,,,,,,846.0,1381.0,375.0,2
390,19746.6,19728.85,,,,,,,1000.0,933.0,,,,,,,842.0,1381.0,376.0,2
395,19875.15,19858.71666666,,,,,,,1000.0,939.0,,,,,,,844.0,1381.0,515.0,2
400,19957.28333333,19923.45,,,,,,,1000.0,943.0,,,,,,,841.0,1381.0,336.0,2
405,20088.316666659997,20116.8,,,,,,,1000.0,949.0,,,,,,,845.0,1381.0,395.0,2
410,20284.6,20272.96666666,,,,,,,1000.0,956.0,,,,,,,847.0,1381.0,405.0,2
415,20315.35,20300.86666666,,,,,,,1000.0,956.0,,,,,,,850.0,1381.0,387.0,2
420,,,,,,,,,,,,,,,,,,1381.0,419.0,0
455,0.0,,0.0,,,,,,,,,,,,,,0.0,,,2
460,0.0,0.0,0.0,,,,,,1000.0,1000.0,1000.0,,,,,,0.0,-1.0,-1.0,3
465,69.2666666666,117.0,240.3833333333,,,,,,466.0,404.0,650.0,,,,,,94.0,-1.0,-1.0,3
470,934.7,1046.75,1270.7666666666,,,,,,733.0,617.0,685.0,,,,,,409.0,-1.0,-1.0,3
475,2249.1333333333,2376.8166666666,2657.9166666666,,,,,,822.0,689.0,731.0,,,,,,515.0,1381.0,529.0,3
480,3651.23333333,3804.88333333,4066.81666667,,,,,,867.0,725.0,737.0,,,,,,569.0,1381.0,465.0,3
485,5087.15,5240.98333333,5393.03333333,,,,,,894.0,752.0,732.0,,,,,,625.0,1381.0,477.0,3
490,6327.866666670001,6446.95,6703.9,,,,,,911.0,748.0,734.0,,,,,,657.0,1381.0,531.0,3
495,7533.28333333,7663.983333329999,7816.75,,,,,,924.0,742.0,715.0,,,,,,660.0,1381.0,431.0,3
500,8737.58333333,8885.08333333,9123.033333329999,,,,,,934.0,740.0,722.0,,,,,,675.0,1381.0,650.0,3
505,9948.01666666,10106.26666666,10336.05,,,,,,941.0,740.0,718.0,,,,,,683.0,1381.0,685.0,3
510,11241.55,11382.133333329999,11664.33333333,,,,,,947.0,745.0,722.0,,,,,,695.0,1381.0,480.0,3
515,12696.33333333,12795.35,12998.5,,,,,,952.0,758.0,735.0,,,,,,704.0,1381.0,474.0,3
520,14125.8,14286.1,14522.8,,,,,,956.0,776.0,744.0,,,,,,702.0,1381.0,476.0,3
525,15452.65,15580.48333333,15716.883333329999,,,,,,1000.0,811.0,759.0,,,,,,755.0,1381.0,434.0,3
530,16132.05,16132.383333329999,16141.73333333,,,,,,1000.0,813.0,765.0,,,,,,758.0,1381.0,555.0,3
535,16093.4,16101.383333329999,16138.08333333,,,,,,1000.0,808.0,759.0,,,,,,761.0,1381.0,430.0,3
540,16215.5,16221.766666659998,16252.16666666,,,,,,1000.0,815.0,768.0,,,,,,765.0,1381.0,452.0,3
545,16340.48333333,16341.35,16451.233333329998,,,,,,1000.0,820.0,788.0,,,,,,762.0,1381.0,488.0,3
550,16548.83333333,16527.08333333,16589.66666666,,,,,,1000.0,826.0,793.0,,,,,,761.0,1381.0,467.0,3
555,16666.7,16666.766666659998,16826.816666659997,,,,,,1000.0,833.0,810.0,,,,,,772.0,1381.0,371.0,3
560,17036.61666666,17044.733333329998,17032.05,,,,,,1000.0,849.0,818.0,,,,,,775.0,1381.0,451.0,3
565,17185.233333329998,17199.93333333,17246.75,,,,,,1000.0,854.0,825.0,,,,,,775.0,1381.0,463.0,3
570,17286.78333333,17280.96666666,17194.46666666,,,,,,1000.0,856.0,825.0,,,,,,777.0,1381.0,487.0,3
575,17356.83333333,17383.78333333,17455.266666659998,,,,,,1000.0,857.0,829.0,,,,,,778.0,1381.0,672.0,3
580,17412.18333333,17409.86666666,17444.78333333,,,,,,1000.0,849.0,828.0,,,,,,788.0,1381.0,397.0,3
585,17528.566666659997,17526.38333333,17526.78333333,,,,,,1000.0,854.0,831.0,,,,,,789.0,1381.0,524.0,3
590,17558.483333329998,17567.95,17626.65,,,,,,1000.0,856.0,835.0,,,,,,791.0,1381.0,394.0,3
595,17806.45,17815.63333333,17800.766666659998,,,,,,1000.0,864.0,842.0,,,,,,793.0,1381.0,446.0,3
600,17777.11666666,17774.95,17771.4,,,,,,1000.0,859.0,839.0,,,,,,795.0,1381.0,445.0,3
605,17751.7,17765.7,17773.91666666,,,,,,1000.0,853.0,828.0,,,,,,791.0,1381.0,447.0,3
610,17837.75,17841.16666666,17862.21666666,,,,,,1000.0,857.0,831.0,,,,,,787.0,1381.0,462.0,3
615,18076.85,18086.58333333,18060.68333333,,,,,,1000.0,867.0,832.0,,,,,,786.0,1381.0,384.0,3
620,18097.8,18079.61666666,18141.25,,,,,,1000.0,868.0,835.0,,,,,,782.0,1381.0,389.0,3
625,18319.55,18302.483333329998,18284.63333333,,,,,,1000.0,879.0,844.0,,,,,,788.0,1381.0,367.0,3
