,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink
,0,0,1,2,3,4,5,6,7,0,0,0,1,2,3,4,5,6,7,0,0,0,1,2,3,4,5,6,7,0
Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722007825000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,0.0,,,,,,,,0.0
1722007830000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,3680.0,,,,,,,,1969.0
1722007835000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,662.0,,,,,,,,775.0
1722007840000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,,862.0
1722007845000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,,862.0
1722007850000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,,862.0
1722007855000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,,862.0
1722007860000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,,862.0
1722007865000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,1217.0,,,,,,,,862.0
1722007870000,0.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,38466000.0,,,,,,,,2.0
1722007875000,0.0,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,43.0,,,,,,,,0.0
1722007880000,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,-9.223372036854775e+18,862.0,,,,,,,,862.0
1722007885000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722007890000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722007895000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,402.0,,,,,,,,0.0
1722007900000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,363.0,,,,,,,,0.0
1722007905000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,268.0,,,,,,,,0.0
1722007910000,0.0,9.0,,,,,,,,1.0,9.0,2.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722007915000,0.0,9.0,,,,,,,,2.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,1.0
1722007920000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,0.0
1722007925000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,0.0
1722007930000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,0.0
1722007935000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,0.0
1722007940000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,618.0,,,,,,,,0.0
1722007945000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722007950000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722007955000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,402.0,,,,,,,,0.0
1722007960000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722007965000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722007970000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722007975000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,335.0,,,,,,,,0.0
1722007980000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,0.0
1722007985000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,363.0,,,,,,,,0.0
1722007990000,0.0,8.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722007995000,0.0,10.0,,,,,,,,2.0,10.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,502.0,,,,,,,,0.0
1722008000000,0.0,9.0,,,,,,,,1.0,8.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722008005000,0.0,9.0,,,,,,,,2.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,363.0,,,,,,,,0.0
1722008010000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,361.0,,,,,,,,0.0
1722008015000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,357.0,,,,,,,,0.0
1722008020000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,363.0,,,,,,,,0.0
1722008025000,0.0,9.0,,,,,,,,1.0,9.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,363.0,,,,,,,,0.0
1722008030000,0.0,9.0,,,,,,,,1.0,8.0,1.0,,,,,,,,0.0,-9.223372036854775e+18,301.0,,,,,,,,0.0
1722008035000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722008070000,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,-9.223372036854775e+18,0.0,0.0,,,,,,,0.0
1722008075000,0.0,9.0,0.0,,,,,,,1.0,9.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,354.0,29.0,,,,,,,0.0
1722008080000,0.0,11.0,1.0,,,,,,,1.0,12.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,683.0,42.0,,,,,,,0.0
1722008085000,0.0,10.0,2.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,538.0,80.0,,,,,,,0.0
1722008090000,0.0,10.0,1.0,,,,,,,1.0,9.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,361.0,82.0,,,,,,,0.0
1722008095000,0.0,9.0,1.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,321.0,89.0,,,,,,,0.0
1722008100000,0.0,9.0,6.0,,,,,,,1.0,12.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,603.0,323.0,,,,,,,0.0
1722008105000,0.0,9.0,7.0,,,,,,,1.0,11.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,361.0,241.0,,,,,,,0.0
1722008110000,0.0,8.0,0.0,,,,,,,1.0,11.0,2.0,1.0,,,,,,,0.0,-9.223372036854775e+18,452.0,33.0,,,,,,,0.0
1722008115000,0.0,9.0,0.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,502.0,36.0,,,,,,,0.0
1722008120000,0.0,10.0,2.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,361.0,67.0,,,,,,,0.0
1722008125000,0.0,9.0,2.0,,,,,,,1.0,9.0,1.0,2.0,,,,,,,0.0,-9.223372036854775e+18,361.0,80.0,,,,,,,0.0
1722008130000,0.0,9.0,3.0,,,,,,,1.0,9.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,361.0,120.0,,,,,,,0.0
1722008135000,0.0,9.0,1.0,,,,,,,1.0,11.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,363.0,33.0,,,,,,,0.0
1722008140000,0.0,10.0,1.0,,,,,,,2.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,502.0,38.0,,,,,,,0.0
1722008145000,0.0,9.0,1.0,,,,,,,1.0,11.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,452.0,67.0,,,,,,,0.0
1722008150000,0.0,9.0,2.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,904.0,37.0,,,,,,,0.0
1722008155000,0.0,10.0,0.0,,,,,,,1.0,11.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,402.0,38.0,,,,,,,0.0
1722008160000,0.0,10.0,3.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,402.0,78.0,,,,,,,0.0
1722008165000,0.0,9.0,6.0,,,,,,,1.0,9.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,361.0,389.0,,,,,,,0.0
1722008170000,0.0,9.0,6.0,,,,,,,1.0,11.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,369.0,282.0,,,,,,,0.0
1722008175000,0.0,9.0,5.0,,,,,,,1.0,9.0,1.0,2.0,,,,,,,0.0,-9.223372036854775e+18,301.0,160.0,,,,,,,0.0
1722008180000,0.0,10.0,2.0,,,,,,,2.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,341.0,40.0,,,,,,,0.0
1722008185000,0.0,9.0,5.0,,,,,,,1.0,9.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,502.0,160.0,,,,,,,0.0
1722008190000,0.0,9.0,6.0,,,,,,,1.0,9.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,402.0,160.0,,,,,,,0.0
1722008195000,0.0,10.0,1.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,402.0,33.0,,,,,,,0.0
1722008200000,0.0,10.0,2.0,,,,,,,1.0,11.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,450.0,34.0,,,,,,,0.0
1722008205000,0.0,10.0,5.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,361.0,201.0,,,,,,,0.0
1722008210000,0.0,9.0,1.0,,,,,,,1.0,9.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,502.0,39.0,,,,,,,0.0
1722008215000,0.0,10.0,0.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,361.0,33.0,,,,,,,0.0
1722008220000,0.0,10.0,4.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,404.0,67.0,,,,,,,0.0
1722008225000,0.0,9.0,6.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,402.0,202.0,,,,,,,0.0
1722008230000,0.0,9.0,7.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,301.0,281.0,,,,,,,0.0
1722008235000,0.0,9.0,9.0,,,,,,,1.0,10.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,361.0,303.0,,,,,,,0.0
1722008240000,0.0,10.0,3.0,,,,,,,1.0,11.0,1.0,1.0,,,,,,,0.0,-9.223372036854775e+18,301.0,67.0,,,,,,,0.0
1722008245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722008280000,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,,,0.0,-9.223372036854775e+18,0.0,,0.0,,,,,,0.0
1722008285000,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,1.0,3.0,,,,,,0.0,-9.223372036854775e+18,21956000.0,0.0,56.0,,,,,,2640.0
1722008290000,0.0,10.0,3.0,1.0,,,,,,1.0,10.0,1.0,5.0,1.0,,,,,,0.0,-9.223372036854775e+18,1079.0,224.0,34.0,,,,,,0.0
