,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1736822145000,0.0
1736822150000,0.0
1736822155000,0.0
1736822160000,54.0
1736822165000,132.0
1736822170000,251.0
1736822175000,276.0
1736822180000,318.0
1736822185000,369.0
1736822190000,400.0
1736822195000,410.0
1736822200000,427.0
1736822205000,438.0
1736822210000,444.0
1736822215000,490.0
1736822220000,527.0
1736822225000,554.0
1736822230000,552.0
1736822235000,549.0
1736822240000,552.0
1736822245000,547.0
1736822250000,524.0
1736822255000,534.0
1736822260000,539.0
1736822265000,544.0
1736822270000,540.0
1736822275000,543.0
1736822280000,545.0
1736822285000,558.0
1736822290000,553.0
1736822295000,573.0
1736822300000,574.0
1736822305000,562.0
1736822310000,589.0
1736822315000,581.0
1736822320000,570.0
1736822325000,558.0
1736822330000,567.0
1736822335000,569.0
1736822340000,564.0
1736822345000,535.0
1736822350000,538.0
1736822355000,531.0
1736822360000,520.0
1736822365000,525.0
1736822370000,518.0
1736822375000,516.0
1736822380000,524.0
1736822385000,534.0
1736822390000,523.0
1736822395000,
1736822420000,0.0
1736822425000,0.0
1736822430000,0.0
1736822435000,130.0
1736822440000,182.0
1736822445000,207.0
1736822450000,231.0
1736822455000,221.0
1736822460000,213.0
1736822465000,206.0
1736822470000,204.0
1736822475000,202.0
1736822480000,201.0
1736822485000,222.0
1736822490000,230.0
1736822495000,213.0
1736822500000,208.0
1736822505000,209.0
1736822510000,191.0
1736822515000,218.0
1736822520000,224.0
1736822525000,233.0
1736822530000,246.0
1736822535000,265.0
1736822540000,268.0
1736822545000,269.0
1736822550000,267.0
1736822555000,271.0
1736822560000,272.0
1736822565000,268.0
1736822570000,269.0
1736822575000,253.0
1736822580000,266.0
1736822585000,268.0
1736822590000,254.0
1736822595000,225.0
1736822600000,222.0
1736822605000,224.0
1736822610000,234.0
1736822615000,236.0
1736822620000,234.0
1736822625000,228.0
1736822630000,237.0
1736822635000,227.0
1736822640000,213.0
1736822645000,209.0
1736822650000,219.0
1736822655000,245.0
1736822660000,251.0
1736822665000,242.0
1736822670000,246.0
1736822675000,
1736822700000,0.0
1736822705000,0.0
1736822710000,0.0
1736822715000,389.0
1736822720000,316.0
1736822725000,258.0
1736822730000,221.0
1736822735000,210.0
1736822740000,189.0
1736822745000,171.0
1736822750000,156.0
1736822755000,144.0
1736822760000,140.0
1736822765000,135.0
1736822770000,141.0
1736822775000,77.0
1736822780000,73.0
1736822785000,72.0
1736822790000,81.0
1736822795000,79.0
1736822800000,95.0
1736822805000,99.0
1736822810000,107.0
1736822815000,109.0
1736822820000,114.0
1736822825000,118.0
1736822830000,119.0
1736822835000,127.0
1736822840000,129.0
1736822845000,131.0
1736822850000,125.0
1736822855000,130.0
1736822860000,113.0
1736822865000,133.0
1736822870000,141.0
1736822875000,146.0
1736822880000,140.0
1736822885000,133.0
1736822890000,134.0
1736822895000,136.0
1736822900000,129.0
1736822905000,129.0
1736822910000,122.0
1736822915000,122.0
1736822920000,125.0
1736822925000,118.0
1736822930000,118.0
1736822935000,117.0
1736822940000,114.0
1736822945000,119.0
1736822950000,118.0
1736822955000,
1736822980000,0.0
1736822985000,0.0
1736822990000,309.0
1736822995000,241.0
1736823000000,209.0
1736823005000,167.0
1736823010000,140.0
1736823015000,121.0
1736823020000,106.0
1736823025000,96.0
1736823030000,89.0
1736823035000,82.0
1736823040000,79.0
1736823045000,80.0
1736823050000,30.0
1736823055000,22.0
1736823060000,18.0
1736823065000,19.0
1736823070000,19.0
1736823075000,21.0
1736823080000,22.0
1736823085000,22.0
1736823090000,21.0
1736823095000,20.0
1736823100000,16.0
1736823105000,18.0
1736823110000,17.0
1736823115000,19.0
1736823120000,16.0
1736823125000,15.0
1736823130000,16.0
1736823135000,16.0
1736823140000,15.0
1736823145000,16.0
1736823150000,15.0
1736823155000,15.0
1736823160000,20.0
1736823165000,19.0
1736823170000,19.0
1736823175000,17.0
1736823180000,18.0
1736823185000,19.0
1736823190000,19.0
1736823195000,18.0
1736823200000,18.0
1736823205000,17.0
1736823210000,18.0
1736823215000,18.0
1736823220000,14.0
1736823225000,
