,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736824470000,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1736824475000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1736824480000,0.0,251.6666666666,247.2,247.3166666666,245.5666666666,247.1,245.8833333333,246.8166666666,,,,,,,,,,,,,,,,,,,,,,,,
1736824485000,246.6333333333,1056.5,1109.4666666666,1078.2,1080.4666666666,1081.0166666666,1316.1666666666,1118.8166666666,,,,,,,,,,,,,,,,,,,,,,,,
1736824490000,1168.3666666666,2293.7666666666,2271.15,2286.35,2273.9666666666,2295.25,2558.6,2282.2833333332997,,,,,,,,,,,,,,,,,,,,,,,,
1736824495000,2260.45,3719.45,3702.26666667,3710.85,3695.01666667,3723.63333333,3811.53333333,3701.58333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824500000,3720.73333333,5027.88333333,5031.93333333,5014.68333333,5012.38333333,5049.28333333,4999.36666667,5056.03333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824505000,4965.43333333,5991.733333329999,5938.9,5974.21666667,5945.433333329999,6002.66666667,6109.08333333,5966.83333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824510000,5799.83333333,7153.83333333,7092.01666666,7133.633333329999,7099.35,7167.45,7025.25,7121.96666666,,,,,,,,,,,,,,,,,,,,,,,,
1736824515000,7155.21666666,8279.46666666,8208.26666666,8258.96666666,8215.5,8292.95,8278.76666666,8251.2,,,,,,,,,,,,,,,,,,,,,,,,
1736824520000,8056.65,9562.58333333,9473.26666666,9537.23333333,9476.8,9576.31666666,9605.283333329999,9518.58333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824525000,9567.33333333,10862.4,10801.133333329999,10837.05,10800.4,10897.8,10815.08333333,10853.01666666,,,,,,,,,,,,,,,,,,,,,,,,
1736824530000,10931.36666666,12158.466666659999,12097.68333333,12131.55,12075.35,12179.716666659999,12327.966666659999,12165.516666659998,,,,,,,,,,,,,,,,,,,,,,,,
1736824535000,12252.56666666,13353.6,13439.65,13508.283333329999,13434.783333329999,13354.116666659998,13321.98333333,13279.533333329999,,,,,,,,,,,,,,,,,,,,,,,,
1736824540000,13333.93333333,14762.266666659998,14630.43333333,14717.31666666,14641.133333329999,14786.66666666,14637.41666666,14713.58333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824545000,14757.783333329999,15160.65,15003.08333333,15118.616666659998,15027.15,15180.5,14742.95,15070.283333329999,,,,,,,,,,,,,,,,,,,,,,,,
1736824550000,15004.95,15399.266666659998,15353.41666666,15362.16666666,15299.15,15422.966666659999,14988.766666659998,15436.5,,,,,,,,,,,,,,,,,,,,,,,,
1736824555000,15594.366666659998,15061.95,14921.66666666,15021.41666666,14935.3,15086.25,14990.23333333,15031.033333329999,,,,,,,,,,,,,,,,,,,,,,,,
1736824560000,15046.966666659999,15181.43333333,15007.383333329999,15144.616666659998,15081.16666666,15220.2,15080.7,15153.33333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824565000,15257.266666659998,15761.533333329999,15628.06666666,15722.83333333,15632.91666666,15782.48333333,15500.56666666,15700.98333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824570000,15969.3,16324.95,16257.116666659998,16303.0,16242.66666666,16358.41666666,16457.65,16346.116666659998,,,,,,,,,,,,,,,,,,,,,,,,
1736824575000,16408.85,17486.8,17338.28333333,17444.11666666,17314.61666666,17515.8,17259.78333333,17386.66666666,,,,,,,,,,,,,,,,,,,,,,,,
1736824580000,17716.1,17719.483333329998,17567.53333333,17680.16666666,17592.733333329998,17748.78333333,17382.63333333,17662.816666659997,,,,,,,,,,,,,,,,,,,,,,,,
1736824585000,17699.0,17754.5,17569.66666666,17707.38333333,17588.18333333,17763.85,17287.85,17655.566666659997,,,,,,,,,,,,,,,,,,,,,,,,
1736824590000,17686.08333333,17719.11666666,17559.816666659997,17701.91666666,17594.93333333,17774.65,17270.78333333,17646.516666659998,,,,,,,,,,,,,,,,,,,,,,,,
1736824595000,17615.266666659998,17845.83333333,17495.03333333,17616.53333333,17516.95,17896.66666666,17559.16666666,17805.61666666,,,,,,,,,,,,,,,,,,,,,,,,
1736824600000,17635.066666659997,17510.15,17575.46666666,17452.016666659998,17458.6,17513.266666659998,17506.36666666,17450.63333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824605000,17495.43333333,17770.33333333,17586.66666666,17707.66666666,17608.566666659997,17781.7,17542.91666666,17671.0,,,,,,,,,,,,,,,,,,,,,,,,
1736824610000,17827.25,17828.766666659998,17593.83333333,17786.71666666,17666.85,17862.8,17338.08333333,17671.13333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824615000,17673.2,18161.28333333,18006.85,18120.4,18022.78333333,18192.3,17477.516666659998,18072.65,,,,,,,,,,,,,,,,,,,,,,,,
1736824620000,18181.733333329998,18022.0,17967.816666659997,18048.88333333,17936.5,18096.55,17579.08333333,17981.16666666,,,,,,,,,,,,,,,,,,,,,,,,
1736824625000,17967.016666659998,17449.93333333,17392.8,17502.93333333,17404.21666666,17574.233333329998,17263.65,17481.316666659997,,,,,,,,,,,,,,,,,,,,,,,,
1736824630000,17317.0,17047.28333333,17009.83333333,17178.68333333,17109.733333329998,17316.36666666,16766.85,17157.1,,,,,,,,,,,,,,,,,,,,,,,,
1736824635000,16982.41666666,16399.43333333,16375.033333329999,16417.816666659997,16377.2,16495.25,16240.43333333,16486.983333329998,,,,,,,,,,,,,,,,,,,,,,,,
1736824640000,16515.85,17144.016666659998,17102.95,17160.85,17076.233333329998,17256.11666666,17088.2,17187.13333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824645000,17079.4,17271.96666666,17405.63333333,17469.75,17372.18333333,17540.46666666,17594.25,17488.61666666,,,,,,,,,,,,,,,,,,,,,,,,
1736824650000,17513.08333333,17495.6,17313.15,17428.63333333,17329.5,17501.43333333,17346.566666659997,17387.7,,,,,,,,,,,,,,,,,,,,,,,,
1736824655000,17280.3,17604.8,17456.66666666,17563.266666659998,17467.46666666,17635.28333333,17281.65,17538.483333329998,,,,,,,,,,,,,,,,,,,,,,,,
1736824660000,17843.266666659998,17876.016666659998,17510.08333333,17863.78333333,17736.11666666,17938.483333329998,17337.3,18028.58333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824665000,17911.08333333,18012.316666659997,17847.11666666,17973.066666659997,17860.7,18046.55,17453.55,17935.25,,,,,,,,,,,,,,,,,,,,,,,,
1736824670000,17995.316666659997,17769.21666666,17672.733333329998,17751.45,17654.35,17824.266666659998,17553.483333329998,17759.08333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824675000,17807.91666666,17755.46666666,17602.11666666,17717.46666666,17612.983333329998,17791.516666659998,17680.58333333,17691.1,,,,,,,,,,,,,,,,,,,,,,,,
1736824680000,17528.316666659997,17944.58333333,17732.68333333,17822.2,17514.483333329998,17806.68333333,17648.53333333,17821.78333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824685000,17811.91666666,18196.066666659997,17950.65,18062.3,17959.93333333,18138.75,17721.2,18034.85,,,,,,,,,,,,,,,,,,,,,,,,
1736824690000,18316.983333329998,18339.4,18007.066666659997,18110.61666666,17949.18333333,18125.41666666,17729.6,18030.0,,,,,,,,,,,,,,,,,,,,,,,,
1736824695000,18263.8,18255.36666666,17990.16666666,18157.18333333,18040.66666666,18221.08333333,17560.91666666,18073.8,,,,,,,,,,,,,,,,,,,,,,,,
1736824700000,18144.0,17265.566666659997,17021.91666666,17168.21666666,17057.816666659997,17217.8,16576.816666659997,17096.33333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824705000,17123.516666659998,17090.983333329998,16669.85,16818.28333333,16722.58333333,16888.3,16688.85,16750.2,,,,,,,,,,,,,,,,,,,,,,,,
1736824710000,16910.61666666,17555.5,17540.8,17569.13333333,17486.816666659997,17655.78333333,17126.566666659997,17621.78333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824715000,18039.8,17549.28333333,17506.66666666,17560.483333329998,17468.85,17630.9,17379.53333333,17601.63333333,,,,,,,,,,,,,,,,,,,,,,,,
1736824720000,17794.35,,17401.733333329998,17492.03333333,17327.733333329998,17574.63333333,17023.5,,,,,,,,,,,,,,,,,,,,,,,,,
1736824725000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736824745000,,,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,
1736824750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
