,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736825635000,-9.223372036854775e+18
1736825640000,-9.223372036854775e+18
1736825645000,-9.223372036854775e+18
1736825650000,-9.223372036854775e+18
1736825655000,-9.223372036854775e+18
1736825660000,-9.223372036854775e+18
1736825665000,-9.223372036854775e+18
1736825670000,-9.223372036854775e+18
1736825675000,-9.223372036854775e+18
1736825680000,-9.223372036854775e+18
1736825685000,-9.223372036854775e+18
1736825690000,-9.223372036854775e+18
1736825695000,-9.223372036854775e+18
1736825700000,-9.223372036854775e+18
1736825705000,-9.223372036854775e+18
1736825710000,-9.223372036854775e+18
1736825715000,-9.223372036854775e+18
1736825720000,-9.223372036854775e+18
1736825725000,-9.223372036854775e+18
1736825730000,-9.223372036854775e+18
1736825735000,-9.223372036854775e+18
1736825740000,-9.223372036854775e+18
1736825745000,-9.223372036854775e+18
1736825750000,-9.223372036854775e+18
1736825755000,-9.223372036854775e+18
1736825760000,-9.223372036854775e+18
1736825765000,-9.223372036854775e+18
1736825770000,-9.223372036854775e+18
1736825775000,-9.223372036854775e+18
1736825780000,-9.223372036854775e+18
1736825785000,-9.223372036854775e+18
1736825790000,-9.223372036854775e+18
1736825795000,-9.223372036854775e+18
1736825800000,-9.223372036854775e+18
1736825805000,-9.223372036854775e+18
1736825810000,-9.223372036854775e+18
1736825815000,-9.223372036854775e+18
1736825820000,-9.223372036854775e+18
1736825825000,-9.223372036854775e+18
1736825830000,-9.223372036854775e+18
1736825835000,-9.223372036854775e+18
1736825840000,-9.223372036854775e+18
1736825845000,-9.223372036854775e+18
1736825850000,-9.223372036854775e+18
1736825855000,-9.223372036854775e+18
1736825860000,-9.223372036854775e+18
1736825865000,-9.223372036854775e+18
1736825870000,-9.223372036854775e+18
1736825875000,-9.223372036854775e+18
1736825880000,-9.223372036854775e+18
1736825885000,
1736825910000,-9.223372036854775e+18
1736825915000,-9.223372036854775e+18
1736825920000,-9.223372036854775e+18
1736825925000,-9.223372036854775e+18
1736825930000,-9.223372036854775e+18
1736825935000,-9.223372036854775e+18
1736825940000,-9.223372036854775e+18
1736825945000,-9.223372036854775e+18
1736825950000,-9.223372036854775e+18
1736825955000,-9.223372036854775e+18
1736825960000,-9.223372036854775e+18
1736825965000,-9.223372036854775e+18
1736825970000,-9.223372036854775e+18
