,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1737052055000,0.0
1737052060000,0.0
1737052065000,0.0
1737052070000,373.0
1737052075000,667.0
1737052080000,866.0
1737052085000,945.0
1737052090000,948.0
1737052095000,1000.0
1737052100000,1000.0
1737052105000,1000.0
1737052110000,1000.0
1737052115000,1000.0
1737052120000,1000.0
1737052125000,1000.0
1737052130000,1000.0
1737052135000,1000.0
1737052140000,1000.0
1737052145000,1000.0
1737052150000,1000.0
1737052155000,1000.0
1737052160000,1000.0
1737052165000,1000.0
1737052170000,1000.0
1737052175000,1000.0
1737052180000,1000.0
1737052185000,1000.0
1737052190000,1000.0
1737052195000,1000.0
1737052200000,1000.0
1737052205000,1000.0
1737052210000,1000.0
1737052215000,1000.0
1737052220000,1000.0
1737052225000,1000.0
1737052230000,1000.0
1737052235000,1000.0
1737052240000,1000.0
1737052245000,1000.0
1737052250000,1000.0
1737052255000,1000.0
1737052260000,1000.0
1737052265000,1000.0
1737052270000,1000.0
1737052275000,1000.0
1737052280000,1000.0
1737052285000,1000.0
1737052290000,1000.0
1737052295000,1000.0
1737052300000,
1737052325000,0.0
1737052330000,0.0
1737052335000,1000.0
1737052340000,1000.0
1737052345000,1000.0
1737052350000,1000.0
1737052355000,1000.0
1737052360000,1000.0
1737052365000,1000.0
1737052370000,1000.0
1737052375000,1000.0
1737052380000,1000.0
1737052385000,1000.0
1737052390000,1000.0
1737052395000,1000.0
1737052400000,1000.0
1737052405000,1000.0
1737052410000,1000.0
1737052415000,1000.0
1737052420000,1000.0
1737052425000,1000.0
1737052430000,1000.0
1737052435000,1000.0
1737052440000,1000.0
1737052445000,1000.0
1737052450000,1000.0
1737052455000,1000.0
1737052460000,1000.0
1737052465000,1000.0
1737052470000,1000.0
1737052475000,1000.0
1737052480000,1000.0
1737052485000,1000.0
1737052490000,1000.0
1737052495000,1000.0
1737052500000,1000.0
1737052505000,1000.0
1737052510000,1000.0
1737052515000,1000.0
1737052520000,1000.0
1737052525000,1000.0
1737052530000,1000.0
1737052535000,1000.0
1737052540000,1000.0
1737052545000,1000.0
1737052550000,1000.0
1737052555000,1000.0
1737052560000,1000.0
1737052565000,1000.0
1737052570000,1000.0
1737052575000,
1737052595000,0.0
1737052600000,0.0
1737052605000,973.0
1737052610000,951.0
1737052615000,989.0
1737052620000,968.0
1737052625000,1000.0
1737052630000,1000.0
1737052635000,1000.0
1737052640000,1000.0
1737052645000,1000.0
1737052650000,1000.0
1737052655000,1000.0
1737052660000,1000.0
1737052665000,1000.0
1737052670000,1000.0
1737052675000,1000.0
1737052680000,1000.0
1737052685000,1000.0
1737052690000,1000.0
1737052695000,1000.0
1737052700000,995.0
1737052705000,1000.0
1737052710000,1000.0
1737052715000,983.0
1737052720000,1000.0
1737052725000,986.0
1737052730000,1000.0
1737052735000,980.0
1737052740000,1000.0
1737052745000,969.0
1737052750000,969.0
1737052755000,969.0
1737052760000,975.0
1737052765000,965.0
1737052770000,971.0
1737052775000,1000.0
1737052780000,1000.0
1737052785000,1000.0
1737052790000,1000.0
1737052795000,1000.0
1737052800000,1000.0
1737052805000,1000.0
1737052810000,1000.0
1737052815000,1000.0
1737052820000,1000.0
1737052825000,1000.0
1737052830000,1000.0
1737052835000,1000.0
1737052840000,1000.0
1737052845000,
1737052865000,0.0
1737052870000,0.0
1737052875000,969.0
1737052880000,913.0
1737052885000,943.0
1737052890000,923.0
1737052895000,915.0
1737052900000,963.0
1737052905000,950.0
1737052910000,939.0
1737052915000,928.0
1737052920000,938.0
1737052925000,932.0
1737052930000,925.0
1737052935000,920.0
1737052940000,946.0
1737052945000,943.0
1737052950000,943.0
1737052955000,945.0
1737052960000,915.0
1737052965000,918.0
1737052970000,942.0
1737052975000,963.0
1737052980000,968.0
1737052985000,967.0
1737052990000,972.0
1737052995000,982.0
1737053000000,958.0
1737053005000,989.0
1737053010000,992.0
1737053015000,993.0
1737053020000,994.0
1737053025000,1000.0
1737053030000,1000.0
1737053035000,1000.0
1737053040000,990.0
1737053045000,989.0
1737053050000,987.0
1737053055000,976.0
1737053060000,987.0
1737053065000,966.0
1737053070000,969.0
1737053075000,979.0
1737053080000,993.0
1737053085000,985.0
1737053090000,978.0
1737053095000,980.0
1737053100000,995.0
1737053105000,1000.0
1737053110000,1000.0
1737053115000,
1737053135000,0.0
1737053140000,0.0
1737053145000,879.0
1737053150000,902.0
1737053155000,958.0
1737053160000,1000.0
1737053165000,1000.0
1737053170000,1000.0
1737053175000,1000.0
1737053180000,1000.0
1737053185000,1000.0
1737053190000,1000.0
1737053195000,1000.0
1737053200000,1000.0
1737053205000,1000.0
1737053210000,1000.0
1737053215000,1000.0
1737053220000,1000.0
1737053225000,1000.0
1737053230000,1000.0
1737053235000,1000.0
1737053240000,1000.0
1737053245000,1000.0
1737053250000,1000.0
1737053255000,1000.0
1737053260000,1000.0
1737053265000,1000.0
1737053270000,1000.0
1737053275000,1000.0
1737053280000,1000.0
1737053285000,1000.0
1737053290000,1000.0
1737053295000,1000.0
1737053300000,1000.0
1737053305000,1000.0
1737053310000,1000.0
1737053315000,1000.0
1737053320000,1000.0
1737053325000,1000.0
1737053330000,1000.0
1737053335000,1000.0
1737053340000,1000.0
1737053345000,1000.0
1737053350000,1000.0
1737053355000,1000.0
1737053360000,1000.0
1737053365000,1000.0
