,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737057910000,-9.223372036854775e+18
1737057915000,-9.223372036854775e+18
1737057920000,-9.223372036854775e+18
1737057925000,-9.223372036854775e+18
1737057930000,-9.223372036854775e+18
1737057935000,-9.223372036854775e+18
1737057940000,-9.223372036854775e+18
1737057945000,-9.223372036854775e+18
1737057950000,-9.223372036854775e+18
1737057955000,-9.223372036854775e+18
1737057960000,-9.223372036854775e+18
1737057965000,-9.223372036854775e+18
1737057970000,-9.223372036854775e+18
1737057975000,-9.223372036854775e+18
1737057980000,-9.223372036854775e+18
1737057985000,-9.223372036854775e+18
1737057990000,-9.223372036854775e+18
1737057995000,-9.223372036854775e+18
1737058000000,-9.223372036854775e+18
1737058005000,-9.223372036854775e+18
1737058010000,-9.223372036854775e+18
1737058015000,-9.223372036854775e+18
1737058020000,-9.223372036854775e+18
1737058025000,-9.223372036854775e+18
1737058030000,-9.223372036854775e+18
1737058035000,-9.223372036854775e+18
1737058040000,-9.223372036854775e+18
1737058045000,-9.223372036854775e+18
1737058050000,-9.223372036854775e+18
1737058055000,-9.223372036854775e+18
1737058060000,-9.223372036854775e+18
1737058065000,-9.223372036854775e+18
1737058070000,-9.223372036854775e+18
1737058075000,-9.223372036854775e+18
1737058080000,-9.223372036854775e+18
1737058085000,-9.223372036854775e+18
1737058090000,-9.223372036854775e+18
1737058095000,-9.223372036854775e+18
1737058100000,-9.223372036854775e+18
1737058105000,-9.223372036854775e+18
1737058110000,-9.223372036854775e+18
1737058115000,-9.223372036854775e+18
1737058120000,-9.223372036854775e+18
1737058125000,-9.223372036854775e+18
1737058130000,-9.223372036854775e+18
1737058135000,-9.223372036854775e+18
1737058140000,-9.223372036854775e+18
1737058145000,-9.223372036854775e+18
1737058150000,
1737058175000,-9.223372036854775e+18
1737058180000,-9.223372036854775e+18
1737058185000,-9.223372036854775e+18
1737058190000,-9.223372036854775e+18
1737058195000,-9.223372036854775e+18
1737058200000,-9.223372036854775e+18
1737058205000,-9.223372036854775e+18
1737058210000,-9.223372036854775e+18
1737058215000,-9.223372036854775e+18
1737058220000,-9.223372036854775e+18
1737058225000,-9.223372036854775e+18
1737058230000,-9.223372036854775e+18
1737058235000,-9.223372036854775e+18
1737058240000,-9.223372036854775e+18
1737058245000,-9.223372036854775e+18
