,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1736794955000,0.0
1736794960000,0.0
1736794965000,490.0
1736794970000,455.0
1736794975000,586.0
1736794980000,693.0
1736794985000,746.0
1736794990000,871.0
1736794995000,884.0
1736795000000,898.0
1736795005000,1000.0
1736795010000,1000.0
1736795015000,1000.0
1736795020000,1000.0
1736795025000,1000.0
1736795030000,1000.0
1736795035000,1000.0
1736795040000,1000.0
1736795045000,1000.0
1736795050000,1000.0
1736795055000,1000.0
1736795060000,1000.0
1736795065000,1000.0
1736795070000,1000.0
1736795075000,1000.0
1736795080000,1000.0
1736795085000,1000.0
1736795090000,1000.0
1736795095000,1000.0
1736795100000,1000.0
1736795105000,1000.0
1736795110000,1000.0
1736795115000,1000.0
1736795120000,1000.0
1736795125000,1000.0
1736795130000,1000.0
1736795135000,1000.0
1736795140000,1000.0
1736795145000,1000.0
1736795150000,1000.0
1736795155000,1000.0
1736795160000,1000.0
1736795165000,1000.0
1736795170000,1000.0
1736795175000,1000.0
1736795180000,1000.0
1736795185000,1000.0
1736795190000,1000.0
1736795195000,1000.0
1736795200000,1000.0
1736795205000,1000.0
1736795210000,
1736795240000,0.0
1736795245000,19.0
1736795250000,377.0
1736795255000,530.0
1736795260000,629.0
1736795265000,768.0
1736795270000,786.0
1736795275000,822.0
1736795280000,828.0
1736795285000,873.0
1736795290000,886.0
1736795295000,879.0
1736795300000,907.0
1736795305000,973.0
1736795310000,1000.0
1736795315000,1000.0
1736795320000,1000.0
1736795325000,1000.0
1736795330000,1000.0
1736795335000,1000.0
1736795340000,1000.0
1736795345000,1000.0
1736795350000,1000.0
1736795355000,1000.0
1736795360000,1000.0
1736795365000,1000.0
1736795370000,1000.0
1736795375000,1000.0
1736795380000,1000.0
1736795385000,1000.0
1736795390000,1000.0
1736795395000,1000.0
1736795400000,1000.0
1736795405000,1000.0
1736795410000,1000.0
1736795415000,1000.0
1736795420000,1000.0
1736795425000,1000.0
1736795430000,1000.0
1736795435000,1000.0
1736795440000,1000.0
1736795445000,1000.0
1736795450000,1000.0
1736795455000,1000.0
1736795460000,1000.0
1736795465000,1000.0
1736795470000,1000.0
1736795475000,1000.0
1736795480000,1000.0
1736795485000,1000.0
1736795490000,
1736795515000,0.0
1736795520000,248.0
1736795525000,351.0
1736795530000,383.0
1736795535000,483.0
1736795540000,629.0
1736795545000,589.0
1736795550000,574.0
1736795555000,579.0
1736795560000,620.0
1736795565000,673.0
1736795570000,719.0
1736795575000,721.0
1736795580000,797.0
1736795585000,816.0
1736795590000,839.0
1736795595000,831.0
1736795600000,794.0
1736795605000,818.0
1736795610000,863.0
1736795615000,872.0
1736795620000,832.0
1736795625000,773.0
1736795630000,722.0
1736795635000,715.0
1736795640000,677.0
1736795645000,684.0
1736795650000,692.0
1736795655000,705.0
1736795660000,728.0
1736795665000,759.0
1736795670000,748.0
1736795675000,773.0
1736795680000,854.0
1736795685000,881.0
1736795690000,876.0
1736795695000,868.0
1736795700000,871.0
1736795705000,861.0
1736795710000,846.0
1736795715000,837.0
1736795720000,803.0
1736795725000,765.0
1736795730000,744.0
1736795735000,720.0
1736795740000,685.0
1736795745000,736.0
1736795750000,749.0
1736795755000,742.0
1736795760000,724.0
1736795765000,
1736795790000,0.0
1736795795000,0.0
1736795800000,53.0
1736795805000,108.0
1736795810000,185.0
1736795815000,212.0
1736795820000,234.0
1736795825000,280.0
1736795830000,302.0
1736795835000,335.0
1736795840000,363.0
1736795845000,394.0
1736795850000,424.0
1736795855000,468.0
1736795860000,504.0
1736795865000,538.0
1736795870000,533.0
1736795875000,560.0
1736795880000,629.0
1736795885000,695.0
1736795890000,670.0
1736795895000,632.0
1736795900000,629.0
1736795905000,605.0
1736795910000,592.0
1736795915000,582.0
1736795920000,598.0
1736795925000,610.0
1736795930000,634.0
1736795935000,614.0
1736795940000,571.0
1736795945000,509.0
1736795950000,598.0
1736795955000,714.0
1736795960000,699.0
1736795965000,691.0
1736795970000,660.0
1736795975000,673.0
1736795980000,658.0
1736795985000,644.0
1736795990000,639.0
1736795995000,644.0
1736796000000,654.0
1736796005000,651.0
1736796010000,606.0
1736796015000,563.0
1736796020000,634.0
1736796025000,636.0
1736796030000,639.0
1736796035000,610.0
1736796040000,
1736796070000,0.0
1736796075000,0.0
1736796080000,0.0
1736796085000,0.0
1736796090000,65.0
1736796095000,95.0
1736796100000,76.0
1736796105000,63.0
1736796110000,62.0
1736796115000,114.0
1736796120000,157.0
1736796125000,165.0
1736796130000,168.0
1736796135000,179.0
1736796140000,197.0
1736796145000,219.0
1736796150000,220.0
1736796155000,230.0
1736796160000,284.0
1736796165000,292.0
1736796170000,289.0
1736796175000,251.0
1736796180000,209.0
1736796185000,210.0
1736796190000,215.0
1736796195000,214.0
1736796200000,215.0
1736796205000,216.0
1736796210000,217.0
1736796215000,208.0
1736796220000,171.0
1736796225000,216.0
1736796230000,218.0
1736796235000,229.0
1736796240000,235.0
1736796245000,215.0
1736796250000,210.0
1736796255000,209.0
1736796260000,213.0
1736796265000,209.0
1736796270000,207.0
1736796275000,203.0
1736796280000,215.0
1736796285000,180.0
1736796290000,198.0
1736796295000,226.0
1736796300000,225.0
1736796305000,235.0
1736796310000,218.0
1736796315000,198.0
1736796320000,
1736796345000,0.0
1736796350000,0.0
1736796355000,0.0
1736796360000,0.0
1736796365000,0.0
1736796370000,21.0
1736796375000,17.0
1736796380000,14.0
1736796385000,23.0
1736796390000,20.0
1736796395000,23.0
1736796400000,22.0
1736796405000,20.0
1736796410000,22.0
1736796415000,26.0
1736796420000,41.0
1736796425000,42.0
1736796430000,44.0
1736796435000,94.0
1736796440000,94.0
1736796445000,87.0
1736796450000,89.0
1736796455000,85.0
1736796460000,86.0
1736796465000,90.0
1736796470000,86.0
1736796475000,83.0
1736796480000,68.0
1736796485000,68.0
1736796490000,64.0
1736796495000,14.0
1736796500000,59.0
1736796505000,77.0
1736796510000,85.0
1736796515000,87.0
1736796520000,86.0
1736796525000,82.0
1736796530000,82.0
1736796535000,83.0
1736796540000,85.0
1736796545000,86.0
1736796550000,85.0
1736796555000,85.0
1736796560000,47.0
1736796565000,30.0
1736796570000,62.0
1736796575000,60.0
1736796580000,59.0
1736796585000,59.0
1736796590000,59.0
1736796595000,
1736796615000,0.0
1736796620000,0.0
1736796625000,16.0
1736796630000,8.0
1736796635000,5.0
1736796640000,4.0
1736796645000,6.0
1736796650000,14.0
1736796655000,22.0
1736796660000,23.0
1736796665000,20.0
1736796670000,18.0
1736796675000,19.0
1736796680000,18.0
1736796685000,16.0
1736796690000,17.0
1736796695000,20.0
1736796700000,41.0
1736796705000,40.0
1736796710000,35.0
1736796715000,29.0
1736796720000,27.0
1736796725000,27.0
1736796730000,27.0
1736796735000,24.0
1736796740000,24.0
1736796745000,24.0
1736796750000,24.0
1736796755000,21.0
1736796760000,1.0
1736796765000,3.0
1736796770000,15.0
1736796775000,16.0
1736796780000,16.0
1736796785000,17.0
1736796790000,17.0
1736796795000,17.0
1736796800000,17.0
1736796805000,18.0
1736796810000,18.0
1736796815000,18.0
1736796820000,17.0
1736796825000,15.0
1736796830000,3.0
1736796835000,3.0
1736796840000,26.0
1736796845000,28.0
1736796850000,29.0
1736796855000,30.0
1736796860000,30.0
1736796865000,
