,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736796945000,-9.223372036854776e+18
1736796950000,-9.223372036854776e+18
1736796955000,-9.223372036854776e+18
1736796960000,-9.223372036854776e+18
1736796965000,-9.223372036854776e+18
1736796970000,-9.223372036854776e+18
1736796975000,-9.223372036854776e+18
1736796980000,-9.223372036854776e+18
1736796985000,-9.223372036854776e+18
1736796990000,-9.223372036854775e+18
1736796995000,-9.223372036854775e+18
1736797000000,-9.223372036854775e+18
1736797005000,-9.223372036854775e+18
1736797010000,-9.223372036854776e+18
1736797015000,-9.223372036854775e+18
1736797020000,-9.223372036854775e+18
1736797025000,-9.223372036854775e+18
1736797030000,-9.223372036854776e+18
1736797035000,-9.223372036854775e+18
1736797040000,-9.223372036854775e+18
1736797045000,-9.223372036854775e+18
1736797050000,-9.223372036854775e+18
1736797055000,-9.223372036854775e+18
1736797060000,-9.223372036854775e+18
1736797065000,-9.223372036854775e+18
1736797070000,-9.223372036854775e+18
1736797075000,-9.223372036854775e+18
1736797080000,-9.223372036854775e+18
1736797085000,-9.223372036854775e+18
1736797090000,-9.223372036854775e+18
1736797095000,-9.223372036854775e+18
1736797100000,-9.223372036854775e+18
1736797105000,-9.223372036854775e+18
1736797110000,-9.223372036854775e+18
1736797115000,-9.223372036854775e+18
1736797120000,-9.223372036854775e+18
1736797125000,-9.223372036854775e+18
1736797130000,-9.223372036854775e+18
1736797135000,-9.223372036854775e+18
1736797140000,-9.223372036854775e+18
1736797145000,-9.223372036854775e+18
1736797150000,-9.223372036854775e+18
1736797155000,-9.223372036854775e+18
1736797160000,-9.223372036854775e+18
1736797165000,-9.223372036854775e+18
1736797170000,-9.223372036854775e+18
1736797175000,-9.223372036854775e+18
1736797180000,-9.223372036854775e+18
1736797185000,-9.223372036854775e+18
1736797190000,-9.223372036854775e+18
1736797195000,
1736797220000,-9.223372036854775e+18
1736797225000,-9.223372036854775e+18
1736797230000,-9.223372036854775e+18
1736797235000,-9.223372036854775e+18
1736797240000,-9.223372036854775e+18
1736797245000,-9.223372036854775e+18
1736797250000,-9.223372036854775e+18
1736797255000,-9.223372036854775e+18
1736797260000,-9.223372036854775e+18
1736797265000,-9.223372036854775e+18
1736797270000,-9.223372036854775e+18
1736797275000,-9.223372036854775e+18
1736797280000,-9.223372036854775e+18
