,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,
1737576870000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1737576875000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1737576880000,180.3,,,,,,,,,,,,,,,,,,,,,,,,,
1737576885000,543.4,,,,,,,,,,,,,,,,,,,,,,,,,
1737576890000,1299.5,,,,,,,,,,,,,,,,,,,,,,,,,
1737576895000,7265.15,,,,,,,,,,,,,,,,,,,,,,,,,
1737576900000,11989.33333333,,,,,,,,,,,,,,,,,,,,,,,,,
1737576905000,14629.31666666,,,,,,,,,,,,,,,,,,,,,,,,,
1737576910000,17231.71666666,,,,,,,,,,,,,,,,,,,,,,,,,
1737576915000,17953.1,,,,,,,,,,,,,,,,,,,,,,,,,
1737576920000,22414.316666659997,,,,,,,,,,,,,,,,,,,,,,,,,
1737576925000,22414.316666659997,,,,,,,,,,,,,,,,,,,,,,,,,
1737576930000,29942.1,,,,,,,,,,,,,,,,,,,,,,,,,
1737576935000,29942.1,,,,,,,,,,,,,,,,,,,,,,,,,
1737576940000,29761.8,,,,,,,,,,,,,,,,,,,,,,,,,
1737576945000,35760.45,,,,,,,,,,,,,,,,,,,,,,,,,
1737576950000,35004.35,,,,,,,,,,,,,,,,,,,,,,,,,
1737576955000,31050.566666659997,,,,,,,,,,,,,,,,,,,,,,,,,
1737576960000,31961.8,,,,,,,,,,,,,,,,,,,,,,,,,
1737576965000,29321.816666659997,,,,,,,,,,,,,,,,,,,,,,,,,
1737576970000,28596.5,,,,,,,,,,,,,,,,,,,,,,,,,
1737576975000,32285.9,,,,,,,,,,,,,,,,,,,,,,,,,
1737576980000,31837.25,,,,,,,,,,,,,,,,,,,,,,,,,
1737576985000,38002.66666666,,,,,,,,,,,,,,,,,,,,,,,,,
1737576990000,35710.05,,,,,,,,,,,,,,,,,,,,,,,,,
1737576995000,36007.55,,,,,,,,,,,,,,,,,,,,,,,,,
1737577000000,41773.28333333,,,,,,,,,,,,,,,,,,,,,,,,,
1737577005000,35411.53333333,,,,,,,,,,,,,,,,,,,,,,,,,
1737577010000,40724.06666666,,,,,,,,,,,,,,,,,,,,,,,,,
1737577015000,38712.2,,,,,,,,,,,,,,,,,,,,,,,,,
1737577020000,39227.76666666,,,,,,,,,,,,,,,,,,,,,,,,,
1737577025000,39517.716666659995,,,,,,,,,,,,,,,,,,,,,,,,,
1737577030000,38773.61666666,,,,,,,,,,,,,,,,,,,,,,,,,
1737577035000,38700.93333333,,,,,,,,,,,,,,,,,,,,,,,,,
1737577040000,34688.36666666,,,,,,,,,,,,,,,,,,,,,,,,,
1737577045000,30049.15,,,,,,,,,,,,,,,,,,,,,,,,,
1737577050000,31174.333333330003,,,,,,,,,,,,,,,,,,,,,,,,,
1737577055000,37482.25,,,,,,,,,,,,,,,,,,,,,,,,,
1737577060000,38158.01666666,,,,,,,,,,,,,,,,,,,,,,,,,
1737577065000,38158.01666666,,,,,,,,,,,,,,,,,,,,,,,,,
1737577070000,38868.0,,,,,,,,,,,,,,,,,,,,,,,,,
1737577075000,38868.0,,,,,,,,,,,,,,,,,,,,,,,,,
1737577080000,36601.5,,,,,,,,,,,,,,,,,,,,,,,,,
1737577085000,38144.85,,,,,,,,,,,,,,,,,,,,,,,,,
1737577090000,38222.216666659995,,,,,,,,,,,,,,,,,,,,,,,,,
1737577095000,38633.85,,,,,,,,,,,,,,,,,,,,,,,,,
1737577100000,38633.85,,,,,,,,,,,,,,,,,,,,,,,,,
1737577105000,43119.7,,,,,,,,,,,,,,,,,,,,,,,,,
1737577110000,36759.35,,,,,,,,,,,,,,,,,,,,,,,,,
1737577115000,31143.2,,,,,,,,,,,,,,,,,,,,,,,,,
1737577120000,,,,,,,,,,,,,,,,,,,,,,,,,,
1737577145000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1737577150000,6397.35,8089.15,,,,,,,,,,,,,,,,,,,,,,,,
1737577155000,10808.6,10991.46666666,,,,,,,,,,,,,,,,,,,,,,,,
1737577160000,13445.01666666,13379.48333333,,,,,,,,,,,,,,,,,,,,,,,,
1737577165000,16551.15,16513.56666666,,,,,,,,,,,,,,,,,,,,,,,,
1737577170000,19050.08333333,19014.58333333,,,,,,,,,,,,,,,,,,,,,,,,
1737577175000,21026.4,21073.28333333,,,,,,,,,,,,,,,,,,,,,,,,
1737577180000,21367.88333333,22216.85,,,,,,,,,,,,,,,,,,,,,,,,
1737577185000,27648.86666666,28678.71666666,,,,,,,,,,,,,,,,,,,,,,,,
1737577190000,32592.11666666,32441.55,,,,,,,,,,,,,,,,,,,,,,,,
1737577195000,35222.5,35571.8,,,,,,,,,,,,,,,,,,,,,,,,
1737577200000,36574.65,38500.03333333,,,,,,,,,,,,,,,,,,,,,,,,
1737577205000,38656.5,39758.08333333,,,,,,,,,,,,,,,,,,,,,,,,
1737577210000,34639.7,33015.13333333,,,,,,,,,,,,,,,,,,,,,,,,
1737577215000,33540.6,33182.2,,,,,,,,,,,,,,,,,,,,,,,,
1737577220000,33908.45,33764.93333333,,,,,,,,,,,,,,,,,,,,,,,,
