,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736777435000,1000.0,,
1736777440000,991.0,,
1736777445000,898.0,,
1736777450000,819.0,,
1736777455000,835.0,,
1736777460000,835.0,,
1736777465000,835.0,,
1736777470000,835.0,,
1736777475000,835.0,,
1736777480000,835.0,,
1736777485000,835.0,,
1736777490000,835.0,,
1736777495000,835.0,,
1736777500000,842.0,,
1736777505000,920.0,,
1736777510000,1000.0,,
1736777515000,1000.0,,
1736777520000,1000.0,,
1736777525000,1000.0,,
1736777530000,1000.0,,
1736777535000,1000.0,,
1736777540000,1000.0,,
1736777545000,1000.0,,
1736777550000,1000.0,,
1736777555000,1000.0,,
1736777560000,1000.0,,
1736777565000,1000.0,,
1736777570000,1000.0,,
1736777575000,1000.0,,
1736777580000,1000.0,,
1736777585000,1000.0,,
1736777590000,1000.0,,
1736777595000,1000.0,,
1736777600000,1000.0,,
1736777605000,1000.0,,
1736777610000,1000.0,,
1736777615000,1000.0,,
1736777620000,1000.0,,
1736777625000,1000.0,,
1736777630000,,,
1736777685000,1000.0,,
1736777690000,912.0,,
1736777695000,839.0,997.0,
1736777700000,846.0,997.0,
1736777705000,803.0,997.0,
1736777710000,810.0,996.0,
1736777715000,826.0,967.0,
1736777720000,826.0,966.0,
1736777725000,826.0,966.0,
1736777730000,806.0,966.0,
1736777735000,732.0,966.0,
1736777740000,732.0,966.0,
1736777745000,732.0,948.0,
1736777750000,783.0,934.0,
1736777755000,840.0,915.0,
1736777760000,847.0,870.0,
1736777765000,897.0,834.0,
1736777770000,907.0,816.0,
1736777775000,907.0,845.0,
1736777780000,907.0,817.0,
1736777785000,907.0,760.0,
1736777790000,927.0,709.0,
1736777795000,1000.0,663.0,
1736777800000,1000.0,608.0,
1736777805000,1000.0,615.0,
1736777810000,1000.0,629.0,
1736777815000,1000.0,650.0,
1736777820000,1000.0,651.0,
1736777825000,1000.0,687.0,
1736777830000,1000.0,706.0,
1736777835000,1000.0,680.0,
1736777840000,1000.0,656.0,
1736777845000,1000.0,678.0,
1736777850000,1000.0,688.0,
1736777855000,1000.0,725.0,
1736777860000,1000.0,775.0,
1736777865000,1000.0,745.0,
1736777870000,1000.0,709.0,
1736777875000,1000.0,710.0,
1736777880000,1000.0,753.0,
1736777885000,1000.0,753.0,
1736777890000,1000.0,721.0,
1736777895000,1000.0,719.0,
1736777900000,1000.0,746.0,
1736777905000,1000.0,774.0,
1736777910000,1000.0,,
1736777915000,,,
1736778000000,,,1000.0
1736778005000,,970.0,943.0
1736778010000,,887.0,863.0
1736778015000,1000.0,803.0,778.0
1736778020000,1000.0,719.0,694.0
1736778025000,939.0,635.0,610.0
1736778030000,860.0,559.0,526.0
1736778035000,816.0,487.0,452.0
1736778040000,816.0,410.0,380.0
1736778045000,816.0,333.0,303.0
1736778050000,816.0,262.0,226.0
1736778055000,814.0,196.0,157.0
1736778060000,814.0,138.0,95.0
1736778065000,814.0,141.0,86.0
1736778070000,814.0,221.0,165.0
1736778075000,814.0,221.0,193.0
1736778080000,814.0,236.0,198.0
1736778085000,876.0,317.0,229.0
1736778090000,955.0,339.0,305.0
1736778095000,999.0,350.0,297.0
1736778100000,998.0,377.0,324.0
1736778105000,998.0,412.0,356.0
1736778110000,998.0,412.0,387.0
1736778115000,1000.0,473.0,441.0
1736778120000,1000.0,488.0,445.0
1736778125000,1000.0,491.0,447.0
1736778130000,1000.0,467.0,414.0
1736778135000,1000.0,432.0,432.0
1736778140000,1000.0,513.0,496.0
1736778145000,1000.0,545.0,508.0
1736778150000,1000.0,543.0,517.0
1736778155000,1000.0,593.0,568.0
1736778160000,1000.0,622.0,580.0
1736778165000,1000.0,622.0,590.0
1736778170000,1000.0,616.0,586.0
1736778175000,1000.0,614.0,601.0
1736778180000,1000.0,631.0,613.0
1736778185000,1000.0,648.0,634.0
1736778190000,1000.0,649.0,625.0
1736778195000,,,
