,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736777390000,0.0,,
1736777395000,0.0,,
1736777400000,0.0,,
1736777405000,0.0,,
1736777410000,0.0,,
1736777415000,0.0,,
1736777420000,0.0,,
1736777425000,0.0,,
1736777430000,0.0,,
1736777435000,0.0,,
1736777440000,0.0,,
1736777445000,0.0,,
1736777450000,0.01666666666666,,
1736777455000,23.516666666666,,
1736777460000,81.5333333333,,
1736777465000,310.5,,
1736777470000,407.35,,
1736777475000,553.5,,
1736777480000,719.5666666666,,
1736777485000,964.3833333333,,
1736777490000,1355.3,,
1736777495000,1840.2833333332999,,
1736777500000,2412.9,,
1736777505000,2980.0333333333,,
1736777510000,3489.0833333299997,,
1736777515000,4290.9,,
1736777520000,5114.41666667,,
1736777525000,5057.71666667,,
1736777530000,4960.86666667,,
1736777535000,4814.71666667,,
1736777540000,5081.96666667,,
1736777545000,5348.06666667,,
1736777550000,4957.15,,
1736777555000,4472.16666667,,
1736777560000,3919.46666667,,
1736777565000,4136.91666667,,
1736777570000,4295.41666667,,
1736777575000,3871.76666667,,
1736777580000,3627.73333333,,
1736777585000,4428.45,,
1736777590000,4697.13333333,,
1736777595000,4697.13333333,,
1736777600000,4563.71666667,,
1736777605000,4769.66666667,,
1736777610000,5056.75,,
1736777615000,5056.75,,
1736777620000,5036.83333333,,
1736777625000,4516.85,,
1736777630000,,,
1736777655000,0.0,0.0,
1736777660000,0.0,0.0,
1736777665000,0.0,0.0,
1736777670000,0.0,0.0,
1736777675000,0.0,0.0,
1736777680000,0.0,0.0,
1736777685000,0.0,0.0,
1736777690000,0.0,0.0,
1736777695000,65.05,4.666666666666,
1736777700000,341.25,335.13333333329996,
1736777705000,508.85,786.7833333333,
1736777710000,1134.9833333333,1636.4833333333,
1736777715000,1718.3166666666,2274.3166666665998,
1736777720000,2294.1333333333,2294.2333333333,
1736777725000,2294.1333333333,2294.2333333333,
1736777730000,2633.1333333333,2294.2333333333,
1736777735000,2709.5,2829.85,
1736777740000,2881.9833333333004,2953.0,
1736777745000,3046.5166666666,3300.2,
1736777750000,3309.4166666666,3389.56666667,
1736777755000,3436.2,3861.4166666700003,
1736777760000,3560.18333333,3985.4,
1736777765000,3932.45,4072.28333333,
1736777770000,3854.78333333,3642.8,
