Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
10,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
15,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
20,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
25,0.0,,,1000.0,,,0.0,0.0,-1.0,-1.0,1
30,0.0,,,1000.0,,,0.0,0.0,-1.0,-1.0,1
35,0.0,,,948.0,,,0.0,0.0,-1.0,-1.0,1
40,0.0,,,862.0,,,0.0,0.0,22637.0,7063.0,1
45,10.55,,,850.0,,,7.0,5.0,51806.0,3193.0,1
50,230.85,,,862.0,,,133.0,140.0,51806.0,3193.0,1
55,230.85,,,862.0,,,133.0,140.0,437349.0,10304.0,1
60,392.3666666666,,,862.0,,,199.0,214.0,437349.0,10304.0,1
65,549.6166666666,,,862.0,,,300.0,323.0,1488884.0,11575.0,1
70,661.7333333333,,,862.0,,,366.0,393.0,1488884.0,11575.0,1
75,865.2,,,862.0,,,488.0,517.0,2526790.0,11504.0,1
80,1231.7,,,862.0,,,611.0,647.0,1593040.0,4175.0,1
85,1842.4666666666,,,862.0,,,674.0,713.0,2748985.0,4773.0,1
90,2371.8833333333,,,862.0,,,733.0,774.0,2748985.0,4773.0,1
95,2371.8833333333,,,902.0,,,816.0,858.0,2748985.0,4773.0,1
100,2695.1666666666,,,977.0,,,983.0,1000.0,4697473.0,11677.0,1
105,3338.26666667,,,1000.0,,,1000.0,1000.0,4143726.0,2786.0,1
110,4068.65,,,1000.0,,,1000.0,1000.0,5361168.0,3602.0,1
115,4638.38333333,,,1000.0,,,1000.0,1000.0,7079856.0,5217.0,1
120,5291.15,,,1000.0,,,1000.0,1000.0,9201782.0,6316.0,1
125,5652.23333333,,,1000.0,,,991.0,1000.0,10033512.0,5689.0,1
130,5824.46666667,,,1000.0,,,1000.0,1000.0,10033512.0,5689.0,1
135,5621.0,,,1000.0,,,965.0,969.0,10033512.0,5689.0,1
140,5254.5,,,1000.0,,,924.0,923.0,10033512.0,5689.0,1
145,4643.73333333,,,1000.0,,,946.0,940.0,10033512.0,5689.0,1
150,4114.31666667,,,1000.0,,,970.0,962.0,10033512.0,5689.0,1
155,4114.31666667,,,1000.0,,,970.0,962.0,16656798.0,30215.0,1
160,4443.28333333,,,1000.0,,,1000.0,1000.0,16656798.0,30215.0,1
165,4130.76666667,,,1000.0,,,1000.0,1000.0,17639798.0,8397.0,1
170,3874.15,,,1000.0,,,1000.0,1000.0,3658340.0,2533.0,1
175,4145.18333333,,,1000.0,,,1000.0,1000.0,4833722.0,2796.0,1
180,4083.81666667,,,1000.0,,,1000.0,1000.0,6372664.0,3696.0,1
185,4328.15,,,1000.0,,,1000.0,1000.0,7934513.0,3784.0,1
190,5105.75,,,1000.0,,,1000.0,1000.0,9979992.0,4048.0,1
195,5114.45,,,1000.0,,,1000.0,1000.0,9979992.0,4048.0,1
200,5114.45,,,1000.0,,,1000.0,1000.0,9979992.0,4048.0,1
205,5114.45,,,1000.0,,,1000.0,1000.0,9979992.0,4048.0,1
210,5114.45,,,1000.0,,,1000.0,1000.0,9979992.0,4048.0,1
215,5114.45,,,1000.0,,,1000.0,1000.0,9979992.0,4048.0,1
220,4493.31666667,,,1000.0,,,1000.0,1000.0,9979992.0,4048.0,1
225,,,,,,,,,,,0
255,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
260,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
265,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
270,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
275,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
280,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
285,0.0,0.0,,,1000.0,,0.0,0.0,-1.0,-1.0,2
290,0.0,0.0,,,1000.0,,0.0,0.0,-1.0,-1.0,2
295,0.0,0.0,,,937.0,,0.0,0.0,-1.0,-1.0,2
300,0.0,0.0,,1000.0,820.0,,0.0,0.0,-1.0,-1.0,2
305,0.0,0.0,,1000.0,726.0,,0.0,0.0,-1.0,-1.0,2
310,0.0,0.0,,944.0,651.0,,0.0,0.0,-1.0,-1.0,2
315,0.0,0.0,,872.0,590.0,,0.0,0.0,42510.0,1120.0,2
320,13.183333333333,6.866666666666,,857.0,547.0,,6.0,6.0,104273.0,1936.0,2
325,112.0166666666,63.2333333333,,857.0,472.0,,48.0,29.0,104273.0,1936.0,2
330,214.0666666666,174.2666666666,,857.0,400.0,,112.0,60.0,104273.0,1936.0,2
335,345.95,302.3,,857.0,323.0,,161.0,93.0,664354.0,11443.0,2
340,429.43333333329997,368.7166666666,,857.0,267.0,,243.0,184.0,2266151.0,8315.0,2
345,477.5,510.35,,857.0,213.0,,324.0,266.0,2266151.0,8315.0,2
350,632.1833333333,611.4166666665999,,857.0,138.0,,458.0,380.0,2993634.0,9062.0,2
355,923.0,838.1333333333,,857.0,109.0,,513.0,444.0,1920747.0,3113.0,2
360,1097.1833333333,1088.2833333332999,,857.0,133.0,,589.0,504.0,2868866.0,3618.0,2
365,1287.85,1182.6333333333,,857.0,173.0,,703.0,598.0,5160185.0,8329.0,2
370,1675.35,1597.3666666666,,909.0,213.0,,763.0,645.0,6755217.0,4295.0,2
375,2142.5,1960.25,,985.0,243.0,,824.0,680.0,4309471.0,3635.0,2
380,2570.1833333333,2413.8166666665998,,1000.0,265.0,,879.0,716.0,7654506.0,3896.0,2
385,3004.55,2914.3,,1000.0,294.0,,893.0,723.0,7654506.0,3896.0,2
390,3211.7333333333004,3200.5833333333003,,1000.0,323.0,,885.0,748.0,10196193.0,6610.0,2
395,3079.85,3105.1166666666,,1000.0,390.0,,920.0,798.0,10196193.0,6610.0,2
400,3251.7,3182.4333333333,,1000.0,411.0,,1000.0,875.0,12916905.0,12552.0,2
405,3549.31666667,3471.5833333299997,,1000.0,428.0,,979.0,844.0,14932566.0,3555.0,2
410,3394.63333333,3370.51666667,,1000.0,503.0,,929.0,814.0,14932566.0,3555.0,2
415,3112.4833333333004,3277.0,,1000.0,565.0,,957.0,941.0,14932566.0,3555.0,2
420,3339.3333333299997,3169.65,,1000.0,560.0,,1000.0,925.0,20802502.0,15103.0,2
