,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1736780215000,0.0
1736780220000,0.0
1736780225000,0.0
1736780230000,0.0
1736780235000,0.0
1736780240000,0.0
1736780245000,0.0
1736780250000,0.0
1736780255000,0.0
1736780260000,0.0
1736780265000,3.0
1736780270000,57.0
1736780275000,133.0
1736780280000,261.0
1736780285000,334.0
1736780290000,389.0
1736780295000,468.0
1736780300000,583.0
1736780305000,643.0
1736780310000,708.0
1736780315000,782.0
1736780320000,848.0
1736780325000,902.0
1736780330000,931.0
1736780335000,938.0
1736780340000,1000.0
1736780345000,1000.0
1736780350000,1000.0
1736780355000,1000.0
1736780360000,1000.0
1736780365000,1000.0
1736780370000,1000.0
1736780375000,1000.0
1736780380000,1000.0
1736780385000,1000.0
1736780390000,1000.0
1736780395000,1000.0
1736780400000,1000.0
1736780405000,1000.0
1736780410000,1000.0
1736780415000,1000.0
1736780420000,1000.0
1736780425000,843.0
1736780430000,869.0
1736780435000,888.0
1736780440000,890.0
1736780445000,1000.0
1736780450000,1000.0
1736780455000,1000.0
1736780460000,
1736780490000,0.0
1736780495000,0.0
1736780500000,0.0
1736780505000,0.0
1736780510000,0.0
1736780515000,0.0
1736780520000,0.0
1736780525000,0.0
1736780530000,0.0
1736780535000,0.0
1736780540000,0.0
1736780545000,0.0
1736780550000,22.0
1736780555000,22.0
1736780560000,61.0
1736780565000,92.0
1736780570000,138.0
1736780575000,222.0
1736780580000,404.0
1736780585000,460.0
1736780590000,521.0
1736780595000,572.0
1736780600000,636.0
1736780605000,735.0
1736780610000,798.0
1736780615000,836.0
1736780620000,863.0
1736780625000,889.0
1736780630000,898.0
1736780635000,898.0
1736780640000,799.0
1736780645000,827.0
1736780650000,1000.0
1736780655000,1000.0
1736780660000,1000.0
1736780665000,1000.0
1736780670000,1000.0
1736780675000,1000.0
1736780680000,1000.0
1736780685000,1000.0
1736780690000,1000.0
1736780695000,1000.0
1736780700000,1000.0
1736780705000,1000.0
1736780710000,839.0
1736780715000,867.0
1736780720000,897.0
1736780725000,1000.0
1736780730000,1000.0
1736780735000,1000.0
1736780740000,1000.0
1736780745000,1000.0
1736780750000,
1736780780000,0.0
1736780785000,0.0
1736780790000,0.0
1736780795000,0.0
1736780800000,0.0
1736780805000,0.0
1736780810000,0.0
1736780815000,0.0
1736780820000,0.0
1736780825000,0.0
1736780830000,0.0
1736780835000,5.0
1736780840000,43.0
1736780845000,125.0
1736780850000,213.0
1736780855000,284.0
1736780860000,319.0
1736780865000,354.0
1736780870000,445.0
1736780875000,527.0
1736780880000,671.0
1736780885000,715.0
1736780890000,777.0
1736780895000,812.0
1736780900000,801.0
1736780905000,803.0
1736780910000,863.0
1736780915000,863.0
1736780920000,911.0
1736780925000,1000.0
1736780930000,1000.0
1736780935000,1000.0
1736780940000,949.0
1736780945000,953.0
1736780950000,975.0
1736780955000,964.0
1736780960000,972.0
1736780965000,921.0
1736780970000,832.0
1736780975000,890.0
1736780980000,866.0
1736780985000,722.0
1736780990000,825.0
1736780995000,810.0
1736781000000,826.0
1736781005000,813.0
1736781010000,797.0
1736781015000,869.0
1736781020000,853.0
1736781025000,
