,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1736807160000,0.0
1736807165000,0.0
1736807170000,372.0
1736807175000,662.0
1736807180000,749.0
1736807185000,777.0
1736807190000,808.0
1736807195000,819.0
1736807200000,870.0
1736807205000,866.0
1736807210000,879.0
1736807215000,977.0
1736807220000,959.0
1736807225000,962.0
1736807230000,1000.0
1736807235000,1000.0
1736807240000,1000.0
1736807245000,1000.0
1736807250000,1000.0
1736807255000,1000.0
1736807260000,1000.0
1736807265000,1000.0
1736807270000,1000.0
1736807275000,1000.0
1736807280000,1000.0
1736807285000,1000.0
1736807290000,1000.0
1736807295000,1000.0
1736807300000,1000.0
1736807305000,1000.0
1736807310000,1000.0
1736807315000,1000.0
1736807320000,1000.0
1736807325000,1000.0
1736807330000,1000.0
1736807335000,1000.0
1736807340000,1000.0
1736807345000,1000.0
1736807350000,1000.0
1736807355000,1000.0
1736807360000,1000.0
1736807365000,1000.0
1736807370000,1000.0
1736807375000,1000.0
1736807380000,1000.0
1736807385000,1000.0
1736807390000,1000.0
1736807395000,1000.0
1736807400000,1000.0
1736807405000,1000.0
1736807410000,1000.0
1736807415000,
1736807440000,0.0
1736807445000,179.0
1736807450000,485.0
1736807455000,633.0
1736807460000,849.0
1736807465000,943.0
1736807470000,929.0
1736807475000,906.0
1736807480000,906.0
1736807485000,981.0
1736807490000,1000.0
1736807495000,990.0
1736807500000,1000.0
1736807505000,1000.0
1736807510000,1000.0
1736807515000,1000.0
1736807520000,1000.0
1736807525000,1000.0
1736807530000,1000.0
1736807535000,1000.0
1736807540000,1000.0
1736807545000,1000.0
1736807550000,1000.0
1736807555000,1000.0
1736807560000,1000.0
1736807565000,1000.0
1736807570000,1000.0
1736807575000,1000.0
1736807580000,1000.0
1736807585000,1000.0
1736807590000,1000.0
1736807595000,1000.0
1736807600000,1000.0
1736807605000,1000.0
1736807610000,1000.0
1736807615000,1000.0
1736807620000,1000.0
1736807625000,1000.0
1736807630000,1000.0
1736807635000,1000.0
1736807640000,1000.0
1736807645000,1000.0
1736807650000,1000.0
1736807655000,1000.0
1736807660000,1000.0
1736807665000,1000.0
1736807670000,1000.0
1736807675000,1000.0
1736807680000,1000.0
1736807685000,1000.0
1736807690000,
1736807715000,0.0
1736807720000,0.0
1736807725000,0.0
1736807730000,167.0
1736807735000,324.0
1736807740000,582.0
1736807745000,642.0
1736807750000,670.0
1736807755000,679.0
1736807760000,686.0
1736807765000,761.0
1736807770000,817.0
1736807775000,865.0
1736807780000,895.0
1736807785000,1000.0
1736807790000,1000.0
1736807795000,1000.0
1736807800000,1000.0
1736807805000,1000.0
1736807810000,1000.0
1736807815000,1000.0
1736807820000,1000.0
1736807825000,1000.0
1736807830000,1000.0
1736807835000,1000.0
1736807840000,1000.0
1736807845000,1000.0
1736807850000,971.0
1736807855000,932.0
1736807860000,891.0
1736807865000,859.0
1736807870000,814.0
1736807875000,828.0
1736807880000,820.0
1736807885000,861.0
1736807890000,851.0
1736807895000,893.0
1736807900000,917.0
1736807905000,927.0
1736807910000,944.0
1736807915000,958.0
1736807920000,966.0
1736807925000,972.0
1736807930000,991.0
1736807935000,952.0
1736807940000,958.0
1736807945000,914.0
1736807950000,915.0
1736807955000,877.0
1736807960000,844.0
1736807965000,
1736807990000,0.0
1736807995000,0.0
1736808000000,44.0
1736808005000,227.0
1736808010000,356.0
1736808015000,484.0
1736808020000,498.0
1736808025000,523.0
1736808030000,538.0
1736808035000,557.0
1736808040000,566.0
1736808045000,564.0
1736808050000,574.0
1736808055000,647.0
1736808060000,720.0
1736808065000,753.0
1736808070000,751.0
1736808075000,719.0
1736808080000,735.0
1736808085000,766.0
1736808090000,807.0
1736808095000,798.0
1736808100000,817.0
1736808105000,851.0
1736808110000,882.0
1736808115000,856.0
1736808120000,834.0
1736808125000,817.0
1736808130000,842.0
1736808135000,880.0
1736808140000,872.0
1736808145000,839.0
1736808150000,796.0
1736808155000,826.0
1736808160000,844.0
1736808165000,812.0
1736808170000,791.0
1736808175000,817.0
1736808180000,839.0
1736808185000,867.0
1736808190000,876.0
1736808195000,871.0
1736808200000,869.0
1736808205000,863.0
1736808210000,863.0
1736808215000,855.0
1736808220000,843.0
1736808225000,894.0
1736808230000,879.0
1736808235000,860.0
1736808240000,
1736808265000,0.0
1736808270000,253.0
1736808275000,366.0
1736808280000,497.0
1736808285000,596.0
1736808290000,605.0
1736808295000,579.0
1736808300000,593.0
1736808305000,626.0
1736808310000,622.0
1736808315000,642.0
1736808320000,668.0
1736808325000,679.0
1736808330000,707.0
1736808335000,710.0
1736808340000,712.0
1736808345000,713.0
1736808350000,701.0
1736808355000,716.0
1736808360000,751.0
1736808365000,780.0
1736808370000,768.0
1736808375000,752.0
1736808380000,744.0
1736808385000,749.0
1736808390000,765.0
1736808395000,776.0
1736808400000,761.0
1736808405000,749.0
1736808410000,782.0
1736808415000,769.0
1736808420000,745.0
1736808425000,715.0
1736808430000,776.0
1736808435000,830.0
1736808440000,804.0
1736808445000,769.0
1736808450000,764.0
1736808455000,782.0
1736808460000,778.0
1736808465000,770.0
1736808470000,770.0
1736808475000,814.0
1736808480000,797.0
1736808485000,793.0
1736808490000,775.0
1736808495000,709.0
1736808500000,729.0
1736808505000,789.0
1736808510000,757.0
1736808515000,
1736808540000,0.0
1736808545000,0.0
