Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,1000.0,,,,,,,,0.0,0.0,-1.0,2715.0,1
5,0.0,,,,,,,,1000.0,,,,,,,,0.0,0.0,1401715.0,1705.0,1
10,1283.75,,,,,,,,826.0,,,,,,,,322.0,415.0,3654150.0,835.0,1
15,4011.75,,,,,,,,913.0,,,,,,,,375.0,423.0,8807941.0,1603.0,1
20,8488.23333333,,,,,,,,942.0,,,,,,,,529.0,558.0,13373630.0,884.0,1
25,11364.71666666,,,,,,,,957.0,,,,,,,,612.0,644.0,17239294.0,1644.0,1
30,16855.21666666,,,,,,,,965.0,,,,,,,,764.0,790.0,28598214.0,1644.0,1
35,18945.08333333,,,,,,,,971.0,,,,,,,,772.0,801.0,28598214.0,9806.0,1
40,18945.08333333,,,,,,,,975.0,,,,,,,,805.0,829.0,34959211.0,994.0,1
45,20797.35,,,,,,,,978.0,,,,,,,,1000.0,1000.0,15488235.0,994.0,1
50,26147.41666666,,,,,,,,981.0,,,,,,,,986.0,1000.0,15488235.0,994.0,1
55,26147.41666666,,,,,,,,983.0,,,,,,,,988.0,1000.0,15488235.0,919.0,1
60,26147.41666666,,,,,,,,984.0,,,,,,,,989.0,1000.0,10084233.0,1604.0,1
65,28701.583333330003,,,,,,,,986.0,,,,,,,,1000.0,1000.0,18945988.0,1604.0,1
70,31784.266666659998,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,18945988.0,1604.0,1
75,29056.266666659998,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,18945988.0,1143.0,1
80,24579.78333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,26254676.0,1202.0,1
85,25521.633333330003,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,17950500.0,1202.0,1
90,22974.83333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,17950500.0,1202.0,1
95,20884.96666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,17950500.0,1042.0,1
100,20884.96666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,25486084.0,6439.0,1
105,20209.5,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,33039179.0,648.0,1
110,16389.566666659997,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,6535074.0,749.0,1
115,22091.71666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,8044148.0,749.0,1
120,24856.266666659998,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,8044148.0,749.0,1
