,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,1,2,3,4,5,6,7,0,0,0,0,0,1,2,3,4,5,6,7,0,0,0,0,0,1,2,3,4,5,6,7,0,0,0
Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736809415000,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,29647000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809420000,9.0,19.0,,,,,,,,1.0,0.0,0.0,9.0,1.0,,,,,,,,0.0,9.0,9.0,904.0,901.0,,,,,,,,476.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809425000,9.0,10.0,,,,,,,,1.0,0.0,0.0,9.0,1.0,,,,,,,,0.0,9.0,1.0,0.0,1001.0,,,,,,,,1.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809430000,9.0,20.0,,,,,,,,0.0,0.0,0.0,10.0,0.0,,,,,,,,0.0,9.0,9.0,190.0,167.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809435000,9.0,19.0,,,,,,,,1.0,0.0,0.0,9.0,1.0,,,,,,,,0.0,9.0,9.0,119781000.0,134.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809440000,3.0,19.0,,,,,,,,0.0,0.0,0.0,9.0,0.0,,,,,,,,0.0,3.0,4.0,18.0,223.0,,,,,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809445000,9.0,19.0,,,,,,,,1.0,0.0,0.0,9.0,1.0,,,,,,,,0.0,9.0,9.0,146340000.0,201.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809450000,9.0,19.0,,,,,,,,1.0,0.0,0.0,9.0,1.0,,,,,,,,0.0,9.0,9.0,11952000.0,201.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809455000,9.0,19.0,,,,,,,,0.0,0.0,0.0,9.0,0.0,,,,,,,,0.0,9.0,9.0,7.0,502.0,,,,,,,,11633.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809460000,9.0,18.0,,,,,,,,0.0,0.0,0.0,9.0,0.0,,,,,,,,0.0,9.0,1.0,5.0,134.0,,,,,,,,1959.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809465000,9.0,19.0,,,,,,,,1.0,0.0,0.0,9.0,1.0,,,,,,,,0.0,9.0,9.0,6606000.0,126.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809470000,9.0,19.0,,,,,,,,1.0,0.0,0.0,9.0,1.0,,,,,,,,0.0,9.0,9.0,2304000.0,126.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809475000,9.0,18.0,,,,,,,,0.0,0.0,0.0,9.0,0.0,,,,,,,,0.0,9.0,9.0,5.0,351.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809480000,4.0,15.0,,,,,,,,0.0,0.0,0.0,10.0,0.0,,,,,,,,0.0,4.0,1.0,14.0,202.0,,,,,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809485000,9.0,19.0,,,,,,,,1.0,0.0,0.0,9.0,1.0,,,,,,,,0.0,9.0,9.0,4932000.0,287.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809490000,9.0,19.0,,,,,,,,1.0,0.0,0.0,9.0,1.0,,,,,,,,0.0,9.0,9.0,2304000.0,287.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736809495000,0.0,2.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,258.0,,,,,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
