,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1736811665000,1000.0,,,,,,,
1736811670000,1000.0,,,,,,,
1736811675000,804.0,,,,,,,
1736811680000,825.0,,,,,,,
1736811685000,883.0,,,,,,,
1736811690000,913.0,,,,,,,
1736811695000,930.0,,,,,,,
1736811700000,942.0,,,,,,,
1736811705000,950.0,,,,,,,
1736811710000,957.0,,,,,,,
1736811715000,961.0,,,,,,,
1736811720000,965.0,,,,,,,
1736811725000,969.0,,,,,,,
1736811730000,971.0,,,,,,,
1736811735000,988.0,,,,,,,
1736811740000,1000.0,,,,,,,
1736811745000,1000.0,,,,,,,
1736811750000,1000.0,,,,,,,
1736811755000,1000.0,,,,,,,
1736811760000,1000.0,,,,,,,
1736811765000,1000.0,,,,,,,
1736811770000,1000.0,,,,,,,
1736811775000,1000.0,,,,,,,
1736811780000,1000.0,,,,,,,
1736811785000,1000.0,,,,,,,
1736811790000,1000.0,,,,,,,
1736811795000,1000.0,,,,,,,
1736811800000,1000.0,,,,,,,
1736811805000,1000.0,,,,,,,
1736811810000,1000.0,,,,,,,
1736811815000,1000.0,,,,,,,
1736811820000,1000.0,,,,,,,
1736811825000,1000.0,,,,,,,
1736811830000,1000.0,,,,,,,
1736811835000,1000.0,,,,,,,
1736811840000,1000.0,,,,,,,
1736811845000,1000.0,,,,,,,
1736811850000,1000.0,,,,,,,
1736811855000,1000.0,,,,,,,
1736811860000,1000.0,,,,,,,
