,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736813935000,-9.223372036854776e+18
1736813940000,-9.223372036854776e+18
1736813945000,-9.223372036854776e+18
1736813950000,-9.223372036854776e+18
1736813955000,-9.223372036854776e+18
1736813960000,-9.223372036854776e+18
1736813965000,-9.223372036854776e+18
1736813970000,-9.223372036854776e+18
1736813975000,-9.223372036854776e+18
1736813980000,-9.223372036854776e+18
1736813985000,-9.223372036854776e+18
1736813990000,-9.223372036854776e+18
1736813995000,-9.223372036854776e+18
1736814000000,-9.223372036854776e+18
1736814005000,-9.223372036854776e+18
1736814010000,-9.223372036854776e+18
1736814015000,-9.223372036854775e+18
1736814020000,-9.223372036854775e+18
1736814025000,-9.223372036854775e+18
1736814030000,-9.223372036854775e+18
1736814035000,-9.223372036854775e+18
1736814040000,-9.223372036854775e+18
1736814045000,-9.223372036854775e+18
1736814050000,-9.223372036854775e+18
1736814055000,-9.223372036854775e+18
1736814060000,-9.223372036854775e+18
1736814065000,-9.223372036854775e+18
1736814070000,-9.223372036854775e+18
1736814075000,-9.223372036854775e+18
1736814080000,-9.223372036854775e+18
1736814085000,-9.223372036854775e+18
1736814090000,-9.223372036854775e+18
1736814095000,-9.223372036854775e+18
1736814100000,-9.223372036854775e+18
1736814105000,-9.223372036854775e+18
1736814110000,-9.223372036854775e+18
1736814115000,-9.223372036854775e+18
1736814120000,-9.223372036854775e+18
1736814125000,-9.223372036854775e+18
1736814130000,-9.223372036854775e+18
1736814135000,-9.223372036854775e+18
1736814140000,-9.223372036854775e+18
1736814145000,-9.223372036854775e+18
1736814150000,-9.223372036854775e+18
1736814155000,-9.223372036854775e+18
1736814160000,-9.223372036854775e+18
1736814165000,-9.223372036854775e+18
1736814170000,-9.223372036854775e+18
1736814175000,-9.223372036854775e+18
1736814180000,-9.223372036854775e+18
1736814185000,
1736814210000,-9.223372036854775e+18
1736814215000,-9.223372036854775e+18
1736814220000,-9.223372036854775e+18
1736814225000,-9.223372036854775e+18
1736814230000,-9.223372036854775e+18
1736814235000,-9.223372036854775e+18
1736814240000,-9.223372036854775e+18
1736814245000,-9.223372036854775e+18
1736814250000,-9.223372036854775e+18
1736814255000,-9.223372036854775e+18
1736814260000,-9.223372036854775e+18
1736814265000,-9.223372036854775e+18
1736814270000,-9.223372036854775e+18
