,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737801720000,1000.0,,,
1737801725000,491.0,,,
1737801730000,425.0,,,
1737801735000,580.0,,,
1737801740000,685.0,,,
1737801745000,748.0,,,
1737801750000,790.0,,,
1737801755000,820.0,,,
1737801760000,843.0,,,
1737801765000,860.0,,,
1737801770000,874.0,,,
1737801775000,886.0,,,
1737801780000,895.0,,,
1737801785000,938.0,,,
1737801790000,991.0,,,
1737801795000,1000.0,,,
1737801800000,1000.0,,,
1737801805000,1000.0,,,
1737801810000,1000.0,,,
1737801815000,1000.0,,,
1737801820000,1000.0,,,
1737801825000,1000.0,,,
1737801830000,1000.0,,,
1737801835000,1000.0,,,
1737801840000,1000.0,,,
1737801845000,1000.0,,,
1737801850000,1000.0,,,
1737801855000,999.0,,,
1737801860000,999.0,,,
1737801865000,999.0,,,
1737801870000,999.0,,,
1737801875000,999.0,,,
1737801880000,999.0,,,
1737801885000,999.0,,,
1737801890000,999.0,,,
1737801895000,999.0,,,
1737801900000,999.0,,,
1737801905000,999.0,,,
1737801910000,999.0,,,
1737801915000,1000.0,,,
1737801920000,1000.0,,,
1737801925000,1000.0,,,
1737801930000,1000.0,,,
1737801935000,1000.0,,,
1737801940000,1000.0,,,
1737801945000,1000.0,,,
1737801950000,1000.0,,,
1737801955000,1000.0,,,
1737801960000,1000.0,,,
1737801965000,1000.0,,,
1737801970000,,,,
1737801990000,,1000.0,,
1737801995000,1000.0,1000.0,,
1737802000000,849.0,871.0,,
1737802005000,925.0,928.0,,
1737802010000,950.0,946.0,,
1737802015000,951.0,959.0,,
1737802020000,957.0,964.0,,
1737802025000,964.0,970.0,,
1737802030000,969.0,967.0,,
1737802035000,973.0,963.0,,
1737802040000,976.0,965.0,,
1737802045000,978.0,958.0,,
1737802050000,980.0,962.0,,
1737802055000,981.0,965.0,,
1737802060000,994.0,969.0,,
1737802065000,994.0,969.0,,
1737802070000,994.0,964.0,,
1737802075000,998.0,957.0,,
1737802080000,999.0,957.0,,
1737802085000,997.0,955.0,,
1737802090000,997.0,958.0,,
1737802095000,996.0,963.0,,
1737802100000,996.0,965.0,,
1737802105000,996.0,971.0,,
1737802110000,996.0,971.0,,
1737802115000,995.0,967.0,,
1737802120000,995.0,971.0,,
1737802125000,995.0,969.0,,
1737802130000,995.0,976.0,,
1737802135000,995.0,977.0,,
1737802140000,995.0,977.0,,
1737802145000,997.0,976.0,,
1737802150000,997.0,977.0,,
1737802155000,994.0,977.0,,
1737802160000,994.0,977.0,,
1737802165000,994.0,979.0,,
1737802170000,993.0,979.0,,
1737802175000,994.0,982.0,,
1737802180000,994.0,983.0,,
1737802185000,993.0,983.0,,
1737802190000,993.0,982.0,,
1737802195000,993.0,987.0,,
1737802200000,991.0,988.0,,
1737802205000,991.0,986.0,,
1737802210000,991.0,986.0,,
1737802215000,990.0,985.0,,
1737802220000,988.0,982.0,,
1737802225000,989.0,979.0,,
1737802230000,988.0,978.0,,
1737802235000,987.0,979.0,,
1737802240000,987.0,980.0,,
1737802245000,,,,
1737802265000,,1000.0,,
1737802270000,1000.0,1000.0,1000.0,
1737802275000,769.0,437.0,698.0,
1737802280000,838.0,689.0,849.0,
1737802285000,890.0,774.0,884.0,
1737802290000,908.0,821.0,904.0,
1737802295000,926.0,849.0,908.0,
1737802300000,929.0,869.0,915.0,
1737802305000,938.0,883.0,919.0,
1737802310000,945.0,892.0,915.0,
1737802315000,945.0,897.0,920.0,
1737802320000,945.0,907.0,914.0,
1737802325000,940.0,915.0,915.0,
1737802330000,944.0,921.0,918.0,
