,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1737801720000,0.0
1737801725000,0.0
1737801730000,0.0
1737801735000,224.0
1737801740000,383.0
1737801745000,498.0
1737801750000,719.0
1737801755000,759.0
1737801760000,945.0
1737801765000,951.0
1737801770000,1000.0
1737801775000,1000.0
1737801780000,1000.0
1737801785000,1000.0
1737801790000,1000.0
1737801795000,1000.0
1737801800000,1000.0
1737801805000,1000.0
1737801810000,1000.0
1737801815000,1000.0
1737801820000,1000.0
1737801825000,1000.0
1737801830000,1000.0
1737801835000,1000.0
1737801840000,1000.0
1737801845000,1000.0
1737801850000,1000.0
1737801855000,1000.0
1737801860000,1000.0
1737801865000,1000.0
1737801870000,1000.0
1737801875000,1000.0
1737801880000,1000.0
1737801885000,1000.0
1737801890000,1000.0
1737801895000,1000.0
1737801900000,1000.0
1737801905000,1000.0
1737801910000,1000.0
1737801915000,1000.0
1737801920000,1000.0
1737801925000,1000.0
1737801930000,1000.0
1737801935000,1000.0
1737801940000,1000.0
1737801945000,1000.0
1737801950000,1000.0
1737801955000,1000.0
1737801960000,1000.0
1737801965000,1000.0
1737801970000,
1737801995000,0.0
1737802000000,606.0
1737802005000,817.0
1737802010000,1000.0
1737802015000,1000.0
1737802020000,1000.0
1737802025000,1000.0
1737802030000,1000.0
1737802035000,985.0
1737802040000,990.0
1737802045000,990.0
1737802050000,984.0
1737802055000,1000.0
1737802060000,1000.0
1737802065000,1000.0
1737802070000,1000.0
1737802075000,1000.0
1737802080000,1000.0
1737802085000,1000.0
1737802090000,1000.0
1737802095000,1000.0
1737802100000,1000.0
1737802105000,1000.0
1737802110000,1000.0
1737802115000,1000.0
1737802120000,1000.0
1737802125000,1000.0
1737802130000,1000.0
1737802135000,1000.0
1737802140000,1000.0
1737802145000,1000.0
1737802150000,1000.0
1737802155000,1000.0
1737802160000,1000.0
1737802165000,1000.0
1737802170000,1000.0
1737802175000,1000.0
1737802180000,1000.0
1737802185000,1000.0
1737802190000,1000.0
1737802195000,1000.0
1737802200000,1000.0
1737802205000,1000.0
1737802210000,1000.0
1737802215000,1000.0
1737802220000,1000.0
1737802225000,1000.0
1737802230000,1000.0
1737802235000,1000.0
1737802240000,1000.0
1737802245000,
1737802270000,0.0
1737802275000,295.0
1737802280000,546.0
1737802285000,695.0
1737802290000,809.0
1737802295000,906.0
1737802300000,891.0
1737802305000,909.0
1737802310000,933.0
1737802315000,919.0
1737802320000,961.0
1737802325000,947.0
1737802330000,953.0
1737802335000,1000.0
1737802340000,1000.0
1737802345000,1000.0
1737802350000,1000.0
1737802355000,1000.0
1737802360000,1000.0
1737802365000,1000.0
1737802370000,1000.0
1737802375000,1000.0
1737802380000,959.0
1737802385000,972.0
1737802390000,949.0
1737802395000,934.0
1737802400000,976.0
1737802405000,968.0
1737802410000,962.0
1737802415000,960.0
1737802420000,956.0
1737802425000,962.0
1737802430000,963.0
1737802435000,957.0
1737802440000,980.0
1737802445000,1000.0
1737802450000,1000.0
1737802455000,988.0
1737802460000,973.0
1737802465000,1000.0
1737802470000,994.0
1737802475000,967.0
1737802480000,1000.0
1737802485000,981.0
1737802490000,964.0
1737802495000,999.0
1737802500000,975.0
1737802505000,951.0
1737802510000,987.0
1737802515000,1000.0
1737802520000,
1737802540000,0.0
1737802545000,0.0
1737802550000,577.0
1737802555000,717.0
1737802560000,808.0
1737802565000,821.0
1737802570000,880.0
1737802575000,904.0
1737802580000,884.0
1737802585000,904.0
1737802590000,897.0
1737802595000,885.0
1737802600000,878.0
1737802605000,893.0
1737802610000,920.0
1737802615000,939.0
1737802620000,936.0
1737802625000,928.0
1737802630000,917.0
1737802635000,902.0
1737802640000,934.0
1737802645000,921.0
1737802650000,945.0
1737802655000,964.0
1737802660000,950.0
1737802665000,926.0
1737802670000,925.0
1737802675000,932.0
1737802680000,933.0
1737802685000,933.0
1737802690000,932.0
1737802695000,924.0
1737802700000,908.0
1737802705000,899.0
1737802710000,886.0
1737802715000,872.0
1737802720000,908.0
1737802725000,916.0
1737802730000,934.0
1737802735000,905.0
1737802740000,900.0
1737802745000,932.0
1737802750000,937.0
1737802755000,936.0
1737802760000,936.0
1737802765000,944.0
1737802770000,953.0
1737802775000,960.0
1737802780000,930.0
1737802785000,943.0
1737802790000,
