Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,1000.0,,,,0.0,0.0,-1.0,-1.0,1
5,1816.7166666666,,,,694.0,,,,86.0,26.0,1235919.0,1287.0,1
10,2762.9666666666,,,,515.0,,,,82.0,13.0,12744938.0,731.0,1
15,8139.13333333,,,,668.0,,,,340.0,148.0,11753878.0,1671.0,1
20,13183.05,,,,751.0,,,,597.0,461.0,7825188.0,1470.0,1
25,16991.93333333,,,,801.0,,,,665.0,574.0,14704257.0,4025.0,1
30,22364.38333333,,,,834.0,,,,821.0,753.0,17036829.0,489.0,1
35,22364.38333333,,,,858.0,,,,846.0,789.0,17036829.0,489.0,1
40,28834.3,,,,876.0,,,,1000.0,964.0,10879580.0,602.0,1
45,29508.05,,,,890.0,,,,1000.0,966.0,10879580.0,602.0,1
50,30269.15,,,,901.0,,,,1000.0,1000.0,9132562.0,574.0,1
55,35763.0,,,,909.0,,,,1000.0,1000.0,9132562.0,574.0,1
60,35763.0,,,,917.0,,,,1000.0,1000.0,9132562.0,574.0,1
65,35603.66666666,,,,942.0,,,,1000.0,1000.0,22541392.0,648.0,1
70,38850.43333333,,,,997.0,,,,1000.0,1000.0,14302573.0,660.0,1
75,33474.26666666,,,,1000.0,,,,1000.0,1000.0,14302573.0,660.0,1
80,32933.55,,,,998.0,,,,1000.0,1000.0,24396260.0,671.0,1
85,30676.41666666,,,,998.0,,,,1000.0,1000.0,24396260.0,671.0,1
90,25303.96666666,,,,998.0,,,,1000.0,1000.0,24396260.0,671.0,1
95,29279.183333330002,,,,998.0,,,,1000.0,1000.0,17958669.0,350.0,1
100,22809.266666659998,,,,998.0,,,,1000.0,1000.0,3108964.0,273.0,1
105,28057.6,,,,998.0,,,,1000.0,1000.0,9927563.0,1748.0,1
110,34128.58333333,,,,998.0,,,,1000.0,1000.0,32916311.0,1196.0,1
115,34571.466666659995,,,,999.0,,,,1000.0,1000.0,28106994.0,922.0,1
120,37673.68333333,,,,999.0,,,,1000.0,1000.0,36918440.0,2970.0,1
125,41388.9,,,,999.0,,,,1000.0,1000.0,46636428.0,1150.0,1
130,37195.88333333,,,,999.0,,,,1000.0,1000.0,46636428.0,1150.0,1
135,39100.26666666,,,,999.0,,,,1000.0,1000.0,22277323.0,552.0,1
140,38915.35,,,,1000.0,,,,1000.0,1000.0,22277323.0,552.0,1
145,37363.6,,,,1000.0,,,,1000.0,1000.0,22277323.0,552.0,1
150,42997.43333333,,,,1000.0,,,,1000.0,1000.0,29616143.0,661.0,1
155,39022.216666659995,,,,1000.0,,,,1000.0,1000.0,29616143.0,661.0,1
160,40832.08333333,,,,1000.0,,,,1000.0,1000.0,35428829.0,1034.0,1
165,38766.15,,,,1000.0,,,,1000.0,1000.0,35428829.0,1034.0,1
170,31934.066666659997,,,,1000.0,,,,1000.0,1000.0,35428829.0,1034.0,1
175,27346.65,,,,1000.0,,,,1000.0,1000.0,26938749.0,9621.0,1
180,24408.15,,,,1000.0,,,,1000.0,1000.0,43524446.0,1979.0,1
185,23181.1,,,,1000.0,,,,1000.0,1000.0,12023181.0,393.0,1
190,29470.566666659997,,,,999.0,,,,1000.0,1000.0,25101952.0,1010.0,1
195,34588.55,,,,999.0,,,,1000.0,1000.0,27169053.0,980.0,1
200,33399.85,,,,999.0,,,,1000.0,1000.0,35335489.0,3329.0,1
205,39594.216666659995,,,,999.0,,,,1000.0,1000.0,42238947.0,973.0,1
210,33960.38333333,,,,999.0,,,,1000.0,1000.0,42238947.0,973.0,1
215,35202.41666666,,,,999.0,,,,1000.0,1000.0,25920368.0,562.0,1
220,37938.51666666,,,,999.0,,,,1000.0,1000.0,25920368.0,562.0,1
225,34082.36666666,,,,999.0,,,,1000.0,1000.0,25920368.0,562.0,1
230,40040.18333333,,,,999.0,,,,1000.0,1000.0,29442053.0,706.0,1
235,38936.56666666,,,,1000.0,,,,1000.0,1000.0,29442053.0,706.0,1
240,39063.26666666,,,,1000.0,,,,1000.0,1000.0,33164436.0,785.0,1
245,36767.51666666,,,,1000.0,,,,1000.0,1000.0,33164436.0,785.0,1
250,30478.05,,,,1000.0,,,,,,33164436.0,785.0,1
255,,,,,,,,,,,,,0
275,0.0,0.0,,,1000.0,1000.0,,,0.0,0.0,-1.0,-1.0,2
280,0.0,0.0,,,1000.0,1000.0,,,0.0,0.0,-1.0,-1.0,2
285,5630.98333333,4858.85,,,784.0,78.0,,,552.0,522.0,10635195.0,1912.0,2
290,11126.95,11074.23333333,,,892.0,520.0,,,676.0,646.0,28354376.0,1121.0,2
295,13949.5,13889.61666666,,,928.0,657.0,,,855.0,829.0,46453865.0,1902.0,2
300,17099.65,17006.78333333,,,942.0,715.0,,,986.0,962.0,32765487.0,696.0,2
305,17535.13333333,17448.61666666,,,954.0,772.0,,,1000.0,1000.0,31786756.0,2400.0,2
310,19933.38333333,18201.11666666,,,957.0,810.0,,,1000.0,1000.0,54206843.0,768.0,2
315,26216.63333333,23888.26666666,,,957.0,817.0,,,987.0,967.0,25497823.0,775.0,2
320,29137.3,29020.71666666,,,962.0,832.0,,,974.0,956.0,25497823.0,775.0,2
325,31624.06666666,31502.68333333,,,966.0,841.0,,,1000.0,1000.0,50498885.0,798.0,2
330,34275.2,34149.85,,,965.0,856.0,,,1000.0,1000.0,58438631.0,2741.0,2
335,37208.43333333,34964.16666666,,,967.0,863.0,,,1000.0,1000.0,26719521.0,380.0,2
340,38718.28333333,37078.3,,,969.0,872.0,,,1000.0,1000.0,36265475.0,2450.0,2
345,34918.93333333,35540.51666666,,,987.0,945.0,,,1000.0,1000.0,48921250.0,4607.0,2
350,31936.83333333,31751.21666666,,,985.0,940.0,,,1000.0,1000.0,28275454.0,607.0,2
355,31878.88333333,31775.95,,,985.0,940.0,,,1000.0,1000.0,26595461.0,2573.0,2
360,31718.43333333,30898.63333333,,,987.0,940.0,,,1000.0,1000.0,40807187.0,702.0,2
365,34404.0,31563.58333333,,,987.0,938.0,,,1000.0,1000.0,24107988.0,2552.0,2
370,33074.95,33507.18333333,,,989.0,936.0,,,1000.0,1000.0,40269938.0,559.0,2
