,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737805190000,0.0,,,
1737805195000,1403.8666666666,,,
1737805200000,3352.88333333,,,
1737805205000,13690.95,,,
1737805210000,13690.95,,,
1737805215000,17740.33333333,,,
1737805220000,20996.71666666,,,
1737805225000,25875.4,,,
1737805230000,27804.333333330003,,,
1737805235000,32970.83333333,,,
1737805240000,34114.03333333,,,
1737805245000,40073.18333333,,,
1737805250000,40073.18333333,,,
1737805255000,44339.88333333,,,
1737805260000,43789.466666659995,,,
1737805265000,33451.4,,,
1737805270000,39194.233333330005,,,
1737805275000,35144.85,,,
1737805280000,39212.08333333,,,
1737805285000,34333.4,,,
1737805290000,32767.65,,,
1737805295000,29693.5,,,
1737805300000,34843.95,,,
1737805305000,37044.983333330005,,,
1737805310000,41660.26666666,,,
1737805315000,41879.33333333,,,
1737805320000,47797.5,,,
1737805325000,50213.4,,,
1737805330000,46879.483333330005,,,
1737805335000,50042.16666666001,,,
1737805340000,43053.466666659995,,,
1737805345000,48806.866666660004,,,
1737805350000,48443.68333333,,,
1737805355000,47719.1,,,
1737805360000,41425.45,,,
1737805365000,34031.233333330005,,,
1737805370000,33569.43333333,,,
1737805375000,33727.01666666,,,
1737805380000,33608.3,,,
1737805385000,38311.45,,,
1737805390000,40043.68333333,,,
1737805395000,41305.41666666,,,
1737805400000,47051.866666660004,,,
1737805405000,41298.466666659995,,,
1737805410000,43098.716666659995,,,
1737805415000,45594.91666666,,,
1737805420000,45594.91666666,,,
1737805425000,46278.31666666,,,
1737805430000,42124.83333333,,,
1737805435000,37336.0,,,
1737805440000,,,,
1737805460000,0.0,0.0,,
1737805465000,0.0,8334.95,,
1737805470000,5644.85,13841.3,,
1737805475000,11603.85,16751.983333329998,,
1737805480000,16797.36666666,19989.65,,
1737805485000,20084.766666659998,22781.85,,
1737805490000,22643.2,23268.98333333,,
1737805495000,23252.883333330003,23544.53333333,,
1737805500000,23384.066666659997,30128.583333330003,,
1737805505000,27446.083333330003,35693.8,,
1737805510000,32861.11666666,41044.38333333,,
1737805515000,38763.0,42481.05,,
1737805520000,41921.95,44324.03333333,,
1737805525000,44549.216666659995,38939.466666659995,,
1737805530000,41895.9,36376.08333333,,
1737805535000,38739.13333333,36809.18333333,,
1737805540000,36995.13333333,36205.88333333,,
1737805545000,33979.716666659995,34958.61666666,,
1737805550000,33759.78333333,35728.36666666,,
1737805555000,36007.66666666,38866.466666659995,,
1737805560000,39313.61666666,32790.4,,
1737805565000,35752.733333330005,30254.23333333,,
1737805570000,31435.8,30677.91666666,,
1737805575000,30965.28333333,35711.65,,
1737805580000,33954.4,36243.85,,
1737805585000,36423.26666666,36701.483333330005,,
1737805590000,36818.03333333,36516.95,,
1737805595000,36094.75,36592.53333333,,
1737805600000,33613.06666666,34588.85,,
1737805605000,36511.75,34775.53333333,,
1737805610000,36506.75,36638.63333333,,
1737805615000,36714.13333333,36021.983333330005,,
1737805620000,36130.55,38188.33333333,,
1737805625000,37382.41666666,37680.35,,
1737805630000,37601.78333333,31906.083333330003,,
1737805635000,34329.93333333,28970.15,,
1737805640000,29908.16666666,33943.88333333,,
1737805645000,30870.95,36067.01666666,,
1737805650000,33649.93333333,36192.36666666,,
1737805655000,35275.68333333,35392.08333333,,
1737805660000,36058.91666666,36124.76666666,,
1737805665000,35625.18333333,36237.25,,
1737805670000,36428.25,36512.88333333,,
1737805675000,36751.31666666,36221.05,,
1737805680000,35824.58333333,36469.76666666,,
1737805685000,35104.483333330005,35397.01666666,,
1737805690000,36274.466666659995,36673.6,,
