,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,1,2,3,0,0,0,0,0,1,2,3,0,0,0,0,0,1,2,3,0,0,0
Timestamp,,,,,,,,,,,,,,,,,,,,,,,,
1737805190000,0.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,3.0,131.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805195000,1.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,862.0,14716000.0,,,,1.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805200000,9.0,9.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,7.0,0.0,41.0,1985000.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805205000,9.0,19.0,,,,0.0,0.0,0.0,10.0,0.0,,,,0.0,9.0,10.0,36009000.0,1469000.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805210000,9.0,20.0,,,,1.0,0.0,0.0,10.0,1.0,,,,0.0,9.0,9.0,18099000.0,54.0,,,,25.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805215000,9.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,9.0,9.0,6768000.0,61.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805220000,9.0,19.0,,,,1.0,0.0,0.0,10.0,1.0,,,,0.0,9.0,9.0,4455000.0,91.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805225000,9.0,19.0,,,,1.0,0.0,0.0,10.0,1.0,,,,0.0,9.0,9.0,2304000.0,91.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805230000,9.0,19.0,,,,1.0,0.0,0.0,10.0,1.0,,,,0.0,9.0,9.0,2988000.0,83.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805235000,9.0,19.0,,,,2.0,0.0,0.0,10.0,2.0,,,,0.0,9.0,9.0,2304000.0,83.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805240000,9.0,19.0,,,,1.0,0.0,0.0,10.0,1.0,,,,0.0,9.0,9.0,3996000.0,69.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805245000,9.0,19.0,,,,1.0,0.0,0.0,10.0,2.0,,,,0.0,9.0,9.0,2304000.0,69.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805250000,9.0,20.0,,,,0.0,0.0,0.0,10.0,0.0,,,,0.0,9.0,9.0,1.0,143.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805255000,9.0,19.0,,,,1.0,0.0,0.0,10.0,1.0,,,,0.0,9.0,9.0,2304000.0,95.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805260000,9.0,19.0,,,,1.0,0.0,0.0,10.0,1.0,,,,0.0,9.0,9.0,2304000.0,95.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805265000,9.0,19.0,,,,1.0,0.0,0.0,10.0,1.0,,,,0.0,9.0,10.0,6561000.0,83.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805270000,9.0,19.0,,,,1.0,0.0,0.0,10.0,2.0,,,,0.0,9.0,10.0,2304000.0,83.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805275000,3.0,19.0,,,,0.0,0.0,0.0,10.0,0.0,,,,0.0,1.0,9.0,1.0,87.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805280000,9.0,19.0,,,,1.0,0.0,0.0,10.0,1.0,,,,0.0,9.0,9.0,2304000.0,91.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805285000,9.0,19.0,,,,1.0,0.0,0.0,10.0,2.0,,,,0.0,9.0,9.0,2304000.0,91.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805290000,9.0,20.0,,,,0.0,0.0,0.0,10.0,0.0,,,,0.0,9.0,9.0,2560000.0,3324.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805295000,9.0,19.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,9.0,9.0,3258000.0,95.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805300000,9.0,19.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,9.0,9.0,4185000.0,96.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805305000,9.0,19.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,9.0,9.0,4032000.0,1070.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805310000,9.0,20.0,,,,0.0,0.0,0.0,10.0,0.0,,,,0.0,9.0,9.0,3.0,2301.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805315000,9.0,20.0,,,,0.0,0.0,0.0,10.0,0.0,,,,0.0,9.0,9.0,5508000.0,1645.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805320000,9.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,9.0,9.0,4023000.0,100.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805325000,9.0,19.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,9.0,9.0,3.0,613.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805330000,9.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,9.0,9.0,4284000.0,105.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805335000,9.0,19.0,,,,1.0,0.0,0.0,9.0,2.0,,,,0.0,9.0,9.0,2304000.0,105.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805340000,9.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,9.0,9.0,7.0,78.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805345000,9.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,9.0,9.0,2304000.0,78.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805350000,9.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,9.0,9.0,2979000.0,201.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805355000,9.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,9.0,9.0,2304000.0,201.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805360000,9.0,18.0,,,,0.0,0.0,0.0,10.0,0.0,,,,0.0,9.0,1.0,2.0,474.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805365000,9.0,19.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,9.0,9.0,7326000.0,193.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805370000,9.0,19.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,9.0,9.0,4806000.0,78.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805375000,9.0,21.0,,,,0.0,0.0,0.0,10.0,0.0,,,,0.0,9.0,9.0,5607000.0,82.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805380000,9.0,19.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,9.0,9.0,4482000.0,384.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805385000,9.0,19.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,9.0,9.0,4788000.0,77.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805390000,9.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,9.0,9.0,4617000.0,91.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805395000,9.0,18.0,,,,0.0,0.0,0.0,9.0,0.0,,,,0.0,9.0,9.0,0.0,125.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805400000,9.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,9.0,9.0,2304000.0,95.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805405000,9.0,20.0,,,,0.0,0.0,0.0,10.0,0.0,,,,0.0,9.0,9.0,2304000.0,4271.0,,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805410000,10.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,10.0,9.0,5330000.0,75.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805415000,10.0,19.0,,,,1.0,0.0,0.0,9.0,1.0,,,,0.0,10.0,9.0,2560000.0,75.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737805420000,10.0,19.0,,,,1.0,0.0,0.0,9.0,2.0,,,,0.0,10.0,10.0,2560000.0,143.0,,,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
