,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Timestamp,,,,,,,,,,,,,,,,,,
1736793090000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793095000,3.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,1.0,449.0,1560.0,,9902.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793100000,1.0,2.0,,1.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,73.0,29647000.0,,1.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793105000,9.0,20.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,325.0,358.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793110000,8.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,56.0,111.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793115000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,65682000.0,111.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793120000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,21.0,300.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793125000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,24192000.0,111.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793130000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,111.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793135000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,15.0,264.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793140000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,11898000.0,182.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793145000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,182.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793150000,9.0,20.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,9785.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793155000,9.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,6.0,111.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793160000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2898000.0,112.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793165000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,112.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793170000,9.0,21.0,,0.0,0.0,0.0,11.0,0.0,,0.0,9.0,9.0,1.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793175000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,19314000.0,333.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793180000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,333.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793185000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,1.0,46893.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793190000,9.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,2.0,199.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793195000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,1.0,5994.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793200000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,3546000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793205000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793210000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,3.0,221.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793215000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,3636000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793220000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793225000,9.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,14.0,700.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793230000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,6498000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793235000,9.0,19.0,,1.0,0.0,0.0,9.0,2.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793240000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,5.0,201.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793245000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2439000.0,101.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
