Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,1000.0,,0.0,0.0,-1.0,-1.0,1
10,1521.1833333332997,,860.0,,393.0,459.0,4007429.0,3309.0,1
15,2726.6833333332997,,930.0,,621.0,493.0,6533818.0,1691.0,1
20,6145.266666670001,,954.0,,756.0,722.0,14693174.0,1291.0,1
25,11042.91666666,,965.0,,785.0,765.0,14693174.0,1291.0,1
30,11945.91666666,,972.0,,880.0,872.0,15749293.0,869.0,1
35,17408.33333333,,977.0,,882.0,874.0,26409929.0,1491.0,1
40,17408.33333333,,980.0,,899.0,892.0,26409929.0,1491.0,1
45,18811.65,,983.0,,1000.0,1000.0,9705489.0,626.0,1
50,24289.133333330003,,985.0,,1000.0,1000.0,9705489.0,626.0,1
55,24289.133333330003,,986.0,,1000.0,1000.0,9705489.0,626.0,1
60,24355.083333330003,,988.0,,1000.0,1000.0,20922692.0,1180.0,1
65,29098.933333330002,,989.0,,1000.0,1000.0,15220557.0,890.0,1
70,30229.316666659997,,1000.0,,1000.0,1000.0,15220557.0,890.0,1
75,29023.816666659997,,1000.0,,1000.0,1000.0,15220557.0,890.0,1
80,26314.35,,1000.0,,1000.0,1000.0,12321889.0,815.0,1
85,27797.25,,1000.0,,1000.0,1000.0,12321889.0,815.0,1
90,26894.25,,1000.0,,1000.0,1000.0,12321889.0,815.0,1
95,21431.83333333,,1000.0,,1000.0,1000.0,15760135.0,12892.0,1
100,22617.93333333,,1000.0,,1000.0,1000.0,17042082.0,888.0,1
105,23735.73333333,,1000.0,,1000.0,1000.0,14149393.0,766.0,1
110,21197.55,,1000.0,,1000.0,1000.0,14149393.0,766.0,1
115,21197.55,,1000.0,,1000.0,1000.0,12470188.0,607.0,1
120,27082.566666659997,,1000.0,,1000.0,1000.0,14688632.0,953.0,1
125,22338.71666666,,1000.0,,1000.0,1000.0,14688632.0,953.0,1
130,21772.35,,1000.0,,1000.0,1000.0,13122270.0,708.0,1
135,25768.383333330003,,1000.0,,1000.0,1000.0,13122270.0,708.0,1
140,25059.266666659998,,1000.0,,1000.0,1000.0,12154123.0,9590.0,1
145,23881.6,,1000.0,,1000.0,1000.0,11531772.0,889.0,1
150,24119.16666666,,1000.0,,1000.0,1000.0,11531772.0,889.0,1
155,24750.5,,1000.0,,1000.0,1000.0,9229996.0,790.0,1
160,29100.86666666,,1000.0,,1000.0,1000.0,9229996.0,790.0,1
165,26579.75,,1000.0,,1000.0,1000.0,9229996.0,790.0,1
170,25559.566666659997,,1000.0,,1000.0,1000.0,2741766.0,454.0,1
175,31819.266666659998,,1000.0,,1000.0,1000.0,14782009.0,1090.0,1
180,25868.3,,1000.0,,1000.0,1000.0,23555227.0,1254.0,1
185,31899.15,,1000.0,,1000.0,1000.0,23555227.0,1254.0,1
190,29813.95,,1000.0,,1000.0,1000.0,23555227.0,1254.0,1
195,27736.316666659997,,1000.0,,1000.0,1000.0,19733764.0,781.0,1
200,31763.816666659997,,1000.0,,1000.0,1000.0,25696127.0,1291.0,1
205,26560.933333330002,,1000.0,,1000.0,1000.0,25696127.0,1291.0,1
210,30138.0,,1000.0,,1000.0,1000.0,20670209.0,848.0,1
215,31686.15,,1000.0,,1000.0,1000.0,20670209.0,848.0,1
220,26149.683333330002,,1000.0,,1000.0,1000.0,7801050.0,691.0,1
225,31836.61666666,,1000.0,,1000.0,1000.0,9452600.0,515.0,1
230,29917.5,,1000.0,,1000.0,1000.0,9452600.0,515.0,1
235,24902.766666659998,,1000.0,,1000.0,1000.0,18153059.0,9512.0,1
240,27062.73333333,,1000.0,,1000.0,1000.0,10846073.0,2041.0,1
245,28086.75,,1000.0,,1000.0,1000.0,18178347.0,1600.0,1
250,28376.9,,1000.0,,1000.0,1000.0,18178347.0,1600.0,1
255,,,,,,,,,0
275,0.0,,,,0.0,0.0,,,1
280,0.0,0.0,1000.0,1000.0,0.0,0.0,,,2
285,1368.2166666666,299.8666666666,737.0,209.0,407.0,488.0,-1.0,-1.0,2
290,3125.5166666665996,2574.3833333333,869.0,283.0,667.0,692.0,5717339.0,1741.0,2
295,5638.1,5484.4,913.0,341.0,711.0,749.0,25467856.0,1296.0,2
300,6652.46666667,5843.3,935.0,506.0,895.0,928.0,31544194.0,3772.0,2
305,6962.883333329999,6620.2,948.0,539.0,925.0,950.0,14877904.0,4552.0,2
310,11445.66666666,9242.6,957.0,565.0,894.0,916.0,31005393.0,1458.0,2
315,15482.81666666,12864.533333329999,963.0,597.0,863.0,892.0,42991936.0,1613.0,2
320,15482.81666666,15404.91666666,968.0,631.0,880.0,906.0,42991936.0,1613.0,2
325,17189.68333333,15404.91666666,971.0,672.0,1000.0,1000.0,21092980.0,8333.0,2
330,18356.11666666,18330.58333333,974.0,696.0,989.0,1000.0,27848493.0,739.0,2
335,18356.11666666,18330.58333333,977.0,724.0,990.0,1000.0,27848493.0,739.0,2
340,21137.5,19489.45,979.0,730.0,1000.0,1000.0,15790737.0,660.0,2
345,19769.28333333,20744.983333329998,1000.0,781.0,1000.0,1000.0,15790737.0,660.0,2
350,19873.4,18470.46666666,1000.0,834.0,1000.0,1000.0,27386269.0,996.0,2
355,18344.93333333,18397.95,1000.0,867.0,1000.0,1000.0,19498482.0,1181.0,2
360,17844.55,18039.05,1000.0,867.0,1000.0,1000.0,19498482.0,1181.0,2
365,19942.28333333,19577.316666659997,1000.0,886.0,1000.0,1000.0,28038333.0,807.0,2
370,15459.5,17545.21666666,1000.0,908.0,1000.0,1000.0,28038333.0,807.0,2
375,11924.08333333,14360.55,994.0,925.0,1000.0,1000.0,20850330.0,8314.0,2
380,15903.25,12993.216666659999,994.0,929.0,1000.0,1000.0,36475632.0,1157.0,2
385,18536.55,17695.5,994.0,905.0,1000.0,1000.0,14826572.0,576.0,2
390,18573.983333329998,18433.38333333,994.0,899.0,1000.0,1000.0,31789181.0,1307.0,2
395,21235.5,19549.733333329998,992.0,899.0,1000.0,1000.0,47317630.0,1118.0,2
400,18454.11666666,19930.733333329998,992.0,914.0,1000.0,1000.0,47317630.0,1118.0,2
405,21270.05,18375.33333333,992.0,929.0,1000.0,1000.0,31660774.0,818.0,2
410,19408.63333333,21189.63333333,992.0,915.0,1000.0,1000.0,31660774.0,818.0,2
415,19437.25,18352.13333333,992.0,928.0,1000.0,1000.0,31660774.0,818.0,2
420,20934.45,21351.03333333,992.0,902.0,1000.0,1000.0,19388358.0,663.0,2
425,18526.3,19035.86666666,992.0,911.0,1000.0,1000.0,19388358.0,663.0,2
430,21581.05,19586.08333333,992.0,906.0,1000.0,1000.0,18295267.0,746.0,2
435,21079.316666659997,21063.63333333,998.0,891.0,1000.0,1000.0,18295267.0,746.0,2
440,17694.36666666,19890.58333333,998.0,898.0,1000.0,1000.0,26406203.0,6693.0,2
445,14280.48333333,15800.31666666,998.0,920.0,1000.0,1000.0,35818865.0,4880.0,2
450,18689.766666659998,15497.766666659998,998.0,922.0,1000.0,1000.0,19458724.0,1707.0,2
455,20258.233333329998,18957.63333333,1000.0,910.0,1000.0,1000.0,31583382.0,907.0,2
460,22874.03333333,20426.9,1000.0,906.0,1000.0,1000.0,43735947.0,2006.0,2
465,20058.1,22761.71666666,1000.0,901.0,1000.0,1000.0,43735947.0,2006.0,2
470,22412.71666666,19947.41666666,1000.0,915.0,1000.0,1000.0,30059173.0,669.0,2
475,22161.36666666,22992.58333333,1000.0,909.0,1000.0,1000.0,33346761.0,668.0,2
480,20788.63333333,19993.68333333,1000.0,935.0,1000.0,1000.0,33346761.0,668.0,2
485,22722.85,22299.91666666,1000.0,912.0,1000.0,1000.0,22346058.0,745.0,2
490,19668.1,21536.66666666,1000.0,919.0,1000.0,1000.0,22346058.0,745.0,2
495,22875.36666666,20924.516666659998,1000.0,932.0,1000.0,1000.0,31119096.0,943.0,2
500,22281.15,22748.71666666,1000.0,920.0,1000.0,1000.0,31119096.0,943.0,2
505,23638.78333333,22380.88333333,1000.0,916.0,1000.0,1000.0,37712764.0,823.0,2
510,18025.63333333,21048.28333333,1000.0,917.0,1000.0,1000.0,37712764.0,823.0,2
515,13795.65,16472.066666659997,1000.0,929.0,1000.0,1000.0,37712764.0,823.0,2
520,14222.55,14520.15,1000.0,930.0,1000.0,1000.0,41988136.0,917.0,2
525,,,,,,,50365399.0,1069.0,0
530,,,,,,,,,0
