,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737806410000,1000.0
1737806415000,606.0
1737806420000,440.0
1737806425000,585.0
1737806430000,689.0
1737806435000,751.0
1737806440000,793.0
1737806445000,823.0
1737806450000,845.0
1737806455000,862.0
1737806460000,876.0
1737806465000,887.0
1737806470000,897.0
1737806475000,930.0
1737806480000,990.0
1737806485000,1000.0
1737806490000,1000.0
1737806495000,1000.0
1737806500000,1000.0
1737806505000,1000.0
1737806510000,1000.0
1737806515000,1000.0
1737806520000,1000.0
1737806525000,1000.0
1737806530000,1000.0
1737806535000,1000.0
1737806540000,1000.0
1737806545000,1000.0
1737806550000,1000.0
1737806555000,1000.0
1737806560000,1000.0
1737806565000,1000.0
1737806570000,1000.0
1737806575000,1000.0
1737806580000,1000.0
1737806585000,1000.0
1737806590000,1000.0
1737806595000,1000.0
1737806600000,1000.0
1737806605000,1000.0
1737806610000,1000.0
1737806615000,1000.0
1737806620000,1000.0
1737806625000,1000.0
1737806630000,1000.0
1737806635000,1000.0
1737806640000,1000.0
1737806645000,1000.0
1737806650000,
