,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737807370000,0.0
1737807375000,1454.6833333333
1737807380000,2165.05
1737807385000,6830.68333333
1737807390000,10426.21666666
1737807395000,16558.85
1737807400000,16558.85
1737807405000,22397.25
1737807410000,23101.38333333
1737807415000,24825.7
1737807420000,30539.4
1737807425000,30539.4
1737807430000,32242.6
1737807435000,35281.55
1737807440000,34571.18333333
1737807445000,34240.08333333
1737807450000,33084.8
1737807455000,26952.16666666
1737807460000,30613.93333333
1737807465000,27589.56666666
1737807470000,26885.43333333
1737807475000,26378.9
1737807480000,24665.38333333
1737807485000,31360.76666666
1737807490000,34694.5
1737807495000,31391.18333333
1737807500000,35949.63333333
1737807505000,31615.1
1737807510000,34973.08333333
1737807515000,34973.08333333
1737807520000,33569.55
1737807525000,34130.53333333
1737807530000,34130.53333333
1737807535000,33742.35
1737807540000,33043.0
1737807545000,32459.45
1737807550000,32796.45
1737807555000,37532.3
1737807560000,32973.85
1737807565000,35265.58333333
1737807570000,32926.68333333
1737807575000,32926.68333333
1737807580000,36510.05
1737807585000,33135.03333333
1737807590000,38541.53333333
1737807595000,38530.716666659995
1737807600000,35570.61666666
1737807605000,31864.566666659997
1737807610000,27376.05
1737807615000,
