Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,1000.0,0.0,0.0,3339597.0,544.0,1
5,1454.6833333333,637.0,0.0,0.0,4274725.0,256.0,1
10,2165.05,468.0,0.0,4.0,6120256.0,1251.0,1
15,6830.68333333,631.0,252.0,159.0,10824721.0,505.0,1
20,10426.21666666,723.0,419.0,360.0,10824721.0,505.0,1
25,16558.85,779.0,660.0,614.0,19646590.0,7295.0,1
30,16558.85,816.0,717.0,678.0,17281076.0,579.0,1
35,22397.25,842.0,921.0,888.0,17281076.0,579.0,1
40,23101.38333333,862.0,928.0,900.0,24092615.0,761.0,1
45,24825.7,877.0,1000.0,1000.0,24092615.0,761.0,1
50,30539.4,890.0,1000.0,1000.0,24092615.0,761.0,1
55,30539.4,900.0,1000.0,1000.0,29174343.0,960.0,1
60,32242.6,908.0,1000.0,1000.0,29174343.0,960.0,1
65,35281.55,938.0,1000.0,1000.0,29174343.0,960.0,1
70,34571.18333333,997.0,1000.0,1000.0,21038378.0,539.0,1
75,34240.08333333,1000.0,1000.0,1000.0,21038378.0,539.0,1
80,33084.8,1000.0,1000.0,1000.0,21038378.0,539.0,1
85,26952.16666666,1000.0,1000.0,1000.0,11117111.0,433.0,1
90,30613.93333333,1000.0,1000.0,1000.0,11117111.0,433.0,1
95,27589.56666666,1000.0,1000.0,1000.0,11117111.0,433.0,1
100,26885.43333333,1000.0,1000.0,1000.0,12560675.0,427.0,1
105,26378.9,1000.0,1000.0,1000.0,12608723.0,988.0,1
110,24665.38333333,1000.0,1000.0,1000.0,14136949.0,1379.0,1
115,31360.76666666,1000.0,1000.0,1000.0,14136949.0,1379.0,1
120,34694.5,1000.0,1000.0,1000.0,22918910.0,509.0,1
125,31391.18333333,1000.0,1000.0,1000.0,22918910.0,509.0,1
130,35949.63333333,1000.0,1000.0,1000.0,24412065.0,632.0,1
135,31615.1,1000.0,1000.0,1000.0,26406157.0,761.0,1
140,34973.08333333,1000.0,1000.0,1000.0,26406157.0,761.0,1
145,34973.08333333,1000.0,1000.0,1000.0,19006080.0,571.0,1
150,33569.55,1000.0,1000.0,1000.0,19006080.0,571.0,1
155,34130.53333333,1000.0,1000.0,1000.0,27091247.0,7763.0,1
160,34130.53333333,1000.0,1000.0,1000.0,26651676.0,5883.0,1
165,33742.35,1000.0,1000.0,1000.0,18478146.0,1043.0,1
170,33043.0,1000.0,1000.0,1000.0,18366452.0,1879.0,1
175,32459.45,1000.0,1000.0,1000.0,22961445.0,569.0,1
180,32796.45,1000.0,1000.0,1000.0,22961445.0,569.0,1
185,37532.3,1000.0,1000.0,1000.0,22961445.0,569.0,1
190,32973.85,1000.0,1000.0,1000.0,26495036.0,670.0,1
195,35265.58333333,1000.0,1000.0,1000.0,26495036.0,670.0,1
200,32926.68333333,1000.0,1000.0,1000.0,21595464.0,575.0,1
205,32926.68333333,1000.0,1000.0,1000.0,21595464.0,575.0,1
210,36510.05,1000.0,1000.0,1000.0,21595464.0,575.0,1
215,33135.03333333,1000.0,1000.0,1000.0,25667647.0,606.0,1
220,38541.53333333,1000.0,1000.0,1000.0,25667647.0,606.0,1
225,38530.716666659995,1000.0,1000.0,1000.0,19677824.0,614.0,1
230,35570.61666666,1000.0,1000.0,1000.0,19677824.0,614.0,1
235,31864.566666659997,1000.0,1000.0,1000.0,28558827.0,6133.0,1
240,27376.05,1000.0,1000.0,1000.0,28558827.0,6133.0,1
245,,,,,,,0
