,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1737807370000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26823000.0,1482450.0,24268000.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807375000,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,821.0,26828000.0,1.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807380000,9.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,4.0,6298000.0,1.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807385000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,75.0,55.0,72.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807390000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,28.0,1956.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807395000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,34965000.0,99.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807400000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2826000.0,99.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807405000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,5931000.0,91.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807410000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,91.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807415000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,5.0,287.0,862.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807420000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,86.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807425000,9.0,19.0,2.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,86.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807430000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,1.0,91.0,862.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807435000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,201.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807440000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,201.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807445000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,65.0,100.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807450000,9.0,19.0,2.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,100.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807455000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,100.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807460000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,8019000.0,91.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807465000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,91.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807470000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,91.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807475000,9.0,20.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,170.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807480000,2.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,1.0,95.0,862.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807485000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,2.0,100.0,862.0,-9.223372036854776e+18,-9.223372036854776e+18
