,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737807700000,-9.223372036854776e+18
1737807705000,-9.223372036854776e+18
1737807710000,-9.223372036854776e+18
1737807715000,-9.223372036854776e+18
1737807720000,-9.223372036854776e+18
1737807725000,-9.223372036854776e+18
1737807730000,-9.223372036854776e+18
1737807735000,-9.223372036854776e+18
1737807740000,-9.223372036854776e+18
1737807745000,-9.223372036854776e+18
1737807750000,-9.223372036854776e+18
1737807755000,-9.223372036854776e+18
1737807760000,-9.223372036854776e+18
1737807765000,-9.223372036854776e+18
1737807770000,-9.223372036854776e+18
1737807775000,-9.223372036854776e+18
1737807780000,-9.223372036854776e+18
1737807785000,-9.223372036854776e+18
1737807790000,-9.223372036854776e+18
1737807795000,-9.223372036854776e+18
1737807800000,-9.223372036854776e+18
1737807805000,-9.223372036854776e+18
1737807810000,-9.223372036854776e+18
1737807815000,-9.223372036854776e+18
1737807820000,-9.223372036854776e+18
1737807825000,-9.223372036854776e+18
1737807830000,-9.223372036854776e+18
1737807835000,-9.223372036854776e+18
1737807840000,-9.223372036854776e+18
1737807845000,-9.223372036854776e+18
1737807850000,-9.223372036854776e+18
1737807855000,-9.223372036854776e+18
1737807860000,-9.223372036854776e+18
1737807865000,-9.223372036854776e+18
1737807870000,-9.223372036854776e+18
1737807875000,-9.223372036854776e+18
1737807880000,-9.223372036854776e+18
1737807885000,-9.223372036854776e+18
1737807890000,-9.223372036854776e+18
1737807895000,-9.223372036854776e+18
1737807900000,-9.223372036854776e+18
1737807905000,-9.223372036854776e+18
1737807910000,-9.223372036854776e+18
1737807915000,-9.223372036854776e+18
1737807920000,-9.223372036854776e+18
1737807925000,-9.223372036854776e+18
1737807930000,-9.223372036854775e+18
1737807935000,-9.223372036854775e+18
1737807940000,
