,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1736816260000,0.0
1736816265000,0.0
1736816270000,0.0
1736816275000,24.0
1736816280000,54.0
1736816285000,46.0
1736816290000,41.0
1736816295000,40.0
1736816300000,64.0
1736816305000,57.0
1736816310000,51.0
1736816315000,47.0
1736816320000,43.0
1736816325000,43.0
1736816330000,43.0
1736816335000,38.0
1736816340000,26.0
1736816345000,25.0
1736816350000,23.0
1736816355000,20.0
1736816360000,1.0
1736816365000,1.0
1736816370000,2.0
1736816375000,2.0
1736816380000,4.0
1736816385000,4.0
1736816390000,4.0
1736816395000,2.0
1736816400000,2.0
1736816405000,2.0
1736816410000,3.0
1736816415000,3.0
1736816420000,3.0
1736816425000,8.0
1736816430000,6.0
1736816435000,6.0
1736816440000,5.0
1736816445000,5.0
1736816450000,5.0
1736816455000,5.0
1736816460000,5.0
1736816465000,6.0
1736816470000,5.0
1736816475000,7.0
1736816480000,8.0
1736816485000,7.0
1736816490000,7.0
1736816495000,7.0
1736816500000,
1736816525000,0.0
1736816530000,0.0
1736816535000,0.0
1736816540000,0.0
1736816545000,0.0
1736816550000,15.0
1736816555000,16.0
1736816560000,13.0
1736816565000,12.0
1736816570000,10.0
1736816575000,9.0
1736816580000,8.0
1736816585000,8.0
1736816590000,8.0
1736816595000,9.0
1736816600000,9.0
1736816605000,10.0
1736816610000,4.0
1736816615000,2.0
1736816620000,4.0
1736816625000,5.0
1736816630000,5.0
1736816635000,5.0
1736816640000,5.0
1736816645000,5.0
1736816650000,5.0
1736816655000,5.0
1736816660000,5.0
1736816665000,4.0
1736816670000,4.0
1736816675000,4.0
1736816680000,5.0
1736816685000,4.0
1736816690000,4.0
1736816695000,4.0
1736816700000,4.0
1736816705000,5.0
1736816710000,5.0
1736816715000,5.0
1736816720000,7.0
1736816725000,8.0
1736816730000,8.0
1736816735000,8.0
1736816740000,6.0
1736816745000,6.0
1736816750000,6.0
1736816755000,8.0
1736816760000,8.0
1736816765000,6.0
1736816770000,9.0
1736816775000,8.0
1736816780000,
1736816805000,0.0
1736816810000,0.0
1736816815000,0.0
1736816820000,19.0
1736816825000,14.0
1736816830000,11.0
1736816835000,12.0
1736816840000,10.0
1736816845000,9.0
1736816850000,8.0
1736816855000,7.0
1736816860000,6.0
1736816865000,7.0
1736816870000,9.0
1736816875000,9.0
1736816880000,4.0
1736816885000,5.0
1736816890000,5.0
1736816895000,4.0
1736816900000,4.0
1736816905000,5.0
1736816910000,5.0
1736816915000,5.0
1736816920000,5.0
1736816925000,4.0
1736816930000,4.0
1736816935000,5.0
1736816940000,5.0
1736816945000,3.0
1736816950000,3.0
1736816955000,3.0
1736816960000,3.0
1736816965000,2.0
1736816970000,2.0
1736816975000,2.0
1736816980000,2.0
1736816985000,2.0
1736816990000,1.0
1736816995000,0.0
1736817000000,0.0
1736817005000,0.0
1736817010000,0.0
1736817015000,0.0
1736817020000,0.0
1736817025000,0.0
1736817030000,0.0
1736817035000,0.0
1736817040000,0.0
1736817045000,0.0
1736817050000,1.0
1736817055000,1.0
1736817060000,1.0
1736817065000,
1736817085000,0.0
1736817090000,0.0
1736817095000,0.0
1736817100000,0.0
1736817105000,26.0
1736817110000,21.0
1736817115000,23.0
1736817120000,20.0
1736817125000,17.0
1736817130000,15.0
1736817135000,14.0
1736817140000,12.0
1736817145000,11.0
1736817150000,11.0
1736817155000,12.0
1736817160000,12.0
1736817165000,4.0
1736817170000,5.0
1736817175000,2.0
1736817180000,3.0
1736817185000,3.0
1736817190000,3.0
1736817195000,3.0
1736817200000,3.0
1736817205000,3.0
1736817210000,4.0
1736817215000,3.0
1736817220000,3.0
1736817225000,6.0
1736817230000,4.0
1736817235000,4.0
1736817240000,3.0
1736817245000,3.0
1736817250000,5.0
1736817255000,
