,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736817425000,-9.223372036854776e+18
1736817430000,-9.223372036854776e+18
1736817435000,-9.223372036854776e+18
1736817440000,-9.223372036854776e+18
1736817445000,-9.223372036854776e+18
1736817450000,-9.223372036854776e+18
1736817455000,-9.223372036854776e+18
1736817460000,-9.223372036854776e+18
1736817465000,-9.223372036854776e+18
1736817470000,-9.223372036854776e+18
1736817475000,-9.223372036854776e+18
1736817480000,-9.223372036854776e+18
1736817485000,-9.223372036854776e+18
1736817490000,-9.223372036854776e+18
1736817495000,-9.223372036854776e+18
1736817500000,-9.223372036854776e+18
1736817505000,-9.223372036854776e+18
1736817510000,-9.223372036854776e+18
1736817515000,-9.223372036854776e+18
1736817520000,-9.223372036854776e+18
1736817525000,-9.223372036854776e+18
1736817530000,-9.223372036854776e+18
1736817535000,-9.223372036854776e+18
1736817540000,-9.223372036854776e+18
1736817545000,-9.223372036854776e+18
1736817550000,-9.223372036854776e+18
1736817555000,-9.223372036854776e+18
1736817560000,-9.223372036854775e+18
1736817565000,-9.223372036854775e+18
1736817570000,-9.223372036854775e+18
1736817575000,-9.223372036854775e+18
1736817580000,-9.223372036854775e+18
1736817585000,-9.223372036854775e+18
1736817590000,-9.223372036854775e+18
1736817595000,-9.223372036854775e+18
1736817600000,-9.223372036854775e+18
1736817605000,-9.223372036854775e+18
1736817610000,-9.223372036854775e+18
1736817615000,-9.223372036854775e+18
1736817620000,-9.223372036854775e+18
1736817625000,-9.223372036854775e+18
1736817630000,-9.223372036854775e+18
1736817635000,-9.223372036854775e+18
1736817640000,-9.223372036854775e+18
1736817645000,-9.223372036854775e+18
1736817650000,-9.223372036854775e+18
1736817655000,-9.223372036854775e+18
1736817660000,-9.223372036854775e+18
1736817665000,
1736817685000,-9.223372036854776e+18
1736817690000,-9.223372036854776e+18
1736817695000,-9.223372036854776e+18
1736817700000,-9.223372036854776e+18
1736817705000,-9.223372036854776e+18
1736817710000,-9.223372036854776e+18
1736817715000,-9.223372036854776e+18
1736817720000,-9.223372036854776e+18
1736817725000,-9.223372036854776e+18
1736817730000,-9.223372036854776e+18
1736817735000,-9.223372036854776e+18
1736817740000,-9.223372036854776e+18
1736817745000,-9.223372036854776e+18
1736817750000,-9.223372036854776e+18
1736817755000,-9.223372036854775e+18
