,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7,8,9,10,11
Timestamp,,,,,,,,,,,,
1736782255000,1000.0,,1000.0,,,,,,,,,
1736782260000,987.0,1000.0,967.0,,,,,,,,,
1736782265000,922.0,959.0,888.0,,,,,,,,,
1736782270000,871.0,889.0,817.0,,,,,,,,,
1736782275000,834.0,817.0,746.0,,,,,,,,,
1736782280000,,758.0,689.0,,,,,,,,,
1736782285000,834.0,704.0,627.0,,,,,,,,,
1736782290000,834.0,634.0,555.0,,,,,,,,,
1736782295000,834.0,570.0,490.0,,,,,,,,,
1736782300000,834.0,512.0,428.0,,,,,,,,,
1736782305000,834.0,453.0,367.0,,,,,,,,,
1736782310000,834.0,392.0,311.0,,,,,,,,,
1736782315000,834.0,336.0,252.0,,,,,,,,,
1736782320000,848.0,283.0,231.0,,,,,,,,,
1736782325000,913.0,321.0,306.0,,,,,,,,,
1736782330000,964.0,392.0,377.0,,,,,,,,,
1736782335000,1000.0,464.0,448.0,,,,,,,,,
1736782340000,1000.0,522.0,506.0,,,,,,,,,
1736782345000,1000.0,527.0,506.0,,,,,,,,,
1736782350000,1000.0,571.0,558.0,,,,,,,,,
1736782355000,1000.0,596.0,589.0,,,,,,,,,
1736782360000,1000.0,637.0,630.0,,,,,,,,,
1736782365000,1000.0,673.0,666.0,,,,,,,,,
1736782370000,999.0,688.0,672.0,,,,,,,,,
1736782375000,999.0,698.0,684.0,,,,,,,,,
1736782380000,999.0,704.0,688.0,,,,,,,,,
1736782385000,999.0,684.0,677.0,,,,,,,,,
1736782390000,999.0,684.0,675.0,,,,,,,,,
1736782395000,999.0,657.0,640.0,,,,,,,,,
1736782400000,999.0,657.0,641.0,,,,,,,,,
1736782405000,999.0,680.0,666.0,,,,,,,,,
1736782410000,999.0,683.0,664.0,,,,,,,,,
1736782415000,,,,,,,,,,,,
1736782495000,,,,944.0,,,,,,,,
1736782500000,,,,838.0,1000.0,,,,,,,
1736782505000,,1000.0,,754.0,993.0,,,,,,,
1736782510000,,970.0,,682.0,901.0,,,,,,,
1736782515000,1000.0,890.0,,623.0,824.0,,,,,,,
1736782520000,985.0,805.0,992.0,537.0,740.0,,,,,,,
1736782525000,900.0,720.0,907.0,453.0,657.0,1000.0,,,,,,
1736782530000,823.0,637.0,824.0,370.0,570.0,993.0,,,,,,
1736782535000,801.0,613.0,765.0,307.0,543.0,951.0,,,,,,
