,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736782200000,-9.223372036854775e+18
1736782205000,-9.223372036854775e+18
1736782210000,-9.223372036854775e+18
1736782215000,-9.223372036854775e+18
1736782220000,-9.223372036854775e+18
1736782225000,-9.223372036854775e+18
1736782230000,-9.223372036854775e+18
1736782235000,-9.223372036854775e+18
1736782240000,-9.223372036854775e+18
1736782245000,-9.223372036854775e+18
1736782250000,-9.223372036854775e+18
1736782255000,-9.223372036854775e+18
1736782260000,-9.223372036854775e+18
1736782265000,-9.223372036854775e+18
1736782270000,-9.223372036854775e+18
1736782275000,-9.223372036854775e+18
1736782280000,
1736782285000,-9.223372036854775e+18
1736782290000,-9.223372036854775e+18
1736782295000,-9.223372036854775e+18
1736782300000,-9.223372036854775e+18
1736782305000,-9.223372036854775e+18
1736782310000,-9.223372036854775e+18
1736782315000,-9.223372036854775e+18
1736782320000,-9.223372036854775e+18
1736782325000,-9.223372036854775e+18
1736782330000,-9.223372036854775e+18
1736782335000,-9.223372036854775e+18
1736782340000,-9.223372036854775e+18
1736782345000,-9.223372036854775e+18
1736782350000,-9.223372036854775e+18
1736782355000,-9.223372036854775e+18
1736782360000,-9.223372036854775e+18
1736782365000,-9.223372036854775e+18
1736782370000,-9.223372036854775e+18
1736782375000,-9.223372036854775e+18
1736782380000,-9.223372036854775e+18
1736782385000,-9.223372036854775e+18
1736782390000,-9.223372036854775e+18
1736782395000,-9.223372036854775e+18
1736782400000,-9.223372036854775e+18
1736782405000,-9.223372036854775e+18
1736782410000,-9.223372036854775e+18
1736782415000,
1736782455000,-9.223372036854775e+18
1736782460000,-9.223372036854775e+18
1736782465000,-9.223372036854775e+18
1736782470000,-9.223372036854775e+18
1736782475000,-9.223372036854775e+18
1736782480000,-9.223372036854775e+18
1736782485000,-9.223372036854775e+18
1736782490000,-9.223372036854775e+18
1736782495000,-9.223372036854775e+18
1736782500000,-9.223372036854775e+18
1736782505000,-9.223372036854775e+18
1736782510000,-9.223372036854775e+18
1736782515000,-9.223372036854775e+18
1736782520000,-9.223372036854775e+18
1736782525000,-9.223372036854775e+18
1736782530000,-9.223372036854775e+18
1736782535000,-9.223372036854775e+18
1736782540000,-9.223372036854775e+18
1736782545000,-9.223372036854775e+18
1736782550000,-9.223372036854775e+18
1736782555000,-9.223372036854775e+18
