,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1736783445000,0.0
1736783450000,0.0
1736783455000,0.0
1736783460000,0.0
1736783465000,0.0
1736783470000,0.0
1736783475000,0.0
1736783480000,0.0
1736783485000,0.0
1736783490000,0.0
1736783495000,0.0
1736783500000,0.0
1736783505000,0.0
1736783510000,0.0
1736783515000,0.0
1736783520000,17.0
1736783525000,57.0
1736783530000,87.0
1736783535000,116.0
1736783540000,164.0
1736783545000,185.0
1736783550000,218.0
1736783555000,256.0
1736783560000,312.0
1736783565000,385.0
1736783570000,468.0
1736783575000,552.0
1736783580000,618.0
1736783585000,969.0
1736783590000,1000.0
1736783595000,1000.0
1736783600000,1000.0
1736783605000,1000.0
1736783610000,1000.0
1736783615000,1000.0
1736783620000,1000.0
1736783625000,1000.0
1736783630000,1000.0
1736783635000,1000.0
1736783640000,1000.0
1736783645000,1000.0
1736783650000,1000.0
1736783655000,1000.0
1736783660000,
1736783700000,0.0
1736783705000,0.0
1736783710000,0.0
1736783715000,0.0
1736783720000,0.0
1736783725000,0.0
1736783730000,0.0
1736783735000,0.0
1736783740000,0.0
1736783745000,0.0
1736783750000,0.0
1736783755000,0.0
1736783760000,0.0
1736783765000,0.0
1736783770000,0.0
1736783775000,47.0
1736783780000,123.0
1736783785000,189.0
1736783790000,
1736783805000,0.0
1736783810000,0.0
1736783815000,257.0
1736783820000,309.0
1736783825000,231.0
1736783830000,191.0
1736783835000,217.0
1736783840000,352.0
1736783845000,435.0
1736783850000,465.0
1736783855000,511.0
1736783860000,506.0
1736783865000,495.0
1736783870000,517.0
1736783875000,474.0
1736783880000,440.0
1736783885000,440.0
1736783890000,485.0
1736783895000,464.0
1736783900000,367.0
1736783905000,282.0
1736783910000,255.0
1736783915000,261.0
1736783920000,419.0
1736783925000,463.0
1736783930000,470.0
1736783935000,470.0
1736783940000,483.0
1736783945000,497.0
1736783950000,449.0
1736783955000,441.0
1736783960000,441.0
1736783965000,441.0
1736783970000,
1736784005000,0.0
1736784010000,0.0
1736784015000,0.0
1736784020000,0.0
1736784025000,0.0
1736784030000,0.0
1736784035000,0.0
1736784040000,0.0
1736784045000,0.0
1736784050000,0.0
1736784055000,0.0
1736784060000,0.0
1736784065000,0.0
1736784070000,0.0
1736784075000,0.0
1736784080000,0.0
1736784085000,13.0
1736784090000,54.0
1736784095000,58.0
1736784100000,59.0
1736784105000,91.0
1736784110000,91.0
1736784115000,162.0
1736784120000,245.0
1736784125000,321.0
1736784130000,406.0
1736784135000,425.0
1736784140000,440.0
1736784145000,437.0
1736784150000,396.0
1736784155000,394.0
1736784160000,418.0
1736784165000,385.0
1736784170000,393.0
1736784175000,343.0
1736784180000,294.0
1736784185000,322.0
1736784190000,333.0
1736784195000,347.0
1736784200000,344.0
1736784205000,359.0
1736784210000,378.0
1736784215000,378.0
1736784220000,371.0
1736784225000,424.0
1736784230000,416.0
1736784235000,395.0
1736784240000,370.0
1736784245000,285.0
1736784250000,252.0
1736784255000,293.0
1736784260000,333.0
1736784265000,308.0
1736784270000,
1736784315000,0.0
1736784320000,0.0
1736784325000,0.0
1736784330000,0.0
1736784335000,0.0
1736784340000,0.0
1736784345000,0.0
1736784350000,0.0
1736784355000,0.0
1736784360000,0.0
1736784365000,0.0
1736784370000,0.0
1736784375000,10.0
1736784380000,13.0
1736784385000,13.0
1736784390000,56.0
1736784395000,86.0
1736784400000,172.0
1736784405000,192.0
1736784410000,192.0
1736784415000,192.0
1736784420000,192.0
1736784425000,192.0
1736784430000,192.0
1736784435000,186.0
1736784440000,200.0
1736784445000,200.0
1736784450000,156.0
1736784455000,144.0
1736784460000,126.0
1736784465000,163.0
1736784470000,180.0
1736784475000,192.0
1736784480000,192.0
1736784485000,192.0
1736784490000,192.0
1736784495000,190.0
1736784500000,174.0
1736784505000,174.0
1736784510000,174.0
1736784515000,156.0
1736784520000,101.0
1736784525000,75.0
1736784530000,121.0
1736784535000,142.0
1736784540000,165.0
1736784545000,170.0
1736784550000,170.0
1736784555000,178.0
1736784560000,
