,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7,8,9,10,11
Timestamp,,,,,,,,,,,,
1736784700000,0.0,0.0,0.0,,,,,,,,,
1736784705000,0.0,0.0,0.0,,,,,,,,,
1736784710000,0.0,0.0,0.0,,,,,,,,,
1736784715000,0.0,0.0,0.0,,,,,,,,,
1736784720000,0.0,0.0,0.0,,,,,,,,,
1736784725000,0.0,0.0,0.0,,,,,,,,,
1736784730000,0.0,0.0,0.0,,,,,,,,,
1736784735000,0.0,0.0,0.0,,,,,,,,,
1736784740000,0.0,0.0,0.0,,,,,,,,,
1736784745000,0.0,0.0,0.0,,,,,,,,,
1736784750000,0.0,0.0,0.0,,,,,,,,,
1736784755000,0.0,0.0,0.0,,,,,,,,,
1736784760000,0.0,0.0,0.0,,,,,,,,,
1736784765000,0.0,0.0,0.0,,,,,,,,,
1736784770000,0.0,1.883333333333,0.433333333333,,,,,,,,,
1736784775000,1.416666666666,14.75,11.783333333333,,,,,,,,,
1736784780000,10.516666666666,73.9166666666,56.5,,,,,,,,,
1736784785000,60.35,159.75,137.7166666666,,,,,,,,,
1736784790000,140.4833333333,243.5833333333,223.1833333333,,,,,,,,,
1736784795000,220.5,334.4833333333,313.0666666666,,,,,,,,,
1736784800000,308.7666666666,536.7833333333,486.0,,,,,,,,,
1736784805000,485.3166666666,793.75,732.0833333333,,,,,,,,,
1736784810000,740.25,947.3,882.3,,,,,,,,,
1736784815000,889.9333333333,1214.1666666666,1131.1666666666,,,,,,,,,
1736784820000,1148.6166666666,1543.3166666666,1456.1833333333,,,,,,,,,
1736784825000,1492.8166666666,1754.4333333333,1760.7666666666,,,,,,,,,
1736784830000,1766.4666666665998,1752.55,1760.3333333333,,,,,,,,,
1736784835000,1778.45,1739.6833333333,1748.9833333333,,,,,,,,,
1736784840000,1769.35,1680.5166666666,1704.2666666666,,,,,,,,,
1736784845000,1719.5166666666,1594.6833333333,1623.05,,,,,,,,,
1736784850000,1639.3833333333,1577.8166666666,1537.5833333333,,,,,,,,,
1736784855000,1559.3666666666,1486.9166666666,1501.0833333333,,,,,,,,,
1736784860000,1471.1,1284.6166666666,1328.15,,,,,,,,,
1736784865000,1294.55,1146.0,1149.7333333333,,,,,,,,,
1736784870000,1175.45,1054.25,1108.0166666666,,,,,,,,,
1736784875000,1130.7166666665998,846.35,917.9833333332999,,,,,,,,,
1736784880000,872.0333333333,552.8,600.5333333333,,,,,,,,,
