Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 8)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 9)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 10)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 11)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 8)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 9)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 10)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 11)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
10,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
20,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
30,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
35,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
40,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
45,0.0,0.0,0.0,,,,,,,,,,,1000.0,,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
50,0.0,0.0,0.0,,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
55,0.0,0.0,0.0,,,,,,,,,,1000.0,974.0,1000.0,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
60,0.0,0.0,0.0,,,,,,,,,,964.0,895.0,937.0,,,,,,,,,,0.0,0.0,-1.0,-1.0,3
65,0.0,0.0,0.0,,,,,,,,,,893.0,814.0,859.0,,,,,,,,,,0.0,0.0,62383.0,6479.0,3
70,1.633333333333,9.933333333333,1.766666666666,,,,,,,,,,835.0,749.0,781.0,,,,,,,,,,0.0,0.0,135246.0,1965.0,3
75,23.883333333333,81.2833333333,29.0,,,,,,,,,,834.0,698.0,723.0,,,,,,,,,,14.0,14.0,135246.0,1965.0,3
80,146.0166666666,237.9333333333,160.7833333333,,,,,,,,,,834.0,662.0,683.0,,,,,,,,,,45.0,46.0,135246.0,1965.0,3
85,299.6666666666,403.93333333329997,322.6,,,,,,,,,,834.0,615.0,626.0,,,,,,,,,,66.0,87.0,2782837.0,4178.0,3
90,398.95,403.93333333329997,403.35,,,,,,,,,,834.0,615.0,611.0,,,,,,,,,,130.0,160.0,2782837.0,4178.0,3
95,398.95,480.4833333333,403.35,,,,,,,,,,834.0,598.0,611.0,,,,,,,,,,213.0,244.0,2782837.0,4178.0,3
100,561.3333333333,732.0666666666,588.1333333333,,,,,,,,,,834.0,559.0,578.0,,,,,,,,,,411.0,437.0,5307602.0,3938.0,3
105,826.95,984.1333333333,831.0833333333,,,,,,,,,,834.0,506.0,528.0,,,,,,,,,,440.0,491.0,6722612.0,3988.0,3
110,1106.2833333332999,1271.3,1118.8,,,,,,,,,,834.0,462.0,481.0,,,,,,,,,,483.0,540.0,8430903.0,4375.0,3
