,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736197070000,-9.223372036854775e+18
1736197075000,-9.223372036854775e+18
1736197080000,-9.223372036854775e+18
1736197085000,-9.223372036854775e+18
1736197090000,-9.223372036854775e+18
1736197095000,-9.223372036854775e+18
1736197100000,-9.223372036854775e+18
1736197105000,-9.223372036854775e+18
1736197110000,-9.223372036854775e+18
1736197115000,-9.223372036854775e+18
1736197120000,-9.223372036854775e+18
1736197125000,-9.223372036854775e+18
1736197130000,-9.223372036854775e+18
1736197135000,-9.223372036854775e+18
1736197140000,-9.223372036854775e+18
1736197145000,-9.223372036854775e+18
1736197150000,-9.223372036854775e+18
1736197155000,-9.223372036854775e+18
1736197160000,-9.223372036854775e+18
1736197165000,-9.223372036854775e+18
1736197170000,-9.223372036854775e+18
1736197175000,-9.223372036854775e+18
1736197180000,-9.223372036854775e+18
1736197185000,-9.223372036854775e+18
1736197190000,-9.223372036854775e+18
1736197195000,-9.223372036854775e+18
1736197200000,-9.223372036854775e+18
1736197205000,-9.223372036854775e+18
1736197210000,-9.223372036854775e+18
1736197215000,-9.223372036854775e+18
1736197220000,-9.223372036854775e+18
1736197225000,-9.223372036854775e+18
1736197230000,-9.223372036854775e+18
1736197235000,-9.223372036854775e+18
1736197240000,-9.223372036854775e+18
1736197245000,-9.223372036854775e+18
1736197250000,-9.223372036854775e+18
1736197255000,-9.223372036854775e+18
1736197260000,-9.223372036854775e+18
1736197265000,-9.223372036854775e+18
1736197270000,-9.223372036854775e+18
1736197275000,-9.223372036854775e+18
1736197280000,-9.223372036854775e+18
1736197285000,-9.223372036854775e+18
1736197290000,-9.223372036854775e+18
1736197295000,-9.223372036854775e+18
1736197300000,-9.223372036854775e+18
1736197305000,-9.223372036854775e+18
1736197310000,-9.223372036854775e+18
1736197315000,-9.223372036854775e+18
1736197320000,-9.223372036854775e+18
1736197325000,-9.223372036854775e+18
1736197330000,-9.223372036854775e+18
1736197335000,-9.223372036854775e+18
1736197340000,-9.223372036854775e+18
1736197345000,-9.223372036854775e+18
1736197350000,-9.223372036854775e+18
1736197355000,-9.223372036854775e+18
1736197360000,-9.223372036854775e+18
1736197365000,-9.223372036854775e+18
1736197370000,-9.223372036854775e+18
1736197375000,-9.223372036854775e+18
1736197380000,
1736197405000,-9.223372036854775e+18
