,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1736201435000,0.0
1736201440000,0.0
1736201445000,19.0
1736201450000,101.0
1736201455000,151.0
1736201460000,248.0
1736201465000,309.0
1736201470000,310.0
1736201475000,349.0
1736201480000,368.0
1736201485000,365.0
1736201490000,377.0
1736201495000,397.0
1736201500000,445.0
1736201505000,455.0
1736201510000,471.0
1736201515000,485.0
1736201520000,477.0
1736201525000,472.0
1736201530000,488.0
1736201535000,478.0
1736201540000,492.0
1736201545000,511.0
1736201550000,524.0
1736201555000,510.0
1736201560000,506.0
1736201565000,526.0
1736201570000,537.0
1736201575000,514.0
1736201580000,515.0
1736201585000,505.0
1736201590000,507.0
1736201595000,499.0
1736201600000,495.0
1736201605000,494.0
1736201610000,482.0
1736201615000,487.0
1736201620000,489.0
1736201625000,503.0
1736201630000,517.0
1736201635000,552.0
1736201640000,557.0
1736201645000,548.0
1736201650000,547.0
1736201655000,549.0
1736201660000,537.0
1736201665000,526.0
1736201670000,523.0
1736201675000,522.0
1736201680000,525.0
1736201685000,527.0
1736201690000,497.0
1736201695000,478.0
1736201700000,472.0
1736201705000,487.0
1736201710000,482.0
1736201715000,474.0
1736201720000,478.0
1736201725000,480.0
1736201730000,485.0
1736201735000,482.0
1736201740000,483.0
1736201745000,
1736201765000,0.0
1736201770000,0.0
1736201775000,0.0
1736201780000,137.0
1736201785000,106.0
1736201790000,153.0
1736201795000,155.0
1736201800000,185.0
1736201805000,190.0
1736201810000,187.0
1736201815000,198.0
1736201820000,201.0
1736201825000,201.0
1736201830000,202.0
1736201835000,223.0
1736201840000,221.0
1736201845000,236.0
1736201850000,241.0
1736201855000,240.0
1736201860000,230.0
1736201865000,242.0
1736201870000,248.0
1736201875000,237.0
1736201880000,244.0
1736201885000,251.0
1736201890000,243.0
1736201895000,245.0
1736201900000,247.0
1736201905000,245.0
1736201910000,236.0
1736201915000,243.0
1736201920000,238.0
1736201925000,227.0
1736201930000,224.0
1736201935000,230.0
1736201940000,224.0
1736201945000,221.0
1736201950000,232.0
1736201955000,224.0
1736201960000,231.0
1736201965000,224.0
1736201970000,229.0
1736201975000,228.0
1736201980000,238.0
1736201985000,243.0
1736201990000,253.0
1736201995000,244.0
1736202000000,253.0
1736202005000,259.0
1736202010000,266.0
1736202015000,265.0
1736202020000,256.0
1736202025000,266.0
1736202030000,264.0
1736202035000,268.0
1736202040000,270.0
1736202045000,260.0
1736202050000,254.0
1736202055000,262.0
1736202060000,259.0
1736202065000,240.0
1736202070000,232.0
1736202075000,235.0
1736202080000,
1736202110000,0.0
1736202115000,0.0
1736202120000,2.0
1736202125000,6.0
1736202130000,31.0
1736202135000,25.0
1736202140000,21.0
1736202145000,18.0
1736202150000,17.0
1736202155000,15.0
1736202160000,14.0
1736202165000,17.0
1736202170000,17.0
1736202175000,20.0
1736202180000,24.0
1736202185000,23.0
1736202190000,17.0
1736202195000,17.0
1736202200000,19.0
1736202205000,19.0
1736202210000,19.0
1736202215000,21.0
1736202220000,25.0
1736202225000,23.0
1736202230000,27.0
1736202235000,25.0
1736202240000,21.0
1736202245000,22.0
1736202250000,21.0
1736202255000,20.0
1736202260000,20.0
1736202265000,20.0
1736202270000,22.0
1736202275000,23.0
1736202280000,21.0
1736202285000,20.0
1736202290000,14.0
1736202295000,13.0
1736202300000,13.0
1736202305000,13.0
1736202310000,15.0
1736202315000,16.0
1736202320000,15.0
1736202325000,15.0
1736202330000,13.0
1736202335000,14.0
1736202340000,15.0
1736202345000,15.0
1736202350000,16.0
1736202355000,17.0
1736202360000,17.0
1736202365000,15.0
1736202370000,17.0
1736202375000,16.0
1736202380000,15.0
1736202385000,14.0
1736202390000,15.0
1736202395000,12.0
1736202400000,8.0
1736202405000,8.0
1736202410000,8.0
1736202415000,9.0
1736202420000,9.0
1736202425000,
1736202445000,0.0
1736202450000,0.0
1736202455000,119.0
1736202460000,263.0
1736202465000,182.0
1736202470000,141.0
1736202475000,120.0
1736202480000,100.0
1736202485000,92.0
1736202490000,80.0
1736202495000,72.0
1736202500000,66.0
1736202505000,62.0
1736202510000,58.0
1736202515000,49.0
1736202520000,19.0
1736202525000,22.0
1736202530000,20.0
1736202535000,18.0
1736202540000,18.0
1736202545000,18.0
1736202550000,18.0
1736202555000,19.0
1736202560000,21.0
1736202565000,20.0
1736202570000,20.0
1736202575000,20.0
1736202580000,19.0
1736202585000,14.0
1736202590000,14.0
1736202595000,14.0
1736202600000,15.0
1736202605000,12.0
1736202610000,12.0
1736202615000,11.0
1736202620000,8.0
1736202625000,8.0
1736202630000,7.0
1736202635000,7.0
1736202640000,5.0
1736202645000,5.0
1736202650000,14.0
1736202655000,13.0
1736202660000,14.0
1736202665000,18.0
1736202670000,28.0
1736202675000,29.0
1736202680000,31.0
1736202685000,36.0
1736202690000,36.0
1736202695000,35.0
1736202700000,37.0
1736202705000,39.0
1736202710000,36.0
1736202715000,36.0
1736202720000,34.0
1736202725000,35.0
1736202730000,25.0
1736202735000,25.0
1736202740000,26.0
1736202745000,22.0
1736202750000,26.0
1736202755000,
