,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1737110620000,0.0
1737110625000,0.0
1737110630000,0.0
1737110635000,0.0
1737110640000,0.0
1737110645000,68.0
1737110650000,248.0
1737110655000,366.0
1737110660000,526.0
1737110665000,651.0
1737110670000,679.0
1737110675000,788.0
1737110680000,789.0
1737110685000,807.0
1737110690000,1000.0
1737110695000,1000.0
1737110700000,1000.0
1737110705000,1000.0
1737110710000,1000.0
1737110715000,1000.0
1737110720000,1000.0
1737110725000,1000.0
1737110730000,1000.0
1737110735000,1000.0
1737110740000,1000.0
1737110745000,1000.0
1737110750000,1000.0
1737110755000,1000.0
1737110760000,1000.0
1737110765000,1000.0
1737110770000,1000.0
1737110775000,1000.0
1737110780000,1000.0
1737110785000,1000.0
1737110790000,1000.0
1737110795000,1000.0
1737110800000,1000.0
1737110805000,1000.0
1737110810000,1000.0
1737110815000,1000.0
1737110820000,1000.0
1737110825000,1000.0
1737110830000,1000.0
1737110835000,1000.0
1737110840000,1000.0
1737110845000,1000.0
1737110850000,1000.0
1737110855000,1000.0
1737110860000,1000.0
1737110865000,1000.0
1737110870000,1000.0
1737110875000,
1737110895000,0.0
1737110900000,109.0
1737110905000,278.0
1737110910000,382.0
1737110915000,515.0
1737110920000,704.0
1737110925000,753.0
1737110930000,900.0
1737110935000,954.0
1737110940000,953.0
1737110945000,900.0
1737110950000,907.0
1737110955000,904.0
1737110960000,1000.0
1737110965000,1000.0
1737110970000,1000.0
1737110975000,1000.0
1737110980000,1000.0
1737110985000,1000.0
1737110990000,1000.0
1737110995000,1000.0
1737111000000,1000.0
1737111005000,1000.0
1737111010000,1000.0
1737111015000,1000.0
1737111020000,1000.0
1737111025000,1000.0
1737111030000,1000.0
1737111035000,1000.0
1737111040000,1000.0
1737111045000,1000.0
1737111050000,1000.0
1737111055000,1000.0
1737111060000,1000.0
1737111065000,1000.0
1737111070000,1000.0
1737111075000,1000.0
1737111080000,1000.0
1737111085000,1000.0
1737111090000,1000.0
1737111095000,1000.0
1737111100000,1000.0
1737111105000,1000.0
1737111110000,1000.0
1737111115000,1000.0
1737111120000,1000.0
1737111125000,1000.0
1737111130000,1000.0
1737111135000,990.0
1737111140000,1000.0
1737111145000,1000.0
1737111150000,
1737111175000,0.0
1737111180000,30.0
1737111185000,138.0
1737111190000,311.0
1737111195000,425.0
1737111200000,511.0
1737111205000,575.0
1737111210000,645.0
1737111215000,699.0
1737111220000,666.0
1737111225000,695.0
1737111230000,739.0
1737111235000,748.0
1737111240000,801.0
1737111245000,838.0
1737111250000,846.0
1737111255000,847.0
1737111260000,849.0
1737111265000,858.0
1737111270000,835.0
1737111275000,810.0
1737111280000,834.0
1737111285000,825.0
1737111290000,758.0
1737111295000,750.0
1737111300000,788.0
1737111305000,836.0
1737111310000,875.0
1737111315000,864.0
1737111320000,854.0
1737111325000,840.0
1737111330000,861.0
1737111335000,857.0
1737111340000,903.0
1737111345000,897.0
1737111350000,927.0
1737111355000,936.0
1737111360000,869.0
1737111365000,833.0
1737111370000,812.0
1737111375000,849.0
1737111380000,887.0
1737111385000,873.0
1737111390000,843.0
1737111395000,849.0
1737111400000,818.0
1737111405000,826.0
1737111410000,854.0
1737111415000,856.0
1737111420000,884.0
1737111425000,887.0
1737111430000,
1737111455000,0.0
1737111460000,0.0
1737111465000,434.0
1737111470000,657.0
1737111475000,612.0
1737111480000,652.0
1737111485000,616.0
1737111490000,627.0
1737111495000,654.0
1737111500000,674.0
1737111505000,640.0
1737111510000,655.0
1737111515000,660.0
1737111520000,688.0
1737111525000,718.0
1737111530000,723.0
1737111535000,737.0
1737111540000,743.0
1737111545000,756.0
1737111550000,776.0
1737111555000,759.0
1737111560000,771.0
1737111565000,787.0
1737111570000,796.0
1737111575000,773.0
1737111580000,754.0
1737111585000,753.0
1737111590000,722.0
1737111595000,730.0
1737111600000,723.0
1737111605000,733.0
1737111610000,716.0
1737111615000,734.0
1737111620000,733.0
1737111625000,739.0
1737111630000,723.0
1737111635000,749.0
1737111640000,754.0
1737111645000,733.0
1737111650000,760.0
1737111655000,736.0
1737111660000,738.0
1737111665000,729.0
1737111670000,740.0
1737111675000,725.0
1737111680000,711.0
1737111685000,704.0
1737111690000,707.0
1737111695000,723.0
1737111700000,716.0
1737111705000,
