Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 7)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,0.0,,,,,,,1000.0,1000.0,,,,,,,0.0,0.0,-1.0,-1.0,2
5,0.0,0.0,,,,,,,1000.0,0.0,,,,,,,0.0,0.0,-1.0,-1.0,2
10,0.0,215.5166666666,,,,,,,0.0,18.0,,,,,,,0.0,0.0,42510.0,863.0,2
15,213.8833333333,287.9333333333,,,,,,,83.0,15.0,,,,,,,0.0,0.0,893185.0,596.0,2
20,292.2666666666,1267.5166666666,,,,,,,65.0,131.0,,,,,,,0.0,0.0,1326599.0,200.0,2
25,1191.1333333333,3131.05,,,,,,,223.0,203.0,,,,,,,68.0,129.0,6051774.0,713.0,2
30,3064.7166666666,4875.38333333,,,,,,,372.0,301.0,,,,,,,248.0,283.0,10657375.0,1143.0,2
35,4944.28333333,7013.383333329999,,,,,,,467.0,384.0,,,,,,,366.0,383.0,12922786.0,595.0,2
40,7041.56666666,8326.01666666,,,,,,,534.0,430.0,,,,,,,526.0,461.0,19345156.0,1051.0,2
45,8215.01666666,9797.48333333,,,,,,,592.0,484.0,,,,,,,651.0,594.0,28900170.0,708.0,2
50,9806.96666666,10292.16666666,,,,,,,637.0,516.0,,,,,,,679.0,624.0,28900170.0,708.0,2
55,10121.66666666,13017.41666666,,,,,,,674.0,547.0,,,,,,,788.0,736.0,10664839.0,8348.0,2
60,13081.0,13017.41666666,,,,,,,703.0,585.0,,,,,,,789.0,733.0,15424566.0,543.0,2
65,13081.0,13444.2,,,,,,,728.0,656.0,,,,,,,807.0,755.0,15424566.0,543.0,2
70,13263.93333333,17214.75,,,,,,,822.0,703.0,,,,,,,1000.0,964.0,17803567.0,11509.0,2
75,17280.266666659998,17142.33333333,,,,,,,881.0,786.0,,,,,,,1000.0,1000.0,8446948.0,449.0,2
80,17201.88333333,16162.75,,,,,,,962.0,830.0,,,,,,,1000.0,1000.0,8446948.0,449.0,2
85,16303.016666659998,18488.45,,,,,,,987.0,852.0,,,,,,,1000.0,1000.0,8446948.0,449.0,2
90,18599.43333333,16744.11666666,,,,,,,990.0,870.0,,,,,,,1000.0,1000.0,11934973.0,529.0,2
95,16719.86666666,14606.116666659998,,,,,,,995.0,880.0,,,,,,,1000.0,1000.0,11934973.0,529.0,2
100,14622.58333333,15265.7,,,,,,,1000.0,885.0,,,,,,,1000.0,1000.0,11934973.0,529.0,2
105,15192.616666659998,14872.91666666,,,,,,,1000.0,888.0,,,,,,,1000.0,1000.0,11245533.0,580.0,2
110,14970.033333329999,14378.23333333,,,,,,,1000.0,904.0,,,,,,,1000.0,1000.0,13949449.0,587.0,2
115,14655.33333333,13954.18333333,,,,,,,1000.0,891.0,,,,,,,1000.0,1000.0,13949449.0,587.0,2
120,13669.81666666,19477.41666666,,,,,,,1000.0,876.0,,,,,,,1000.0,1000.0,9493314.0,472.0,2
125,19097.6,22070.45,,,,,,,1000.0,896.0,,,,,,,1000.0,1000.0,18214099.0,1366.0,2
130,22412.05,18084.38333333,,,,,,,1000.0,914.0,,,,,,,1000.0,1000.0,21878964.0,1029.0,2
135,18181.83333333,20309.21666666,,,,,,,1000.0,883.0,,,,,,,1000.0,1000.0,21878964.0,1029.0,2
140,20179.66666666,21168.61666666,,,,,,,1000.0,877.0,,,,,,,1000.0,1000.0,36776072.0,931.0,2
145,21275.316666659997,17812.11666666,,,,,,,1000.0,877.0,,,,,,,1000.0,1000.0,41091696.0,1090.0,2
150,17519.43333333,19645.95,,,,,,,1000.0,871.0,,,,,,,1000.0,1000.0,26445784.0,7568.0,2
155,19798.65,19645.95,,,,,,,1000.0,871.0,,,,,,,1000.0,1000.0,35608602.0,822.0,2
160,19798.65,20615.35,,,,,,,1000.0,849.0,,,,,,,1000.0,1000.0,35608602.0,822.0,2
165,20987.516666659998,19536.66666666,,,,,,,1000.0,854.0,,,,,,,1000.0,1000.0,19951997.0,613.0,2
170,19618.15,21058.95,,,,,,,1000.0,850.0,,,,,,,1000.0,1000.0,19951997.0,613.0,2
175,20995.58333333,19398.95,,,,,,,1000.0,872.0,,,,,,,1000.0,1000.0,31706624.0,792.0,2
180,19829.45,14280.41666666,,,,,,,1000.0,887.0,,,,,,,1000.0,1000.0,28195093.0,855.0,2
185,14660.91666666,15303.73333333,,,,,,,1000.0,876.0,,,,,,,1000.0,1000.0,28195093.0,855.0,2
190,15377.6,19978.066666659997,,,,,,,1000.0,865.0,,,,,,,1000.0,1000.0,40273129.0,881.0,2
195,20062.05,19117.58333333,,,,,,,1000.0,889.0,,,,,,,1000.0,1000.0,19835034.0,769.0,2
200,19437.3,18258.18333333,,,,,,,1000.0,895.0,,,,,,,1000.0,1000.0,37020677.0,1123.0,2
205,18695.733333329998,20270.983333329998,,,,,,,1000.0,906.0,,,,,,,1000.0,1000.0,37020677.0,1123.0,2
210,20786.983333329998,18437.15,,,,,,,992.0,912.0,,,,,,,1000.0,1000.0,38776891.0,1189.0,2
215,18507.766666659998,21245.95,,,,,,,992.0,891.0,,,,,,,1000.0,1000.0,38776891.0,1189.0,2
220,21090.03333333,18304.33333333,,,,,,,992.0,928.0,,,,,,,1000.0,1000.0,33544183.0,795.0,2
