Timestamp,flink_jobmanager_job_lastCheckpointDuration
0,-1.0
5,1033.0
10,732.0
15,382.0
20,136.0
25,1632.0
30,1632.0
35,871.0
40,4049.0
45,789.0
50,6432.0
55,1121.0
60,1121.0
65,348.0
70,348.0
75,348.0
80,670.0
85,419.0
90,419.0
95,419.0
100,415.0
105,415.0
110,10341.0
115,1326.0
120,879.0
125,879.0
130,584.0
135,584.0
140,8482.0
145,981.0
150,981.0
155,809.0
160,809.0
165,624.0
170,624.0
175,624.0
180,7949.0
185,1109.0
190,897.0
195,897.0
200,711.0
205,896.0
210,896.0
215,716.0
220,716.0
225,504.0
230,504.0
235,7324.0
240,637.0
245,428.0
250,428.0
255,
275,-1.0
280,-1.0
285,2060.0
290,1753.0
295,1753.0
300,1053.0
305,4311.0
310,838.0
315,3431.0
320,718.0
325,2325.0
330,901.0
335,4125.0
340,752.0
345,2710.0
350,675.0
355,4075.0
360,603.0
365,2931.0
370,731.0
375,3101.0
380,1208.0
385,1612.0
390,683.0
395,2207.0
400,482.0
405,482.0
410,2343.0
415,638.0
420,2854.0
425,827.0
430,827.0
435,445.0
440,2510.0
445,2510.0
450,575.0
455,2031.0
460,530.0
465,1919.0
470,1919.0
475,914.0
480,1834.0
485,597.0
490,2317.0
495,2317.0
500,736.0
505,2852.0
510,635.0
515,1877.0
520,1001.0
525,3115.0
530,647.0
535,647.0
540,
560,-1.0
565,-1.0
570,1417.0
575,4575.0
580,748.0
585,3613.0
590,707.0
595,884.0
600,1330.0
605,1880.0
610,2537.0
615,503.0
620,579.0
625,930.0
630,2079.0
635,2688.0
640,3566.0
645,847.0
650,957.0
655,3009.0
660,3358.0
665,405.0
670,915.0
675,1413.0
680,1678.0
685,2221.0
690,2780.0
695,3291.0
700,431.0
705,515.0
710,999.0
715,585.0
720,784.0
725,1281.0
730,1480.0
735,1824.0
740,3029.0
745,3483.0
750,517.0
755,679.0
760,854.0
765,1381.0
770,2029.0
775,3089.0
780,492.0
785,505.0
790,415.0
795,679.0
800,1431.0
805,2508.0
810,2922.0
815,602.0
820,
850,-1.0
855,2364.0
860,3270.0
865,4007.0
870,587.0
875,1100.0
880,1313.0
885,1906.0
890,2299.0
895,2416.0
900,2790.0
905,3188.0
910,1025.0
915,501.0
920,988.0
925,2792.0
930,2768.0
935,2219.0
940,2265.0
945,2011.0
950,1965.0
955,2064.0
960,2464.0
965,2117.0
970,2104.0
975,1813.0
980,1567.0
985,1364.0
990,1016.0
995,2114.0
1000,1810.0
1005,1603.0
1010,1167.0
1015,1028.0
1020,423.0
1025,405.0
1030,453.0
1035,453.0
1040,3316.0
1045,728.0
1050,3115.0
1055,2083.0
1060,1807.0
1065,1287.0
1070,1399.0
1075,1022.0
1080,604.0
1085,663.0
1090,738.0
1095,
