,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1737111785000,1000.0,1000.0,,,,,,
1737111790000,0.0,0.0,,,,,,
1737111795000,47.0,0.0,,,,,,
1737111800000,48.0,10.0,,,,,,
1737111805000,227.0,131.0,,,,,,
1737111810000,369.0,268.0,,,,,,
1737111815000,467.0,370.0,,,,,,
1737111820000,541.0,440.0,,,,,,
1737111825000,598.0,495.0,,,,,,
1737111830000,643.0,543.0,,,,,,
1737111835000,679.0,559.0,,,,,,
1737111840000,708.0,591.0,,,,,,
1737111845000,732.0,625.0,,,,,,
1737111850000,821.0,696.0,,,,,,
1737111855000,891.0,766.0,,,,,,
1737111860000,970.0,846.0,,,,,,
1737111865000,990.0,879.0,,,,,,
1737111870000,995.0,887.0,,,,,,
1737111875000,998.0,897.0,,,,,,
1737111880000,1000.0,880.0,,,,,,
1737111885000,1000.0,880.0,,,,,,
1737111890000,1000.0,886.0,,,,,,
1737111895000,994.0,909.0,,,,,,
1737111900000,994.0,899.0,,,,,,
1737111905000,994.0,894.0,,,,,,
1737111910000,994.0,920.0,,,,,,
1737111915000,994.0,901.0,,,,,,
1737111920000,994.0,901.0,,,,,,
1737111925000,994.0,903.0,,,,,,
1737111930000,995.0,902.0,,,,,,
1737111935000,995.0,888.0,,,,,,
1737111940000,995.0,902.0,,,,,,
1737111945000,995.0,912.0,,,,,,
1737111950000,995.0,885.0,,,,,,
1737111955000,1000.0,887.0,,,,,,
