,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737111785000,-9.223372036854775e+18
1737111790000,-9.223372036854775e+18
1737111795000,-9.223372036854775e+18
1737111800000,-9.223372036854775e+18
1737111805000,-9.223372036854775e+18
1737111810000,-9.223372036854775e+18
1737111815000,-9.223372036854775e+18
1737111820000,-9.223372036854775e+18
1737111825000,-9.223372036854775e+18
1737111830000,-9.223372036854775e+18
1737111835000,-9.223372036854775e+18
1737111840000,-9.223372036854775e+18
1737111845000,-9.223372036854775e+18
1737111850000,-9.223372036854775e+18
1737111855000,-9.223372036854775e+18
1737111860000,-9.223372036854775e+18
1737111865000,-9.223372036854775e+18
1737111870000,-9.223372036854775e+18
1737111875000,-9.223372036854775e+18
1737111880000,-9.223372036854775e+18
1737111885000,-9.223372036854775e+18
1737111890000,-9.223372036854775e+18
1737111895000,-9.223372036854775e+18
1737111900000,-9.223372036854775e+18
1737111905000,-9.223372036854775e+18
1737111910000,-9.223372036854775e+18
1737111915000,-9.223372036854775e+18
1737111920000,-9.223372036854775e+18
1737111925000,-9.223372036854775e+18
1737111930000,-9.223372036854775e+18
1737111935000,-9.223372036854775e+18
1737111940000,-9.223372036854775e+18
1737111945000,-9.223372036854775e+18
1737111950000,-9.223372036854775e+18
1737111955000,-9.223372036854775e+18
1737111960000,-9.223372036854775e+18
1737111965000,-9.223372036854775e+18
1737111970000,-9.223372036854775e+18
1737111975000,-9.223372036854775e+18
1737111980000,-9.223372036854775e+18
1737111985000,-9.223372036854775e+18
1737111990000,-9.223372036854775e+18
1737111995000,-9.223372036854775e+18
1737112000000,-9.223372036854775e+18
1737112005000,-9.223372036854775e+18
1737112010000,-9.223372036854775e+18
1737112015000,-9.223372036854775e+18
1737112020000,-9.223372036854775e+18
1737112025000,-9.223372036854775e+18
1737112030000,-9.223372036854775e+18
1737112035000,
1737112060000,-9.223372036854776e+18
1737112065000,-9.223372036854776e+18
1737112070000,-9.223372036854776e+18
1737112075000,-9.223372036854776e+18
1737112080000,-9.223372036854776e+18
1737112085000,-9.223372036854776e+18
1737112090000,-9.223372036854776e+18
1737112095000,-9.223372036854776e+18
1737112100000,-9.223372036854776e+18
1737112105000,-9.223372036854776e+18
1737112110000,-9.223372036854776e+18
1737112115000,-9.223372036854776e+18
1737112120000,-9.223372036854776e+18
